DatasetName,BACC1_S(103) BACC1_S(141) BACC1_S(146) BACC1_S(36) BACC1_T(139) BACC1_T(161),BACC1_S(10) BACC1_S(106) BACC1_S(110) BACC1_S(137) BACC1_S(150) BACC1_S(35) BACC1_S(62) BACC1_S(76) BACC1_S(82) BACC1_S(83) BACC1_S(9) BACC1_S(96)
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,0.5464625008661893
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.452603794630921,0.5327010865368056
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,0.5650313988886355
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,,0.5451443514326361
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,0.5524142599638203
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,0.5434207365689737
AH2018_TMTMS2_3_X,0.46221119751531475,0.5645027575746444
GF2025_P3_Adh,,0.5430525184769341
SR2019_JIMT1_Biol_repl_2,,0.5454972781072881
AH2018_TMTMS2_1_C,0.45449685699097575,0.5643222270156335
RM2024_Intensity D0-1___2,,
LY2019_P4+,,0.5689880708365096
KBE2022_Log2_Ex_19_U,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,0.5695109689036468
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,0.5578459088862019
RCJD2014_5min_mean,,0.5529921325892151
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.4524595910286257,0.54690355379988
LG2023_Control-2_intensity,,0.5487894855426769
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,0.5613213282044615
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,0.549031628228709
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,0.5098240712606797
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,0.5615965749306049
HH2022_Reporter intensity 1,0.46415668142534483,0.5553826040178845
HH2022_Reporter intensity 2,0.46557269549741503,0.5561698189743502
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,0.4828537149688141,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,0.5668585411431305
SR2019_MCF7_Biol_repl_1,,0.536409724083723
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,0.4798558352113376,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.46838934121748904,0.5429071399349338
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,0.5703280598775662
CW2012_10 µM Erl/control Experiment 2 Replicate A,,0.5602678148111845
FSO2013_Ratio H/M normalized Rep3,0.46338990922406204,0.5540324465037906
AR2021_KD 72h,,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.45769021076066707,0.5664040971837404
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,,0.5414662523480436
KBE2022_Log2_Ex_13_T,,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,0.537684556592195
PG2020_Intensity Mock_10h_C,,0.539365847685349
CF2017_OSE 29,,0.5605129427749612
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,,
RN2012_L12,,0.5393617941777059
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,0.5408525023447305
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.45886779775099856,0.5321192776616261
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,0.5646376527874499
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,,0.5279492318238242
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,0.5327566971559462
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,0.5534638180324519
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,,0.5608306530446199
CK2022_5 200-1,,0.5606734188306263
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.45391268502970145,0.5474640847619389
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,0.5447051263762476
AH2018_SILAC_MR_1_X,,0.5347700376657153
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,
AH2018_SILAC_3_C,,0.5408490149147411
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.4565857213428551,0.5298061862649068
CK2022_4 16-1,,0.5627029118589769
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,0.5465566126632053
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,0.5581143008996285
AH2018_LFQ_1_N,,0.5440387004590793
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,0.5215337284685898
FSO2013_Ratio H/L normalized Rep3,0.47574882582664174,0.5648144687938229
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,,
AH2018_SILAC_IT_2_N,,0.5375660939819259
AH2018_SILAC_IT_1_X,,0.5447155199480459
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,0.5354382398747196
WZ2023_Pe_025_20min,,0.594685953173791
JVO2010_Log2 Ratio M/L Normalized aphidicolin,0.443830192766856,0.5560361327740982
AH2018_LFQ_2_N,,0.546546969137992
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.46326239489712123,0.5609903706543794
RN2012_H06,,0.5396203249306039
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,,0.5872046283873733
