DatasetName,KRR1_S(276) KRR1_S(284) KRR1_S(31),KRR1_S(3) KRR1_S(5)
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,0.4826923418843402
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.45645292431625367,
GF2025_P3_Adh,,0.5078152823434597
SR2019_JIMT1_Biol_repl_2,,0.5123823473521352
AH2018_TMTMS2_1_C,0.43083390776393987,
RM2024_Intensity D0-1___2,,
LY2019_P4+,,
KBE2022_Log2_Ex_19_U,,0.5877141388752021
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,0.5873361722995265
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,0.6628221768178011
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,0.5562426718917102
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,0.572767465319638
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,,0.6106994909503722
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,0.5128302157517997
RB2022_7_RecoverySprint,,0.5261332115479058
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,0.4112903965553416
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.4508457076094232,0.6398652390785973
HH2022_Reporter intensity 1,,
HH2022_Reporter intensity 2,,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,0.5522415354415517
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,0.5497970220429591
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,0.5153737632459894
AR2021_KD 72h,,0.6092087043262141
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,0.580816947324465
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.4356556949654596,0.5647694967707408
KBE2022_Log2_Ex_9_U,,0.6100674370449178
AH2018_SILAC_M_3_N,,0.5251683662759901
KBE2022_Log2_Ex_13_T,,0.5655767058681928
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,0.5783702783775407
CF2017_OSE 29,,0.606613046190687
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,,0.48577481388629995
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,0.5432509124833607
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,,0.5571671121338102
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,0.5141531865998706
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,0.4666658359717407
RB2022_7_RecoveryEndurance,,0.5202443207320493
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,0.5486645825135625
TM2022_S2.12h.B,,
RN2012_L15,,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,0.5956917432819956
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,0.6094023398934758
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,0.5901473234068904
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,,0.5731757444045051
CK2022_5 200-1,,0.5757848205581371
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,0.6012500178678724
FSO2013_Ratio H/L normalized Rep2___1,,0.5543163091588785
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,0.5273736860280711
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,0.5959176303410474
AH2018_SILAC_3_C,,0.5432932549815486
EJN2021_5_Rest_Ins,,0.561849452148365
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,0.553523249487245
CK2022_4 16-1,,0.5239517284079221
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,0.5539910985768096
EJN2021_2_Ex_Ins,,0.5473556731912079
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,0.5169315213985319
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,0.5421894162936487
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,0.5198369306542375
FSO2013_Ratio H/L normalized Rep3,,0.6099208601382923
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,0.5309011224564917
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,,0.6069285517551013
AH2018_SILAC_IT_2_N,,0.48110724685868
AH2018_SILAC_IT_1_X,,0.6331905613784783
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,0.5349283926200181
WZ2023_Pe_025_20min,,0.4790973340422866
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.4389096243116198,
RN2012_H06,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,,0.5457853269319319
SR2019_HCC1419_Biol_repl_4,,0.5265661423805379
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,0.5054628019709503
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,,0.5439614052941444
WZ2023_Su_025_10min,,0.5283790444141577
AH2018_LFQ_IT_4_X,,0.49025676186828754
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,,
RB2022_4_RecoverySprint,,
RM2024_Intensity D6-3,,
WZ2023_Su_005_20min,,0.5392990531836572
CW2012_10 µM Gef/control Experiment 1 Replicate B,,
SFR2015_HL_log2_ratio_avg_a,,
CW2012_10 µM Erl/control Experiment 3 Replicate A,,
