DatasetName,MIDEAS_M(718) MIDEAS_S(148) MIDEAS_S(3) MIDEAS_S(346) MIDEAS_S(4) MIDEAS_S(458) MIDEAS_S(459) MIDEAS_S(461) MIDEAS_S(48) MIDEAS_S(486) MIDEAS_S(632) MIDEAS_S(636) MIDEAS_S(648) MIDEAS_S(661) MIDEAS_S(700) MIDEAS_S(709) MIDEAS_S(894) MIDEAS_S(920) MIDEAS_S(923) MIDEAS_S(925) MIDEAS_S(987) MIDEAS_S(996) MIDEAS_T(468) MIDEAS_T(617) MIDEAS_T(628) MIDEAS_T(655) MIDEAS_T(687) MIDEAS_T(704) MIDEAS_T(715) MIDEAS_T(882) MIDEAS_T(893) MIDEAS_T(923) MIDEAS_Y(624) MIDEAS_Y(654),MIDEAS_M(715) MIDEAS_S(1002) MIDEAS_S(572) MIDEAS_S(711) MIDEAS_S(898) MIDEAS_T(459) MIDEAS_T(711)
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,0.520477865909858,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.5240356555258012,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.5228928575213858,
DL2023_control-1,0.5202975793624633,
AR2021_ALG 10 μM,0.5342429940841678,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5152660246350792,
EJN2021_4_Rest_Ins,0.5187728933599851,
RN2012_H05,0.5214254790401557,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5209607695122179,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5158187113236146,
EJN2021_1_Rest_Ins,0.5196288691413463,
HH2022_Reporter intensity 3,0.524456944523334,0.3180671565397675
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5237894795886844,
JW2021_After_3,,
GF2025_P8_Sph,0.5220987570051152,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5198234698897218,
CK2022_11 200-1,0.518862010678176,
CK2022_12 200-1,0.5196607594059267,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.5196143362411155,0.2894396743391945
WZ2023_Su_010_20min,0.5407039385315845,0.2883591931555675
AH2018_TMTMS2_2_N,0.5283843133489556,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.529746513243015,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.5189027256257583,
AH2018_TMTMS3_Pool,0.5130139806942737,
KS2014_Intensity N4,0.5168203452278679,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,0.5230806403763842,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.5196896414765766,
CK2022_14 200-1,0.5189987980869659,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.529944506911762,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5094770175740803,
AST2020_anti-CD3+PDL2.2,0.5193298548776794,
PG2020_Intensity Mock_10h_A,0.5211105114209623,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.5154681865002815,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.5157321759067159,
GF2025_P1_Adh,0.5162315154686387,
GF2025_P1_Sph,0.5182331384074653,
EJN2021_5_Ex_Basal,0.5188922504194722,
HS2024_7_I_T3,0.5119621746160026,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5399912450531684,0.3448699104268856
CF2017_EOC 1,0.5194899366109004,
CK2022_3 200-1,0.5180989052468412,
AH2018_LFQ_IT_3_C,0.52030609039036,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5060596805057406,
HS2024_5_B_T1,0.520559431415365,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,0.5212519962998984,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,0.4982700744775008,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5200211233978044,
RB2022_1_PostSprint,0.5215611512637143,
CK2022_4 200-1,0.5183622425209037,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.5077889432380696,
AR2021_ALG 1 μM,0.5295185292250137,
HS2024_4_B_T1,0.4997526426551533,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,0.5192351722735248,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.5294847948242287,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5167996738596428,
CK2022_9 16-1,0.5162051486950388,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.518458136376235,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,0.5227661206444746,
CK2022_16 16-1,0.5162314954622073,
FS2019_db/db3,,
CK2022_15 40-1,0.520614809692025,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.542531837402548,0.2792203627409304
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5270425475576325,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5201162628936082,
HS2024_5_PD_T3,0.5261766473716056,
AH2018_TMTMS3_3_X,0.5146118802087298,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5316802952714911,
AH2018_LFQ_M_1_N,0.5140103367124597,
KBE2022_Log2_Ex_27_U,0.5282762658712381,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.5257886699274711,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,0.5236530298930375,
YP2020_Intensity P10_R1_mult_log2,0.5148557443634223,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.5181488142927396,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.5219266178872135,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.5174745652960583,
RN2012_L13,0.5160390092327372,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.5283573599460042,
SR2019_SKBR3_Biol_repl_3,0.5131571132525063,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.5038715857519173,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.5061299731951148,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5260470400354994,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.520671303225585,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5209107667268672,
HH2022_Reporter intensity 6,0.5210867456973045,0.2931234193612438
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.516088333489873,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5132637772453192,
AH2018_TMTMS2_3_X,0.529504326415254,
GF2025_P3_Adh,0.5136029780682689,
SR2019_JIMT1_Biol_repl_2,0.5171272994491453,
AH2018_TMTMS2_1_C,0.5242844660665571,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5251362004165363,
KBE2022_Log2_Ex_19_U,0.5271899116246495,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,0.5311303797475903,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5148494300087995,
AST2020_Control,0.519346033716712,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5259887961624217,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,0.5440001791226364,
AH2018_LFQ_1_X,0.5191532285454388,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,0.5104468771927362,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5192708246320216,
HH2022_Reporter intensity 1,0.5240320562032181,0.3195672808648311
HH2022_Reporter intensity 2,0.5245328578127365,0.31927605697625167
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.5166354439417489,
SR2019_MCF7_Biol_repl_1,0.5158394855568,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5382448559171239,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.523570121842998,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,0.5190666167785666,
CR2017_Ratio Replicate 2,0.5467724145056357,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5249857608297928,
AR2021_KD 72h,0.541761714101798,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5254316689154974,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5139185420273812,
KBE2022_Log2_Ex_9_U,0.5317970372472588,
AH2018_SILAC_M_3_N,0.5200715253318005,
KBE2022_Log2_Ex_13_T,0.5279155136995682,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.5157590855023918,
PG2020_Intensity Mock_10h_C,0.5198507135721409,
CF2017_OSE 29,0.5191873307986528,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,0.5218011383351696,
HS2024_7_B_N2,0.5225579975705349,
PG2020_Intensity 10h_A,0.5196694508322608,
RN2012_L12,0.5250910747734991,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.515957549318776,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,0.5192103652466382,
FSO2013_Ratio H/M normalized Rep1___1,0.5243295193090551,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.5171456446930884,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.5191767093970944,
TM2022_S2.12h.B,,
RN2012_L15,0.5243445758142545,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.5252330170871097,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5278348622039516,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5224382753372911,
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.5437571592489908,
CK2022_7 200-1,0.514367608007856,
CK2022_5 200-1,0.5145744844788754,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5215614194300818,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,0.5296330312379588,
AH2018_LFQ_2_C,0.5218286750749883,
AH2018_SILAC_MR_1_X,0.5209310900947651,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,0.5209016665438884,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.529357055570164,
