DatasetName,DAP_S(40) DAP_S(49) DAP_S(91) DAP_T(11),DAP_S(2) DAP_S(3) DAP_S(51) DAP_T(36) DAP_T(56)
EP2017_Pervanadate R#3 normalized log2 ratio,,
RM2024_Intensity D4-3___3,0.4942557406453666,0.603980211647837
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,0.638003906625811
RB2022_5_PostStrength,,
GF2025_P6_Sph,,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,0.4961273489696073,0.6054774983072295
WZ2023_Pe_025_10min,,0.5994834830305589
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,0.6952606908301407
WZ2023_Pu_005_10min,,0.5881274128852679
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.6030623619161416
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.5734541020527393
AH2018_SILAC_MR_2_X,0.4786023906126645,0.5843420438789912
HS2024_4_PD_T2,,0.6043343587977447
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,0.6183015016794139
CR2017_Ratio Replicate 1.4,0.474312594106891,0.4631694388093591
FR2021_Norm.Intensity.B,,0.6241550617042482
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,0.45647438329792267,0.4841006928221507
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,0.6020128959932292
AH2018_SILAC_3_X,,0.5895127886101699
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,0.6217694930158405
HS2024_7_PD_T2,0.5286963630329584,0.6718699350970347
FSO2013_Ratio H/L normalized Rep1___1,,0.570079126446486
AH2018_LFQ_1_C,,0.545291905193948
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,0.6875622148150915
HS2024_3_B_N1,,0.5713669222632372
RM2024_Intensity D4-2___3,0.4994008532185783,0.6080963017064064
WZ2023_Pe_025_30min,,0.5832165837102432
CK2022_11 40-1,,0.6018475491499493
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,0.6055998878653205
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,0.6039620150056798
FSO2013_Ratio H/L normalized Rep2,0.4575551208535148,0.5740994287488308
WZ2023_Pu_005_20min,,0.5520282173269944
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5039740250468835,0.47763498357974543
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.4669476100376521,0.5120472445616052
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,0.6130791970805547
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,0.566039692612111
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,0.6079864091510465
HS2024_9_B_T2,0.49788330340125403,0.5714084871236056
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.4094497611845576,0.5012156771002496
FSO2013_Ratio M/L normalized Rep3___2,0.46888005536496813,0.5836796634235182
SR2019_BT549_Biol_repl_3,,0.6064743776299102
RCJD2014_20min_mean,,0.6103387092449241
FR2021_Norm.Intensity.H,,0.6216489803967249
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,0.4917805482743347
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.614438224450421
CK2022_1 200-1,,0.6603595377847025
PG2020_Intensity Mock_10h_D,0.4764513520758704,0.6068224197066048
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.45599786969855727,0.5410260891440972
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,
RCJD2014_5min_1,,0.5783018771563848
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,0.6371596223273437
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.4857288075234607,0.47316496824805315
PG2020_Intensity 2h_C,,0.6321062987039077
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,,0.6945131740398018
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.43738151525294316,0.5511261243292963
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,0.4377708955107012,0.5712724149891906
AH2018_LFQ_M_2_C,0.45082349095714463,0.6022420468198202
CK2022_3 40-1,,0.6096743104489495
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.4471379700006457,0.5777059309480919
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,0.4556158028095149,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,0.6339479671548071
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.5054702022397086,0.5493906683836082
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,0.5863655550803211
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,0.4624172271942316,0.5804525605473432
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,0.522466608943329,0.6085924533625606
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,0.4652835381668508,0.5656528459415248
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,0.5528575701956591
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,
HS2024_8_I_T3,0.48578254279007094,0.6007399777430319
CF2017_EOC 3,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.474185948588308,0.5967488726104209
DL2023_12h-2,0.4597015027847721,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,0.602244067605337
WZ2023_Pu_010_20min,,0.5786566101752255
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.6129773869610003
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.5818402435638155
KS2014_Intensity N3,0.46710209607302255,0.5867884367033718
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,0.5810426371393241
FSO2013_Ratio H/M normalized Rep2,0.42964056720082766,0.581499473662231
RAM2015_Log2 A,0.4852797444449778,0.5876013222163071
HS2024_8_PD_T1,0.4880386507831162,0.6085697537585398
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,0.6125772207800554
KS2014_Intensity E15_2,,0.6195801857354694
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,0.553627400603
HS2024_7_I_T1,0.473296167223614,0.5859988831932926
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,0.5590667729238623
SR2019_JIMT1_Biol_repl_1,,0.5935995668479892
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,0.5665678116394639
AH2018_SILAC_M_3_X,,0.584255403493896
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.6874074284219032
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,0.5565324067831099
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,0.4381702306928099,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,
HS2024_6_B_N1,,0.5329067578026119
KBE2022_Log2_Ex_27_T,,0.678071193668506
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,0.6021681179464583
AMK2021_120R_p5,,0.6027539551735845
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,0.6170029801260342
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,0.5730230003419695
FSO2013_Ratio M/L normalized Rep2,0.43974932916137366,0.5753962599910222
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.4617637830409699,
SR2019_HCC1954_Biol_repl_2,,0.6200514567879148
CK2022_14 40-1,,0.5972730924244521
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.4686437821972445,0.6100848843821083
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,0.57918357822546
DL2023_control-1,0.4604590666950803,
AR2021_ALG 10 μM,0.43387583971573673,0.557032518039223
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,0.6033071380780728
EJN2021_4_Rest_Ins,,
RN2012_H05,,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,0.47292750185929044,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,0.5906539497946924
JW2021_After_3,,
GF2025_P8_Sph,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,0.6041783382802932
CK2022_11 200-1,,0.6402839174490853
CK2022_12 200-1,,0.6384871701235844
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,0.46735829410464397,0.5824622544152589
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.4434952589245003,
WZ2023_Su_010_20min,,0.5707572588075
AH2018_TMTMS2_2_N,0.49383357463218214,0.6746570819090492
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,0.6855995188547168
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,,0.621637438605537
KS2014_Intensity N4,0.4412823634698575,0.5642203011423359
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,0.5535246206042701
RM2024_Intensity D4-2___2,,0.6307312056816755
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,0.5916318659325088
CK2022_14 200-1,,0.6428790467487344
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,0.6379779597842641
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,0.6000044777064496
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,0.607353438202411
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,0.6195444779539071
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,0.5915420132004959
GF2025_P1_Adh,,
GF2025_P1_Sph,,
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.49993194314452294,0.6117423470707158
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.5832009669640623
CF2017_EOC 1,,0.5780786989822823
CK2022_3 200-1,,0.6593786506657879
AH2018_LFQ_IT_3_C,,0.6025332054803819
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,0.5243880764082478
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,0.5593125485853176
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.48150615911432015,0.6488437128366508
HS2024_5_B_T1,0.43459863858067976,0.5562545299960875
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,0.46524606695378223,
SR2019_MDAMB231_Biol_repl_2,,0.609579247313657
HS2024_3_B_T2,,0.6002070263715347
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.6132589116467224
RB2022_1_PostSprint,,
CK2022_4 200-1,,0.6629377480291048
JW2021_Before_2,,
TM2022_S2.12h.A,,0.6350782769311405
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,0.5806459302321472
AR2021_ALG 1 μM,0.4230714457976277,0.5531396754772866
HS2024_4_B_T1,0.4675523836161655,0.5635015152200664
MV2014_Ratio M/H normalized A3___1 (10 min),,0.5306026176419254
SR2019_BT549_Biol_repl_4,,0.6037055293864764
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,0.5970357376605213
CR2017_Ratio Replicate 3.2,0.482203039907907,0.5804763011993852
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,
CK2022_9 16-1,,0.5947140829301834
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,0.5998084429970889
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,0.6123625726870433
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,0.6425523250408998
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,0.5967870792002008
CK2022_16 16-1,,0.5917559182002082
FS2019_db/db3,,0.5941841118825751
CK2022_15 40-1,,0.5984571513045905
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.5525600995694944
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.6722454788405471
AMK2021_Ctrl_p1,,0.5530028981709311
AH2018_LFQ_IT_3_X,,0.6054099408804201
HS2024_5_PD_T3,,0.5438288649920944
AH2018_TMTMS3_3_X,,0.6203615434634294
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,0.6949689468846312
AH2018_LFQ_M_1_N,0.43584986815888815,0.5807454641480837
KBE2022_Log2_Ex_27_U,,0.6740317594576164
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,0.5603753075309315
AH2018_SILAC_M_1_N,,0.5851859553595002
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,0.4006226498183285,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,0.6378294710245151
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,0.6088622609977083
CK2022_12 16-1,,0.5904574061376126
RN2012_L13,,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,0.6201503932538953
KBE2022_Log2_Ex_8_U,,0.6841876922210005
SR2019_SKBR3_Biol_repl_3,,0.6047750741346585
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.4169835600533151,0.5257943489386001
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,0.4844960325729204,0.59617244518988
HS2024_6_I_T2,,0.6505259483560804
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,,0.5843884946664704
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,0.6024785599794711
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,0.4953677840923649,0.6163845811936205
LY2019_P3+,,0.6090225919826006
HH2022_Reporter intensity 6,0.4593781559626885,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,0.6240202167057909
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,0.6049080047717933
AH2018_TMTMS2_3_X,0.4858139243229658,0.6665657508804257
GF2025_P3_Adh,,
SR2019_JIMT1_Biol_repl_2,,0.5896471595175741
AH2018_TMTMS2_1_C,0.49834419456474627,0.6711886700931834
RM2024_Intensity D0-1___2,0.5261723923183135,0.6033597872994316
LY2019_P4+,,0.571323749399556
KBE2022_Log2_Ex_19_U,,0.6920433522882743
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,0.5876330510202751
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,0.6012176683208152
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,0.6358103888506264
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,0.6188640921570541
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,,0.5753545773565513
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,0.46031279527111585,0.5768258553484363
AH2018_LFQ_1_X,0.41236024834051027,0.5735530475043198
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,0.5595559434307625
FR2021_Norm.Intensity.M,,0.6181220685762022
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.45644336971726224,0.5934169320681109
HH2022_Reporter intensity 1,0.47153715330608714,
HH2022_Reporter intensity 2,0.47538569531643204,
RM2024_Intensity D6-2___2,,0.6227609211814888
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,0.6128833946968042
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.45951301706067343,0.5242775878048663
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,
SR2019_LM2_Biol_repl_3,,0.6221004486417623
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.4854203044832147,0.6728591478093169
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.44827848323348546,0.5800915698193334
AR2021_KD 72h,0.41937902284715733,0.5491017037700673
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,0.6854610855418698
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,0.6214534497669459
KBE2022_Log2_Ex_9_U,,0.6873456504678213
AH2018_SILAC_M_3_N,,0.6092095793992595
KBE2022_Log2_Ex_13_T,,0.6919834051542834
RM2024_Intensity D0-3,0.49322536072530554,0.6143451507880263
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.4761607441026998,0.6082059155546056
CF2017_OSE 29,,0.6055010422364175
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,0.5950647348670394
PG2020_Intensity 10h_A,,0.6006524223158843
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,0.5925839194593863
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,0.6247433765069772
FSO2013_Ratio H/M normalized Rep1___1,,0.5893168858942113
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,0.5956166415693698
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,0.6350782769311405
RN2012_L15,,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,0.6364079156757031
PG2020_Intensity 4h_A,,0.6124213965893066
FSO2013_Ratio H/M normalized Rep2___2,0.43198888223043286,0.55416672491589
TM2022_mock.4h.B,,0.6373195312328288
KBE2022_Log2_Ex_24_U,,0.6983976922352537
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.46485360190564323,0.5975745670714535
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.4339779092595394,0.5557579465391752
CK2022_7 200-1,,0.6381097398264289
CK2022_5 200-1,,0.6369044633103897
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,0.6164427982262347
FSO2013_Ratio H/L normalized Rep2___1,,0.5744007093691732
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,0.4401042751764161,0.5889341478067653
AH2018_SILAC_MR_1_X,0.4896207776101143,0.5773039491995385
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,0.486284494678733,0.6131754641790954
KBE2022_Log2_Ex_25_U,,0.6692600046925088
AH2018_SILAC_3_C,,0.592670482054498
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.4508185404877247,0.5873891189615845
CK2022_4 16-1,,0.6192338465450951
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
