DatasetName,FYTTD1_S(115) FYTTD1_S(23) FYTTD1_S(7),FYTTD1_S(1) FYTTD1_S(118) FYTTD1_S(15) FYTTD1_S(16) FYTTD1_S(257) FYTTD1_S(3) FYTTD1_S(61) FYTTD1_S(9) FYTTD1_T(12) FYTTD1_T(14) FYTTD1_T(260)
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.47950028345234497
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.6885843384311635,
EJN2021_3_Rest_Basal,0.6600965307988411,0.4854644594265878
CR2017_Ratio Replicate 1.3,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,0.4783530198557635
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,0.4878492277045346
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,,0.4761428308803088
AH2018_LFQ_1_C,,0.4580953602545888
AS2011_Ratio H/L Normalized Inhi_1_3,,0.4369694644665582
KBE2022_Log2_Ex_28_T,0.6365263121268722,0.4785489704862119
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.5023639311477358
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,0.4790547076879257
AH2018_SILAC_2_X,,0.4774057327808763
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,0.4907702774200983
FSO2013_Ratio H/L normalized Rep2,,0.4844740205644852
WZ2023_Pu_005_20min,,0.4992193836918321
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.4808945379285255
CW2012_10 µM Gef/control Experiment 2 Replicate B,,0.4811092485182302
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,0.47543096653995076
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,0.48856278352306626
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,0.4786085334246834
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,0.6235934961474201,
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,0.4860142333973618
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.6461283768960032,
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,0.6465592260721768,0.48122401724792746
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,,0.47498756708012485
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,,0.4968962869876867
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,0.486929441255767
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,0.4837966655531384
EJN2021_5_Rest_Basal,0.6638219842847704,0.48611388765224456
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,0.4831444194942241
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,0.479660373620645
YA2020_Reporter_intensity_Normal_No.1,0.6142389776259535,0.48552090666485553
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.7166887456583928,0.47603501163672024
RB2022_1_PostEndurance,0.6528806822253038,
CR2017_Ratio Replicate 3,,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,0.6550124042706028,0.4741822241946218
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5848558037196161,0.4748185364440349
HS2024_8_I_T3,,
CF2017_EOC 3,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,0.49911263428199404
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,,0.49105584381553574
RB2022_4_RecoveryEndurance,0.7232376486509864,0.4809435199378436
RB2022_5_RecoveryEndurance,0.7189663054828901,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,0.4798513168632251
FSO2013_Ratio H/M normalized Rep2,,0.48503527198980323
RAM2015_Log2 A,,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,,0.4891417769669561
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,,0.4788170340896549
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.6403851827870463,0.4970164225182571
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,0.4853934615794977
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.7004166345532937,0.47210968059841607
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,0.49369419065578074
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.6780108024589514,0.4772359012080271
CW2012_10 µM Gef/control Experiment 1 Replicate A,,0.4703659796961789
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,0.42506546757347313
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,0.48955962993115276
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.7089472905607269,0.4639586622015214
AH2018_SILAC_IT_3_X,,0.4796934726001604
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,,0.4837787925041815
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,0.6415591554275247,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,
RB2022_6_PreSprint,,0.4796777971102923
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,0.49330942300779257
DL2023_control-1,,
AR2021_ALG 10 μM,0.6161039695181394,0.4861952470341485
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,0.49464634274381697
EJN2021_4_Rest_Ins,0.6637706424789812,0.48340077059129904
RN2012_H05,0.6421951288983533,0.4889174929235398
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.6180599760436686,0.4949235662786384
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.6714815767986719,0.45878662818895427
EJN2021_1_Rest_Ins,0.6703851280644789,0.4846500300043935
HH2022_Reporter intensity 3,0.6730566724979715,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,0.5003197782191869
JW2021_After_3,,
GF2025_P8_Sph,0.6190172389962395,0.46752025575965594
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,0.48636956318657065
CK2022_11 200-1,0.6478207328839666,
CK2022_12 200-1,0.6538803096698348,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,0.6473321730023399,
WZ2023_Su_010_20min,,0.496061886203506
AH2018_TMTMS2_2_N,,0.5143030879091726
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,0.47835456302734747
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,0.4731433900232318
AH2018_TMTMS3_Pool,,0.49731215928675243
KS2014_Intensity N4,,0.49515062736169946
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.6428286668131477,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.6579854442506613,0.4822675390545416
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,0.48330872681692616
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.6643361828715004,0.4836324477917931
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,
GF2025_P1_Adh,0.6243690769238138,0.4951244909580598
GF2025_P1_Sph,0.6232061860211952,0.4876336231249325
EJN2021_5_Ex_Basal,0.6635621507544056,0.48592217597470816
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.5040114039663415
CF2017_EOC 1,,
CK2022_3 200-1,0.6217504893697642,
AH2018_LFQ_IT_3_C,,0.4979982172925668
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,0.5957629531897041,0.4713318059201001
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,0.48011057032686827
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,0.47373840962530184
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,0.4750890296037599
CK2022_2 40-1,,
RB2022_1_PostSprint,0.6867213891525351,
CK2022_4 200-1,0.6210802341341536,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,0.6448609641402404,0.492725175446191
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,0.6669655764433297,0.48506765500310434
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.6431279188875156,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,0.4891875756056389
GF2025_P7_Adh,0.6107128908460226,0.49183116935148646
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,0.5258790436613192
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.6413702495663892,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.4979000478274289
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.48067894240740916
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,0.47734760031826456
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,,0.510751416931424
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.63113114465277,0.4808620496048921
AH2018_LFQ_M_1_N,,0.49198034822275444
KBE2022_Log2_Ex_27_U,0.7011870434334694,0.4843891693772661
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,0.4792314913255757
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,0.6734023593477624,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,0.717084667245067,0.4736682533402983
YA2020_Reporter_intensity_Normal_No.4,,0.4868834212320413
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,
RN2012_L13,0.6441505006877826,0.48248651050937724
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.6874487690508544,0.4820457387779831
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,0.46928095227269995
AS2011_Ratio H/L Protein Inhi_1,,0.4418632968306299
FSO2013_Ratio H/M normalized Rep2___1,,0.4862516183139269
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.6683573207582468,0.5016794086115931
HH2022_Reporter intensity 6,0.6282042179313462,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5829994792147875,0.4772168052478886
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,,0.5096801315505487
GF2025_P3_Adh,0.6200836037800335,0.48778661228254216
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,,0.5194044437758643
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.6344262213591964,0.4756014326325842
KBE2022_Log2_Ex_19_U,0.648944048500446,0.4911287132858913
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,0.687183615435285,0.4788652291701754
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5795149887724078,0.487545587446736
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,0.4369694644665582
FSO2013_Ratio M/L normalized Rep2___1,,0.49104673351670924
LG2023_Control-2_intensity,,0.4853952348021935
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,0.6736901424137027,
RB2022_7_RecoverySprint,0.61659774737814,0.4816621841290576
YA2020_Reporter_intensity_Normal_No.3,0.6097859574085726,0.487322699341292
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,0.4905067008982585
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,0.4896718128351114
HH2022_Reporter intensity 1,0.6714217964251632,
HH2022_Reporter intensity 2,0.6697380064297674,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,0.48706770362710883
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,0.49044992640023205
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,0.6799863446742788,0.4737662461236034
CR2017_Ratio Replicate 2,,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,0.47316788418510486
FSO2013_Ratio H/M normalized Rep3,,0.49795741333425
AR2021_KD 72h,0.5901686420083556,0.49942848059566636
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.6597967678809621,0.4764932168262545
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,0.4896724893429056
KBE2022_Log2_Ex_9_U,0.6405653274413385,0.4821983786133671
AH2018_SILAC_M_3_N,,0.48003788734328867
KBE2022_Log2_Ex_13_T,0.6339187931780467,0.4766084773165435
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,
CF2017_OSE 29,0.6173820043041579,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,,
RN2012_L12,,0.47976889877118667
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,0.4848231432685593
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,,0.4775729073961514
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,0.7033928564794457,0.4785791690686306
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.6633113255231231,0.48491608913636325
TM2022_S2.12h.B,,
RN2012_L15,0.6267396596032125,0.48179597961826154
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,0.48143269542699124
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,0.48547898986377885
RB2022_1_PreSprint,0.7152215850768354,
HS2024_4_I_N1,,
CK2022_7 200-1,0.627962191598809,
CK2022_5 200-1,0.6273371426353477,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,,0.485652772956772
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,0.4790525872116509
AH2018_LFQ_2_C,,0.49505929951666466
AH2018_SILAC_MR_1_X,,0.48636075229804415
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,0.48595522006703734
AH2018_SILAC_3_C,,0.4848335250882423
EJN2021_5_Rest_Ins,0.6615015011675006,0.4871326177114217
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,0.4762950654674748
CK2022_4 16-1,,
AS2011_Ratio H/L,,0.4690831870119188
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,0.6595493416006715,0.4855361582915892
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,0.4902259967479896
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,,0.49292526811752474
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,0.6369479387346341,0.4744198131849112
AH2018_SILAC_IT_2_N,,0.4933198757502258
AH2018_SILAC_IT_1_X,,0.4971631131869621
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
