DatasetName,HASPIN_S(143) HASPIN_S(349) HASPIN_S(353),HASPIN_S(141) HASPIN_S(153) HASPIN_T(764) HASPIN_T(89) HASPIN_T(909),HASPIN_S(108) HASPIN_S(145) HASPIN_S(147) HASPIN_S(288) HASPIN_S(387) HASPIN_S(389) HASPIN_S(93) HASPIN_T(112) HASPIN_T(253) HASPIN_T(289) HASPIN_T(97)
GRW2016_Ratio M/L normalized SILAC 5a___2,,,
CK2022_10 40-1,,,0.47859445804971
NJH2024_Sub12_HIIT_Pre,,,
NJH2024_Sub8_MICT_Pre,,,
RM2024_Intensity D0-1___1,,,
LY2019_P3+,,,0.49425420873904424
HH2022_Reporter intensity 6,,0.6486408104681451,
RB2022_2_RecoveryStrength,,,
KTGR2014_Ratio-AA 15 mins,,,
AS2011_Ratio H/L Normalized RNAi_2_2,,,
KS2014_Intensity pY_N3,,,
MV2014_Ratio H/L normalized B1___2 (30 min),,,
LY2019_P5-,,,0.4969715911935651
HW2015_Ratio M/L normalized Exp2,,,
SR2019_HCC1419_Biol_repl_1,,,
AH2018_TMTMS2_3_X,,,0.4799606851876876
GF2025_P3_Adh,,,
SR2019_JIMT1_Biol_repl_2,,,
AH2018_TMTMS2_1_C,,,0.485275351614613
RM2024_Intensity D0-1___2,,,
LY2019_P4+,,,0.48368715312756405
KBE2022_Log2_Ex_19_U,,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,,
RB2022_4_PostStrength,,,
LG2023_GSK3α-3_intensity,,,
YA2020_Reporter_intensity_Cancer_No.1,,,
AST2020_Control,,,0.48790622310155046
JAW2011_Ratio H/L LS1a,,,
RCJD2014_5min_mean,,,0.4963278666997839
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,,
NJH2025_Sub1_MICT_Mid,,,
TM2022_S2.12h.C,,,
NJH2025_Sub9_MICT_Mid,,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,,
AS2011_Ratio H/L Normalized Inhi_1_2,,,
FSO2013_Ratio M/L normalized Rep2___1,,,0.4723555559704707
LG2023_Control-2_intensity,,,
NJH2024_Sub8_HIIT_Pre,,,
KS2014_Intensity pY_N2,,,
RB2022_5_RecoverySprint,,,
RB2022_7_RecoverySprint,,,
YA2020_Reporter_intensity_Normal_No.3,,,
HS2024_8_B_T2,,,
AH2018_LFQ_1_X,,,
RM2024_Intensity D6-1___1,,,
RCJD2014_10min_2,,,0.4710718626903843
FR2021_Norm.Intensity.M,,,
RM2024_Intensity D0-3___1,,,
KS2014_Intensity N2,,,0.5076935170659437
HH2022_Reporter intensity 1,,0.6676902644797156,0.48701738174721937
HH2022_Reporter intensity 2,,0.6675247940897792,0.48696316750255647
RM2024_Intensity D6-2___2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,,
RM2024_Intensity D2-3___2,,,
YA2020_Reporter_intensity_Normal_No.5,,,
SR2019_MCF7_Biol_repl_1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,,
HS2024_8_B_T1,,,
NJH2025_Sub6_HIIT_Pre,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,,
EP2017_Untreated R#2 log2 ratio,,,0.5245221637336801
SR2019_LM2_Biol_repl_3,,,
RB2022_4_RecoveryStrength,,,
CR2017_Ratio Replicate 2,,,0.495468284803338
CW2012_10 µM Erl/control Experiment 2 Replicate A,,,
FSO2013_Ratio H/M normalized Rep3,,,0.49669928197614566
AR2021_KD 72h,,,0.49556175290784754
MV2014_Ratio H/M normalized B2___3 (5 min),,,
KBE2022_Log2_Ex_18_U,,,
AS2011_Ratio H/L Inhi_1_1,,,
NJH2024_Sub8_MICT_Post,,,
AH2018_TMTMS3_3_C,,,0.49226853190273284
KBE2022_Log2_Ex_9_U,,,
AH2018_SILAC_M_3_N,,,
KBE2022_Log2_Ex_13_T,,,
RM2024_Intensity D0-3,,,
SR2019_SKBR3_Biol_repl_1,,,
PG2020_Intensity Mock_10h_C,,,
CF2017_OSE 29,,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,,
NJH2025_Sub1_HIIT_Post,,,
DL2023_24h-2,,,
HS2024_7_B_N2,,,
PG2020_Intensity 10h_A,,,
RN2012_L12,,,
MV2014_Ratio M/L normalized B1___3 (5 min),,,
NJH2024_Sub8_MICT_Mid,,,
AH2018_LFQ_IT_4_C,,,
SAS2015_PLX/AZD_Exp1,,,
FR2021_Norm.Intensity.A,,,
FSO2013_Ratio H/M normalized Rep1___1,,,0.48772189573968333
JW2015_Intensity cap2,,,
BS2014_Log2(Ratio H/L normalized Rep_2),,,0.47781958053919893
NJH2024_Sub6_MICT_Post,,,
CK2022_8 40-1,,,0.48169575437062345
RB2022_7_RecoveryEndurance,,,
NJH2025_Sub12_HIIT_Post,,,
EJN2021_4_Ex_Basal,,,
TM2022_S2.12h.B,,,
RN2012_L15,,,
KS2014_Intensity pY_PV3,,,
TM2022_S2.4h.B,,,
PG2020_Intensity 4h_A,,,
FSO2013_Ratio H/M normalized Rep2___2,,,
TM2022_mock.4h.B,,,
KBE2022_Log2_Ex_24_U,,,
NJH2025_Sub13_MICT_Mid,,,
KS2014_Intensity C3,,,0.47387406476055566
RB2022_1_PreSprint,,,
HS2024_4_I_N1,,,
CK2022_7 200-1,,,0.48863627751464
CK2022_5 200-1,,,0.48913324363422517
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,,
FSO2013_Ratio H/L normalized Rep2___1,,,0.4716950897781137
NJH2024_Sub10_HIIT_Mid,,,
RB2022_2_PostEndurance,,,
AH2018_LFQ_2_C,,,
AH2018_SILAC_MR_1_X,,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,,
IMM2018_normalised rep. int. Empty-2,,,
RM2024_Intensity D4-1,,,
KBE2022_Log2_Ex_25_U,,,
AH2018_SILAC_3_C,,,
EJN2021_5_Rest_Ins,,,
VOI2024_0.1uM 24 h_3 di,,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,,
DB2022_LFQ intensity L2.1,,,
FSO2013_Ratio H/M normalized Rep1,,,0.48432868865049894
CK2022_4 16-1,,,0.49291264830433473
AS2011_Ratio H/L,,0.644211682041671,
SR2019_MCF7_Biol_repl_4,,,
EJN2021_2_Ex_Ins,,,
AS2011_Ratio H/L Inhi_2_3,,,
JAW2011_Ratio H/L LS1a_1,,,
AH2018_LFQ_1_N,,,
SAS2015_PLX/DMSO_Exp1,,,
SFR2015_HL_log2_ratio_avg_c,,,
JJ2018_Ratio M/L normalized pP2,,,
NJH2024_Sub7_MICT_Mid,,,
PG2020_Intensity 6h_B,,,
FSO2013_Ratio H/L normalized Rep3,,,0.4832647379763479
GRW2016_Ratio H/L normalized SILAC 2___2,,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,,
JJ2018_Ratio M/L normalized,,,
KTGR2014_Ratio-AA 30 mins,,,
JW2021_After_1,,,
NJH2025_Sub2_MICT_Mid,,,
HS2024_6_B_N2,,,
KBE2022_Log2_Ex_9_T,,,
AH2018_SILAC_IT_2_N,,,
AH2018_SILAC_IT_1_X,,,
HW2015_Ratio H/L normalized Exp3,,,
HS2024_7_PD_T1,,,
UK2020_UA_2,,,
RM2024_Intensity D2-1___1,,,
GF2025_P10_Sph,,,
WZ2023_Pe_025_20min,,0.650389394936314,0.4823631356827502
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,,
AH2018_LFQ_2_N,,,
HS2024_4_I_N2,,,
AH2018_TMTMS2_3_N,,,0.4805286816120942
RN2012_H06,,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,0.6598319890987627,
HS2024_4_PD_T3,,,
WZ2023_Su_005_30min,,0.6511112853815866,
SR2019_HCC1419_Biol_repl_4,,,
JJ2018_Ratio H/M normalized___2,,,
SR2019_JIMT1_Biol_repl_3,,,
AS2011_Ratio H/L Protein,,0.6621935750819186,
UK2020_HCM_3,,,
NJH2024_Sub10_HIIT_Post,,,
CR2017_Ratio Replicate 3.1,,,0.49162421848394283
WZ2023_Su_025_10min,,0.6537197617506714,0.476417432358409
AH2018_LFQ_IT_4_X,,,
CP2009_Ratio H/L,,,
VOI2024_0.1uM 24 h_3 mono,,,
RB2022_4_RecoverySprint,,,
