DatasetName,GSS_S(151) GSS_S(18) GSS_S(181) GSS_S(3) GSS_S(301) GSS_S(304) GSS_S(415) GSS_T(147) GSS_T(238),GSS_C(415) GSS_S(10) GSS_S(37) GSS_S(48) GSS_S(67)
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.5117761035477212,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,0.6162637163088286
PG2020_Intensity 8h_C,0.4999265847599001,
AH2018_SILAC_MR_2_N,0.5199166029774509,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5157296409020541,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5107919442914697,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5095600579360253,0.6240457202992953
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.49169780635810223,
GF2025_P6_Sph,,
RB2022_2_PreSprint,,0.6334511541339938
ZX2022_CB treated Replicate 3,0.49981920726846885,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.61647556125676
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.5062666981971378,
WZ2023_Pu_005_10min,,0.617678959334573
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.619413660756607
AH2018_SILAC_MR_2_X,0.5195123581714987,
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,0.5366276655879516,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,0.5094081579110774,0.6181931547431647
EJN2021_3_Rest_Basal,,0.6121853471274046
CR2017_Ratio Replicate 1.3,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,0.5057988349217717,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.5049022276686737,
HS2024_7_PD_T2,0.49806727628407976,
FSO2013_Ratio H/L normalized Rep1___1,0.5063079317254877,
AH2018_LFQ_1_C,0.5125300935479892,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.6144841908678847
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5047382623503271,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5166110501791883,
FSO2013_Ratio H/L normalized Rep2,0.5091915166457588,
WZ2023_Pu_005_20min,,0.616362514869168
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,0.5157929795906208,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.49426566171646186,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,0.5106004412741995,0.6043891818736954
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,0.5205225011351132,
PG2020_Intensity Mock_10h_D,0.4958032707401757,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5222428546088017,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.5145640151210968,
RB2022_6_RecoveryEndurance,0.5036043405519786,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5108239147884487,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,
PG2020_Intensity 2h_C,0.4886869024678643,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5013791195517224,
KBE2022_Log2_Ex_8_T,0.5016561663081482,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5238063037325597,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,0.5179991274746376,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5082308984237047,
EJN2021_5_Rest_Basal,,0.6155689047903645
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,0.5071733940322241,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.5149446106139621,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,0.5052422466356886,
YA2020_Reporter_intensity_Normal_No.1,0.521581066184692,
HS2024_3_B_T1,0.49882641874543476,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5121331185963891,
RB2022_1_PostEndurance,0.5324559801621925,
CR2017_Ratio Replicate 3,,
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,
HS2024_8_I_T3,,
CF2017_EOC 3,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5108974111888815,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,0.6211889941993249
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,0.5267497466016451,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,0.5079504769861428,0.6260775276610557
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,0.5149510506997836,
RAM2015_Log2 A,,
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,0.5102222257363063,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,0.5065024785065073,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5319665711938734,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.50551921209911,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.507853889152355,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.5145246102289392,0.6214286529238366
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.4996196058237763,
AH2018_SILAC_IT_3_X,0.5005944279480099,
JAW2011_Ratio H/L,0.5190804177479511,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.5026715430489297,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,0.5140706208522844,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5032536133434542,
EJN2021_4_Rest_Ins,,0.6061117649473645
RN2012_H05,0.5285112676231972,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.5010958371402785,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5088219738926898,
EJN2021_1_Rest_Ins,,0.62108505319277
HH2022_Reporter intensity 3,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5109187552577605,
JW2021_After_3,0.5158264855412692,
GF2025_P8_Sph,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.5039911579939191,
CK2022_11 200-1,0.5259330322681232,
CK2022_12 200-1,0.5268833425165241,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,,0.6174537754268633
AH2018_TMTMS2_2_N,0.5121246414117364,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.5038452267028909,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.5020384537412773,0.6211686403959729
AH2018_TMTMS3_Pool,0.5104154288835537,
KS2014_Intensity N4,0.5204784870906471,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.5185560396449288,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.5021794705225034,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5144090089159181,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.4921542804149386,
JW2021_After_2,0.5153328264746488,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,0.6227070629135477
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,0.5233961098437908,
CK2022_13 16-1,,
GF2025_P1_Adh,0.5055904350821492,
GF2025_P1_Sph,0.5298315736102522,
EJN2021_5_Ex_Basal,,0.61003640780863
HS2024_7_I_T3,0.5225506792902114,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.6167642969671823
CF2017_EOC 1,,
CK2022_3 200-1,0.5202335163465723,
AH2018_LFQ_IT_3_C,0.5052418470099619,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,0.5334847246930521,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5233309600423531,
HS2024_5_B_T1,0.5141813481187255,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,0.5132464131083401,
CK2022_2 40-1,,
RB2022_1_PostSprint,0.5083604448272891,
CK2022_4 200-1,0.5203312419676918,
JW2021_Before_2,0.509670034202242,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,0.5207161461462962,
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,0.6237282523857026
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5186393147119629,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.6155622670294132
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.5048677119297911,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.5047417705835319,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.5083048475073421,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.5034295893232246,
AH2018_LFQ_M_1_N,,
KBE2022_Log2_Ex_27_U,0.5076995526901328,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,0.4873733202935904,0.6118574242567079
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,0.5160078647861288,
YA2020_Reporter_intensity_Normal_No.4,0.5201624340498043,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,0.4980357398668662,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,
RN2012_L13,0.4942198735157517,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.5047775052338894,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.496315630230083,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5165248967996929,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5498384589637161,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,0.5106746062792331,0.6097299348397172
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.511696378871864,
GF2025_P3_Adh,0.5075365359023364,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.5140169803835752,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.49762140998817805,
KBE2022_Log2_Ex_19_U,0.5062308810567995,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,0.5027646971807926,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5038109042222252,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.5029136061903601,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,0.5163431983083624,
RB2022_7_RecoverySprint,0.5287714981624743,
YA2020_Reporter_intensity_Normal_No.3,0.5244107418353153,
HS2024_8_B_T2,0.5289910126243754,
AH2018_LFQ_1_X,0.5049532855425485,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5246401489284198,
HH2022_Reporter intensity 1,,
HH2022_Reporter intensity 2,,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.5191392702872104,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.501973241993524,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,0.513753957243455,
CR2017_Ratio Replicate 2,,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5103821532033721,
AR2021_KD 72h,0.5008445143612863,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5006597820905333,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5110184852227225,
KBE2022_Log2_Ex_9_U,0.5038842536022856,
AH2018_SILAC_M_3_N,0.5059045514561195,
KBE2022_Log2_Ex_13_T,0.49917603583041753,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.505959373272126,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.518480843753462,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,0.6114777317019493
TM2022_S2.12h.B,,
RN2012_L15,0.5124793294635975,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5020501603766432,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5126108101156307,
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.5164096378258604,
CK2022_7 200-1,0.5218116010471875,
CK2022_5 200-1,0.5211838571059386,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.509334491096804,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,0.5173098435161321,0.6217097060258803
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,0.5184227023446596,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.5064767805814276,
AH2018_SILAC_3_C,0.5059480967402643,
EJN2021_5_Rest_Ins,,0.617185089992629
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5174101188279061,
CK2022_4 16-1,,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,0.6220123862577982
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,0.5176282407642455,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,0.5169208662954152,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,0.5025573667329197,
AH2018_SILAC_IT_2_N,0.50365036462178,
AH2018_SILAC_IT_1_X,0.5017389186416764,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.501201490162956,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,
WZ2023_Pe_025_20min,,0.6193764234062471
JVO2010_Log2 Ratio M/L Normalized aphidicolin,0.5157752238057887,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,0.5026654527406835,
AH2018_TMTMS2_3_N,0.5117315590025698,
RN2012_H06,0.5071161314827091,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,,0.6148921443875038
SR2019_HCC1419_Biol_repl_4,,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,,
WZ2023_Su_025_10min,,0.6165535789661675
AH2018_LFQ_IT_4_X,0.5057721369279545,
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,,
RB2022_4_RecoverySprint,0.5312488926691459,
RM2024_Intensity D6-3,,
WZ2023_Su_005_20min,,0.6157099414789078
CW2012_10 µM Gef/control Experiment 1 Replicate B,,
SFR2015_HL_log2_ratio_avg_a,,
CW2012_10 µM Erl/control Experiment 3 Replicate A,,
RB2022_1_PreEndurance,0.4949420196845129,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3a,,
LG2023_GSK3α-2_intensity,,
