DatasetName,DSTN_C(25) DSTN_S(155) DSTN_S(24) DSTN_S(3) DSTN_S(71) DSTN_S(88),DSTN_S(12)
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.4734078225099217,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.4730127004475471,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.45446828900848885,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.4747678287674228,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.4777711751851214,
AH2018_TMTMS2_3_X,0.487536727415626,
GF2025_P3_Adh,0.45765293027218074,
SR2019_JIMT1_Biol_repl_2,0.47312447051220924,
AH2018_TMTMS2_1_C,0.46196095047599534,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5172518925036487,
KBE2022_Log2_Ex_19_U,0.4781843119416584,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.4633250393763155,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.4682273263478427,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,0.4680664532954335,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,0.5255103144870527,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,0.5122526850192346,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5125333418361107,
HH2022_Reporter intensity 1,,
HH2022_Reporter intensity 2,,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.4594893203351808,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.45462157386543683,
SR2019_LM2_Biol_repl_3,0.47528283748808603,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.4712935619872008,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.4688662202137713,
AR2021_KD 72h,0.4435798634003462,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.47755353525194283,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.4704735261168816,
KBE2022_Log2_Ex_9_U,0.4727020899839556,
AH2018_SILAC_M_3_N,0.46786339047273223,
KBE2022_Log2_Ex_13_T,0.48074579011779267,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.4826840487461182,
PG2020_Intensity Mock_10h_C,0.466677200017206,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,0.48556662887377167,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.4606265007658308,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,0.507675885269081,
FSO2013_Ratio H/M normalized Rep1___1,0.4711769134895904,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.47685656578150876,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.4531368835444989,
TM2022_S2.12h.B,,
RN2012_L15,,
KS2014_Intensity pY_PV3,0.4682288999597424,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.47810794921085176,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.4773351298766959,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5001260230766674,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,0.49804302512618653,
CK2022_5 200-1,0.49891189937507724,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,0.5197971474043664,
AH2018_SILAC_MR_1_X,0.521164168246534,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.48055707370364414,
AH2018_SILAC_3_C,0.4606528476594534,
EJN2021_5_Rest_Ins,0.4629053120485715,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,0.46448712448963253,
FSO2013_Ratio H/M normalized Rep1,0.4697170617096574,
CK2022_4 16-1,0.4777002988046237,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,0.46702940620177985,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.5191323874455126,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.5024484468124394,
FSO2013_Ratio H/L normalized Rep3,,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,0.46105051180303125,
KBE2022_Log2_Ex_9_T,0.4737779770340536,
AH2018_SILAC_IT_2_N,0.45891798441037457,
AH2018_SILAC_IT_1_X,0.5039711312575049,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.48392788987835306,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.46581515031669335,
WZ2023_Pe_025_20min,0.48709910993466393,0.967192489365484
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,0.517991610392574,
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.4819241703608203,
RN2012_H06,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,0.4791823879595754,0.9643893206740064
SR2019_HCC1419_Biol_repl_4,0.47433029534615717,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,0.4752811077192614,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,0.4889151377689986,
WZ2023_Su_025_10min,0.48487651822517513,0.967585480935536
