DatasetName,DPM1_S(21) DPM1_S(3) DPM1_S(435) DPM1_S(7),DPM1_S(9)
CK2022_12 16-1,0.44845282452583934,0.5870379309907744
RN2012_L13,,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.48552785568673024,0.5107057100909673
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,0.48884402395565124,0.3950822585936084
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.4747507411697514,0.4185609415599031
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,,0.5492837204527796
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.4592165539010111,0.6198543224966256
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.4311761440101769,0.7106856685228733
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.48508517093778686,0.4089044691591603
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,,0.6656006845171608
AH2018_TMTMS2_3_X,,0.3509028462715784
GF2025_P3_Adh,,0.6538698512040111
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,,0.3643397370272211
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5214781073564589,0.7211473858629427
KBE2022_Log2_Ex_19_U,0.49468982129642436,0.4971036276512572
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.4791268818714602,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.4130133264466671,0.583545073653431
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,0.3374018400518067
RB2022_7_RecoverySprint,,0.5071883033986817
YA2020_Reporter_intensity_Normal_No.3,0.46811555395488424,
HS2024_8_B_T2,,0.4983384481997214
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,0.6902165942895196
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.544722800837462,
HH2022_Reporter intensity 1,,
HH2022_Reporter intensity 2,,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.46552405212963643,
SR2019_MCF7_Biol_repl_1,,0.5395728155488398
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5189345736087403,0.6225127488584379
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,0.5554140673254285
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,0.4691146816541444
AR2021_KD 72h,,0.4706438913395607
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.49230667138657147,0.5511331534879185
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,,
KBE2022_Log2_Ex_9_U,0.49549734924759115,0.5077235584729514
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,0.4780835909851856,0.4845310088902972
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.49133364615728464,0.7113048667040478
CF2017_OSE 29,0.5461799478412378,0.8385245585159751
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,0.4654581113514546,0.4489228789353854
PG2020_Intensity 10h_A,,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,0.7209228150453402
FSO2013_Ratio H/M normalized Rep1___1,,0.5665703801204187
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.45888271817467674,0.6275309871599839
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,0.3797908671609625
TM2022_S2.12h.B,,
RN2012_L15,,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,,0.6794420419900725
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.508562118959582,0.5172378269541877
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.4364099768029844,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,0.4706963440521613
CK2022_7 200-1,0.4730894348617068,0.6151215253951082
CK2022_5 200-1,0.4769031513854451,0.6107879274844291
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,,0.5720876941084514
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,0.444677147127648
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.4849321906614966,0.5290417880824626
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,0.5907412684548523
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,0.5581100281050202
CK2022_4 16-1,0.4559484757542269,0.5224107355960546
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,0.5489219495669408
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,,0.6134335189718265
FSO2013_Ratio H/L normalized Rep3,,0.5377798171621673
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,0.4757629144856831,0.4838275385396506
KBE2022_Log2_Ex_9_T,0.48970706800367325,0.5281028240714278
AH2018_SILAC_IT_2_N,,
AH2018_SILAC_IT_1_X,,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,,0.6035201861561519
WZ2023_Pe_025_20min,,0.407983417045238
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,,0.5791036330241556
AH2018_TMTMS2_3_N,,0.3646886269248617
RN2012_H06,,
