DatasetName,BNC2_C(829) BNC2_S(229) BNC2_S(403) BNC2_S(904),BNC2_S(563) BNC2_S(737) BNC2_S(829),BNC2_C(403) BNC2_C(408),BNC2_S(827) BNC2_S(937) BNC2_T(519)
NJH2025_Sub9_MICT_Post,,,,
VOI2024_Veh1 mono,,,,
CK2022_12 16-1,,,,
RN2012_L13,0.45588806129150256,,,
LG2023_Control-1_intensity,,,,
RM2024_Intensity D6-3___2,,,,
KBE2022_Log2_Ex_8_U,,,,
SR2019_SKBR3_Biol_repl_3,,,,
NJH2024_Sub1_MICT_Post,,,,
HS2024_3_I_T2,,,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,,,
RM2024_Intensity D0-3___3,,,,
HS2024_6_I_T2,,,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,,,
AS2011_Ratio H/L Protein Inhi_1,,,,
FSO2013_Ratio H/M normalized Rep2___1,,,,
GRW2016_Ratio M/L normalized SILAC 5a___2,,,,
CK2022_10 40-1,,,,
NJH2024_Sub12_HIIT_Pre,,,,
NJH2024_Sub8_MICT_Pre,,,,
RM2024_Intensity D0-1___1,,,,
LY2019_P3+,,,,
HH2022_Reporter intensity 6,,,,
RB2022_2_RecoveryStrength,,,,
KTGR2014_Ratio-AA 15 mins,,,,
AS2011_Ratio H/L Normalized RNAi_2_2,,,,
KS2014_Intensity pY_N3,,,,
MV2014_Ratio H/L normalized B1___2 (30 min),,,,
LY2019_P5-,,,,
HW2015_Ratio M/L normalized Exp2,,,,
SR2019_HCC1419_Biol_repl_1,,,,
AH2018_TMTMS2_3_X,0.49345234549426636,,,
GF2025_P3_Adh,0.4584924325853677,0.5039065834042505,,
SR2019_JIMT1_Biol_repl_2,,,,
AH2018_TMTMS2_1_C,0.49295356584207217,,,
RM2024_Intensity D0-1___2,,,,
LY2019_P4+,,,,
KBE2022_Log2_Ex_19_U,,,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,,,
RB2022_4_PostStrength,,,,
LG2023_GSK3α-3_intensity,,,,
YA2020_Reporter_intensity_Cancer_No.1,,,,
AST2020_Control,,,,
JAW2011_Ratio H/L LS1a,,,,
RCJD2014_5min_mean,,,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,,,
NJH2025_Sub1_MICT_Mid,,,,
TM2022_S2.12h.C,,,,
NJH2025_Sub9_MICT_Mid,,,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,,,
AS2011_Ratio H/L Normalized Inhi_1_2,,,,
FSO2013_Ratio M/L normalized Rep2___1,,,,
LG2023_Control-2_intensity,,,,
NJH2024_Sub8_HIIT_Pre,,,,
KS2014_Intensity pY_N2,,,,
RB2022_5_RecoverySprint,,,,
RB2022_7_RecoverySprint,,,,
YA2020_Reporter_intensity_Normal_No.3,,,,
HS2024_8_B_T2,,,,
AH2018_LFQ_1_X,,,,
RM2024_Intensity D6-1___1,,,,
RCJD2014_10min_2,,,,
FR2021_Norm.Intensity.M,,,,
RM2024_Intensity D0-3___1,,,,
KS2014_Intensity N2,0.4747976664053817,,,
HH2022_Reporter intensity 1,,,,
HH2022_Reporter intensity 2,,,,
RM2024_Intensity D6-2___2,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,,,
RM2024_Intensity D2-3___2,,,,
YA2020_Reporter_intensity_Normal_No.5,,,,
SR2019_MCF7_Biol_repl_1,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,,,
HS2024_8_B_T1,,,,
NJH2025_Sub6_HIIT_Pre,,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,,,
EP2017_Untreated R#2 log2 ratio,0.45674410338252214,0.5063277557007956,,0.5148055453224487
SR2019_LM2_Biol_repl_3,,,,
RB2022_4_RecoveryStrength,,,,
CR2017_Ratio Replicate 2,,,,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,,,
FSO2013_Ratio H/M normalized Rep3,,,,
AR2021_KD 72h,0.4792949953420743,0.5198119253237216,,
MV2014_Ratio H/M normalized B2___3 (5 min),,,,
KBE2022_Log2_Ex_18_U,,,,
AS2011_Ratio H/L Inhi_1_1,,,,
NJH2024_Sub8_MICT_Post,,,,
AH2018_TMTMS3_3_C,0.4848080996180305,0.5238434284203936,,
KBE2022_Log2_Ex_9_U,,,,
AH2018_SILAC_M_3_N,0.4455273688686345,,,
KBE2022_Log2_Ex_13_T,,,,
RM2024_Intensity D0-3,,,,
SR2019_SKBR3_Biol_repl_1,,,,
PG2020_Intensity Mock_10h_C,0.43533482811584123,,,
CF2017_OSE 29,,,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,,,
NJH2025_Sub1_HIIT_Post,,,,
DL2023_24h-2,,,,
HS2024_7_B_N2,,,,
PG2020_Intensity 10h_A,,,,
RN2012_L12,,,,
MV2014_Ratio M/L normalized B1___3 (5 min),,,,
NJH2024_Sub8_MICT_Mid,,,,
AH2018_LFQ_IT_4_C,0.44528882626438043,,,
SAS2015_PLX/AZD_Exp1,,,,
FR2021_Norm.Intensity.A,,,,
FSO2013_Ratio H/M normalized Rep1___1,,,,
JW2015_Intensity cap2,,,,
BS2014_Log2(Ratio H/L normalized Rep_2),,,,
NJH2024_Sub6_MICT_Post,,,,
CK2022_8 40-1,,,,
RB2022_7_RecoveryEndurance,,,,
NJH2025_Sub12_HIIT_Post,,,,
EJN2021_4_Ex_Basal,,,,
TM2022_S2.12h.B,,,,
RN2012_L15,,,,
KS2014_Intensity pY_PV3,,,,
TM2022_S2.4h.B,,,,
PG2020_Intensity 4h_A,,,,
FSO2013_Ratio H/M normalized Rep2___2,,,,
TM2022_mock.4h.B,,,,
KBE2022_Log2_Ex_24_U,,,,
NJH2025_Sub13_MICT_Mid,,,,
KS2014_Intensity C3,0.4791875117173925,,,
RB2022_1_PreSprint,,,,
HS2024_4_I_N1,,,,
CK2022_7 200-1,,,,
CK2022_5 200-1,,,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,,,
FSO2013_Ratio H/L normalized Rep2___1,,,,
NJH2024_Sub10_HIIT_Mid,,,,
RB2022_2_PostEndurance,,,,
AH2018_LFQ_2_C,,,,
AH2018_SILAC_MR_1_X,0.4860285002365413,,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,,,
IMM2018_normalised rep. int. Empty-2,,,,
RM2024_Intensity D4-1,,,,
KBE2022_Log2_Ex_25_U,,,,
AH2018_SILAC_3_C,0.4453566408874974,,,
EJN2021_5_Rest_Ins,,,,
VOI2024_0.1uM 24 h_3 di,,,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,,,
DB2022_LFQ intensity L2.1,,,,
FSO2013_Ratio H/M normalized Rep1,,,,
CK2022_4 16-1,,,,
AS2011_Ratio H/L,,,,
SR2019_MCF7_Biol_repl_4,,,,
EJN2021_2_Ex_Ins,,,,
AS2011_Ratio H/L Inhi_2_3,,,,
JAW2011_Ratio H/L LS1a_1,,,,
AH2018_LFQ_1_N,0.45219765000476825,,,
SAS2015_PLX/DMSO_Exp1,,,,
SFR2015_HL_log2_ratio_avg_c,,,,
JJ2018_Ratio M/L normalized pP2,,,,
NJH2024_Sub7_MICT_Mid,,,,
PG2020_Intensity 6h_B,,,,
FSO2013_Ratio H/L normalized Rep3,,,,
GRW2016_Ratio H/L normalized SILAC 2___2,,,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,,,
JJ2018_Ratio M/L normalized,,,,
KTGR2014_Ratio-AA 30 mins,,,,
JW2021_After_1,,,,
NJH2025_Sub2_MICT_Mid,,,,
HS2024_6_B_N2,,,,
KBE2022_Log2_Ex_9_T,,,,
AH2018_SILAC_IT_2_N,0.44415994233546696,,,
AH2018_SILAC_IT_1_X,0.4457547936031017,,,
HW2015_Ratio H/L normalized Exp3,,,,
HS2024_7_PD_T1,,,,
UK2020_UA_2,,,,
RM2024_Intensity D2-1___1,,,,
GF2025_P10_Sph,0.47615946411630533,,,
WZ2023_Pe_025_20min,0.4688230106244157,,0.5992460790611354,0.3581662967422677
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,,,
AH2018_LFQ_2_N,,,,
HS2024_4_I_N2,,,,
AH2018_TMTMS2_3_N,0.49253854439146666,,,
RN2012_H06,,,,
