DatasetName,APIP_S(104) APIP_S(6) APIP_S(81) APIP_S(87),APIP_S(40) APIP_S(49) APIP_S(61) APIP_S(84),APIP_S(89)
KBE2022_Log2_Ex_8_U,0.5955059523288098,,
SR2019_SKBR3_Biol_repl_3,0.572420008536952,,
NJH2024_Sub1_MICT_Post,,,
HS2024_3_I_T2,,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,,
RM2024_Intensity D0-3___3,,,
HS2024_6_I_T2,,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,,
AS2011_Ratio H/L Protein Inhi_1,,,
FSO2013_Ratio H/M normalized Rep2___1,,,
GRW2016_Ratio M/L normalized SILAC 5a___2,,,
CK2022_10 40-1,0.6072736295351571,,
NJH2024_Sub12_HIIT_Pre,,,
NJH2024_Sub8_MICT_Pre,,,
RM2024_Intensity D0-1___1,,,
LY2019_P3+,0.5820028282675205,,
HH2022_Reporter intensity 6,0.6084771296548037,,
RB2022_2_RecoveryStrength,,,
KTGR2014_Ratio-AA 15 mins,,,
AS2011_Ratio H/L Normalized RNAi_2_2,,,
KS2014_Intensity pY_N3,,,
MV2014_Ratio H/L normalized B1___2 (30 min),,,
LY2019_P5-,0.5219898543928949,,
HW2015_Ratio M/L normalized Exp2,,,
SR2019_HCC1419_Biol_repl_1,,,
AH2018_TMTMS2_3_X,0.585020028178348,,
GF2025_P3_Adh,0.5376737568739745,,
SR2019_JIMT1_Biol_repl_2,0.5548680528561517,,
AH2018_TMTMS2_1_C,0.5890682524731106,,
RM2024_Intensity D0-1___2,,,
LY2019_P4+,0.6456111813698301,,
KBE2022_Log2_Ex_19_U,0.5901630881444369,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,,
RB2022_4_PostStrength,,,
LG2023_GSK3α-3_intensity,,,
YA2020_Reporter_intensity_Cancer_No.1,,,
AST2020_Control,0.5472638606408006,,
JAW2011_Ratio H/L LS1a,,,
RCJD2014_5min_mean,0.5953567845728637,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,,
NJH2025_Sub1_MICT_Mid,,,
TM2022_S2.12h.C,,,
NJH2025_Sub9_MICT_Mid,,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,,
AS2011_Ratio H/L Normalized Inhi_1_2,,,
FSO2013_Ratio M/L normalized Rep2___1,,,
LG2023_Control-2_intensity,,,
NJH2024_Sub8_HIIT_Pre,,,
KS2014_Intensity pY_N2,,,
RB2022_5_RecoverySprint,,,
RB2022_7_RecoverySprint,,,
YA2020_Reporter_intensity_Normal_No.3,,,
HS2024_8_B_T2,,,
AH2018_LFQ_1_X,0.6019513848010376,,
RM2024_Intensity D6-1___1,,,
RCJD2014_10min_2,0.5457042691237246,,
FR2021_Norm.Intensity.M,,,
RM2024_Intensity D0-3___1,,,
KS2014_Intensity N2,0.6020215587485188,0.43570628193091043,
HH2022_Reporter intensity 1,0.5866065658219689,,
HH2022_Reporter intensity 2,0.585767019712889,,
RM2024_Intensity D6-2___2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,,
RM2024_Intensity D2-3___2,,,
YA2020_Reporter_intensity_Normal_No.5,,,
SR2019_MCF7_Biol_repl_1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,,
HS2024_8_B_T1,,,
NJH2025_Sub6_HIIT_Pre,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,,
EP2017_Untreated R#2 log2 ratio,,0.5298209489227831,
SR2019_LM2_Biol_repl_3,0.5043440427758562,,
RB2022_4_RecoveryStrength,,,
CR2017_Ratio Replicate 2,0.5921208605219316,,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,,
FSO2013_Ratio H/M normalized Rep3,,,
AR2021_KD 72h,,,
MV2014_Ratio H/M normalized B2___3 (5 min),,,
KBE2022_Log2_Ex_18_U,0.6103479185756346,,
AS2011_Ratio H/L Inhi_1_1,,,
NJH2024_Sub8_MICT_Post,,,
AH2018_TMTMS3_3_C,0.6300155348867624,,
KBE2022_Log2_Ex_9_U,0.5939071651779916,,
AH2018_SILAC_M_3_N,,,
KBE2022_Log2_Ex_13_T,0.6085637910993097,,
RM2024_Intensity D0-3,,,
SR2019_SKBR3_Biol_repl_1,0.5775469111391311,,
PG2020_Intensity Mock_10h_C,,,
CF2017_OSE 29,,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,,
NJH2025_Sub1_HIIT_Post,,,
DL2023_24h-2,,,
HS2024_7_B_N2,,,
PG2020_Intensity 10h_A,,,
RN2012_L12,0.47398635755821317,,
MV2014_Ratio M/L normalized B1___3 (5 min),,,
NJH2024_Sub8_MICT_Mid,,,
AH2018_LFQ_IT_4_C,,,
SAS2015_PLX/AZD_Exp1,,,
FR2021_Norm.Intensity.A,,,
FSO2013_Ratio H/M normalized Rep1___1,,,
JW2015_Intensity cap2,,,
BS2014_Log2(Ratio H/L normalized Rep_2),,,
NJH2024_Sub6_MICT_Post,,,
CK2022_8 40-1,0.604175614103552,,
RB2022_7_RecoveryEndurance,,,
NJH2025_Sub12_HIIT_Post,,,
EJN2021_4_Ex_Basal,,0.4545533886153623,
TM2022_S2.12h.B,,,
RN2012_L15,0.5474640969424156,,
KS2014_Intensity pY_PV3,,,
TM2022_S2.4h.B,,,
PG2020_Intensity 4h_A,,,
FSO2013_Ratio H/M normalized Rep2___2,,,
TM2022_mock.4h.B,,,
KBE2022_Log2_Ex_24_U,0.5969395547413535,,
NJH2025_Sub13_MICT_Mid,,,
KS2014_Intensity C3,0.6379353983915489,0.4606313031299839,
RB2022_1_PreSprint,,,
HS2024_4_I_N1,,,
CK2022_7 200-1,0.6144472129879035,,
CK2022_5 200-1,0.6149046705824175,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,,
FSO2013_Ratio H/L normalized Rep2___1,0.5858855872132418,,
NJH2024_Sub10_HIIT_Mid,,,
RB2022_2_PostEndurance,,,
AH2018_LFQ_2_C,0.6130347278252801,,
AH2018_SILAC_MR_1_X,0.6100318815511628,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,,
IMM2018_normalised rep. int. Empty-2,,,
RM2024_Intensity D4-1,,,
KBE2022_Log2_Ex_25_U,0.6051365279906732,,
AH2018_SILAC_3_C,,,
EJN2021_5_Rest_Ins,,0.46803427943573356,
VOI2024_0.1uM 24 h_3 di,,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,,
DB2022_LFQ intensity L2.1,,,
FSO2013_Ratio H/M normalized Rep1,,,
CK2022_4 16-1,0.6057771633763699,,
AS2011_Ratio H/L,,,
SR2019_MCF7_Biol_repl_4,,,
EJN2021_2_Ex_Ins,,0.45001887236081806,
AS2011_Ratio H/L Inhi_2_3,,,
JAW2011_Ratio H/L LS1a_1,,,
AH2018_LFQ_1_N,0.6030004999820715,,
SAS2015_PLX/DMSO_Exp1,,,
SFR2015_HL_log2_ratio_avg_c,,,
JJ2018_Ratio M/L normalized pP2,,,
NJH2024_Sub7_MICT_Mid,,,
PG2020_Intensity 6h_B,,,
FSO2013_Ratio H/L normalized Rep3,0.5835581039393225,,
GRW2016_Ratio H/L normalized SILAC 2___2,,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,,
JJ2018_Ratio M/L normalized,,,
KTGR2014_Ratio-AA 30 mins,,,
JW2021_After_1,,,
NJH2025_Sub2_MICT_Mid,,,
HS2024_6_B_N2,,,
KBE2022_Log2_Ex_9_T,0.6065059698537708,,
AH2018_SILAC_IT_2_N,,,
AH2018_SILAC_IT_1_X,,,
HW2015_Ratio H/L normalized Exp3,,,
HS2024_7_PD_T1,,,
UK2020_UA_2,,,
RM2024_Intensity D2-1___1,,,
GF2025_P10_Sph,0.5221639342534966,,
WZ2023_Pe_025_20min,0.6241475239885406,,0.738249704493606
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,,
AH2018_LFQ_2_N,0.607503030810431,,
HS2024_4_I_N2,,,
AH2018_TMTMS2_3_N,0.5885086278972143,,
RN2012_H06,0.5422130388016813,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,,
HS2024_4_PD_T3,,,
WZ2023_Su_005_30min,0.6234278519601961,,0.7348098718106785
SR2019_HCC1419_Biol_repl_4,,,
