DatasetName,MVP_S(12) MVP_S(445) MVP_S(864) MVP_S(867) MVP_S(873) MVP_S(876) MVP_T(442) MVP_T(60) MVP_T(608),MVP_S(740)
CK2022_10 40-1,,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.5137576006100781,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5147932101317467,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5127177606865068,
AH2018_TMTMS2_3_X,,
GF2025_P3_Adh,0.48686263257215273,
SR2019_JIMT1_Biol_repl_2,0.5468626375865971,
AH2018_TMTMS2_1_C,,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5345722157536853,
KBE2022_Log2_Ex_19_U,0.5042036330043875,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,0.5173842406149901,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.496690370826768,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.5105928500922254,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,0.5072046276238231,
TM2022_S2.12h.C,0.5138947227297914,
NJH2025_Sub9_MICT_Mid,0.5005477121513082,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,0.5147198883901677,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.48618322291059446,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,0.5075324643553003,
RB2022_7_RecoverySprint,0.4876200722667783,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,0.4894090830239701,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.47820923940713533,
FR2021_Norm.Intensity.M,0.48734687357671347,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,,
HH2022_Reporter intensity 1,,
HH2022_Reporter intensity 2,,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.49991420001893416,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5308972261261427,
NJH2025_Sub6_HIIT_Pre,0.4893600640248018,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.5305945782580239,
SR2019_LM2_Biol_repl_3,0.5184597728001685,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5068791435529245,
AR2021_KD 72h,0.47297593144549865,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5155266799452985,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.4985124040190899,
KBE2022_Log2_Ex_9_U,0.5000844753963091,
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,0.4967492577163908,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.5431650504353766,
PG2020_Intensity Mock_10h_C,,
CF2017_OSE 29,0.5181847132045605,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,0.5095368544123243,
DL2023_24h-2,,
HS2024_7_B_N2,0.5174765041783984,
PG2020_Intensity 10h_A,,
RN2012_L12,0.5023780058051865,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,0.49918763953036305,
FR2021_Norm.Intensity.A,0.4813582548640853,
FSO2013_Ratio H/M normalized Rep1___1,0.5021923001731607,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,0.4986653669504438,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,0.5153900050997796,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,0.5130263913688675,
RN2012_L15,0.5216261300659255,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,0.5138118048233813,
PG2020_Intensity 4h_A,,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,0.5126310752480172,
KBE2022_Log2_Ex_24_U,0.5012009153273194,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.5873456806858534,
CK2022_7 200-1,,
CK2022_5 200-1,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,0.5183063425291835,
FSO2013_Ratio H/L normalized Rep2___1,0.5096009354850682,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,0.5085748714319045,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.4964588338825544,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.49855873202090034,
CK2022_4 16-1,,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,0.49777763530659175,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,0.500526371700935,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,0.485986522638757,
NJH2024_Sub7_MICT_Mid,0.4976294167229638,
PG2020_Intensity 6h_B,,
FSO2013_Ratio H/L normalized Rep3,0.5163125010392454,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,0.47987598521482827,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,0.5014565435669024,
HS2024_6_B_N2,0.5148467921963022,
KBE2022_Log2_Ex_9_T,0.5059042289508948,
AH2018_SILAC_IT_2_N,,
AH2018_SILAC_IT_1_X,,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.5159505213168021,
UK2020_UA_2,0.49962178770577087,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.5323126045057343,
WZ2023_Pe_025_20min,0.5506018943008242,
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,,
HS2024_4_I_N2,0.5335848377577298,
AH2018_TMTMS2_3_N,,
RN2012_H06,0.5227009823034796,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,0.4906699271443878,
WZ2023_Su_005_30min,0.5486553151408441,
SR2019_HCC1419_Biol_repl_4,0.499081660380453,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,0.54923644814538,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,0.49645734899807475,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,,
WZ2023_Su_025_10min,0.5638127228277133,
AH2018_LFQ_IT_4_X,,
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,,
RB2022_4_RecoverySprint,,
RM2024_Intensity D6-3,,
WZ2023_Su_005_20min,0.5525440031006804,
