DatasetName,PPP1R16A_S(3) PPP1R16A_S(353) PPP1R16A_S(4) PPP1R16A_S(418) PPP1R16A_S(431) PPP1R16A_S(433) PPP1R16A_S(437) PPP1R16A_S(478) PPP1R16A_S(60) PPP1R16A_Y(434),PPP1R16A_T(455)
RM2024_Intensity D0-1___1,,
LY2019_P3+,,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5004889608559553,
AH2018_TMTMS2_3_X,0.4576672972926924,
GF2025_P3_Adh,0.5176071911110189,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.4594445837340112,
RM2024_Intensity D0-1___2,,
LY2019_P4+,,
KBE2022_Log2_Ex_19_U,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.493694976663731,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.48407636673823323,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.4693393472457347,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,0.4914171256356705,
HS2024_8_B_T2,0.4958028936251714,
AH2018_LFQ_1_X,0.4868035914996063,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.4969641716666547,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.49936684903128503,
HH2022_Reporter intensity 1,,
HH2022_Reporter intensity 2,,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.48832060475771355,
SR2019_MCF7_Biol_repl_1,0.48661024157187616,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.4946625617740006,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.5012177192669816,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.4973998367098848,
AR2021_KD 72h,,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.4894645299507049,
KBE2022_Log2_Ex_9_U,,
AH2018_SILAC_M_3_N,0.488686882436443,
KBE2022_Log2_Ex_13_T,,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,0.48516153294031505,
PG2020_Intensity Mock_10h_C,0.4763472206831307,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,0.5130052752968288,
PG2020_Intensity 10h_A,,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.487440314150562,
SAS2015_PLX/AZD_Exp1,0.49154201442628337,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,0.4911741258871135,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.49157197430120575,
TM2022_S2.12h.B,,
RN2012_L15,,
KS2014_Intensity pY_PV3,0.502428576459996,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.49012593267040955,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.48528689926047663,
RB2022_1_PreSprint,,
HS2024_4_I_N1,0.4872449108354598,
CK2022_7 200-1,0.4753773458768893,
CK2022_5 200-1,0.47633858869844115,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5015046875572139,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,0.48941475173644317,
AH2018_SILAC_MR_1_X,0.5012920654569156,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,,
AH2018_SILAC_3_C,0.4874360098487944,
EJN2021_5_Rest_Ins,0.4951339786019576,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.49009315879227466,
CK2022_4 16-1,,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,0.48556439779389865,
EJN2021_2_Ex_Ins,0.49757934234476914,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,0.4780990843485776,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.48806347431686403,
FSO2013_Ratio H/L normalized Rep3,0.4995744814938778,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,0.485147569815602,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,0.5158338474897597,
KBE2022_Log2_Ex_9_T,,
AH2018_SILAC_IT_2_N,0.4817944126388287,
AH2018_SILAC_IT_1_X,0.49854432519094205,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,0.4738649979475017,
UK2020_UA_2,,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.513832383573163,
WZ2023_Pe_025_20min,0.45978832432018113,
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,0.49556229007914976,
HS2024_4_I_N2,0.4721456476225562,
AH2018_TMTMS2_3_N,0.4591405032150776,
RN2012_H06,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,0.47537730318178417,
WZ2023_Su_005_30min,0.4779460081252336,
SR2019_HCC1419_Biol_repl_4,0.4993806995108233,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,0.4864010454800905,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,,
WZ2023_Su_025_10min,0.4696076558657077,
AH2018_LFQ_IT_4_X,0.4871359902183273,
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,0.49756053460554117,
RB2022_4_RecoverySprint,,
RM2024_Intensity D6-3,,
WZ2023_Su_005_20min,0.4756985798356671,
CW2012_10 µM Gef/control Experiment 1 Replicate B,,
SFR2015_HL_log2_ratio_avg_a,,
CW2012_10 µM Erl/control Experiment 3 Replicate A,,
RB2022_1_PreEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3a,,
