DatasetName,PABPN1_M(150) PABPN1_S(145) PABPN1_S(150) PABPN1_S(161) PABPN1_S(19) PABPN1_S(90) PABPN1_S(95),PABPN1_S(341)
SR2019_HCC1419_Biol_repl_1,,
AH2018_TMTMS2_3_X,0.6122505950015675,
GF2025_P3_Adh,0.5464363051939186,
SR2019_JIMT1_Biol_repl_2,,
AH2018_TMTMS2_1_C,0.6092492585477677,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5727351464822537,
KBE2022_Log2_Ex_19_U,0.6149436498211077,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,0.5226841746352757,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,,
NJH2025_Sub9_MICT_Mid,,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,,
YA2020_Reporter_intensity_Normal_No.3,0.5491108658563705,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,0.5207648266705506,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,,
FR2021_Norm.Intensity.M,,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.585040862245066,
HH2022_Reporter intensity 1,0.561692236569279,
HH2022_Reporter intensity 2,0.5633561939658848,
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,0.5501827368597861,
SR2019_MCF7_Biol_repl_1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,,
SR2019_LM2_Biol_repl_3,,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5669396292882528,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,,
AR2021_KD 72h,0.5456557424989915,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5882410449646844,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5522765842751597,
KBE2022_Log2_Ex_9_U,0.5880877087599953,
AH2018_SILAC_M_3_N,0.529524090361364,
KBE2022_Log2_Ex_13_T,0.5845568745255713,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.5066475004389706,
CF2017_OSE 29,0.572921895852036,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,0.5738747327812203,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,0.5288597702569904,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,,
FSO2013_Ratio H/M normalized Rep1___1,,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),0.5516814393521409,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.5581009234037848,
RB2022_7_RecoveryEndurance,,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,,
TM2022_S2.12h.B,,
RN2012_L15,,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,,
PG2020_Intensity 4h_A,0.5383898951494311,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,,
KBE2022_Log2_Ex_24_U,0.5932755224749142,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,0.5795775308322292,
CK2022_5 200-1,0.5796928036461887,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,0.5351288350684468,
AH2018_SILAC_MR_1_X,0.523999314030209,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.5942701150532146,
AH2018_SILAC_3_C,0.5289445165255173,
EJN2021_5_Rest_Ins,,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,,
CK2022_4 16-1,0.563168895123355,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,,
EJN2021_2_Ex_Ins,,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,0.5448530963586597,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,0.5558200830571475,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.5732126252875805,
FSO2013_Ratio H/L normalized Rep3,,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,,
HS2024_6_B_N2,,
KBE2022_Log2_Ex_9_T,0.5895811934036338,
AH2018_SILAC_IT_2_N,0.5240474123767082,
AH2018_SILAC_IT_1_X,0.5208292727071419,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,0.5324722302810568,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.5520203597895289,
WZ2023_Pe_025_20min,0.5981580522330042,
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,0.5325571019746742,
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.609542826938071,
RN2012_H06,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,0.5733212312281023,
SR2019_HCC1419_Biol_repl_4,,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,0.5349638926312033,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,0.5476699533646473,
WZ2023_Su_025_10min,0.5953102021969968,
AH2018_LFQ_IT_4_X,0.5304304265193654,
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,,
RB2022_4_RecoverySprint,,
RM2024_Intensity D6-3,,
WZ2023_Su_005_20min,0.5852072903313614,
CW2012_10 µM Gef/control Experiment 1 Replicate B,,
SFR2015_HL_log2_ratio_avg_a,0.6004679878139585,
CW2012_10 µM Erl/control Experiment 3 Replicate A,,
RB2022_1_PreEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3a,,
LG2023_GSK3α-2_intensity,,
EP2017_Pervanadate R#1 log2 ratio,,
NJH2025_Sub6_HIIT_Post,,
RB2022_6_RecoverySprint,,
KS2014_Intensity,0.5804559760422087,
MV2014_Ratio H/M normalized A2___1 (2 min),,
PG2020_Intensity 8h_D,0.5802408527684788,
LY2019_P7+,0.553192742372147,
EP2017_Untreated R#1 normalized log2 ratio,,
RN2012_L10,,
PG2020_Intensity 4h_C,0.505887167672329,
EP2017_Mitotic R#3 normalized log2 ratio,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4,,
DB2022_LFQ intensity L1,,
