DatasetName,CDC26_S(42) CDC26_S(52) CDC26_S(56) CDC26_S(82),CDC26_S(76)
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5374528578158441,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.5816392409818854,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.554206519286642,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.530414264185008,
HW2015_Ratio M/L normalized Exp2,,
SR2019_HCC1419_Biol_repl_1,0.5648982539081248,
AH2018_TMTMS2_3_X,0.5253824460191586,
GF2025_P3_Adh,0.6086814878394361,
SR2019_JIMT1_Biol_repl_2,0.5739137285679307,
AH2018_TMTMS2_1_C,0.5092427762971088,
RM2024_Intensity D0-1___2,,
LY2019_P4+,0.5360777811265952,
KBE2022_Log2_Ex_19_U,,
CKC2017_log2 normalized phosphoproteomics_0min_rep#1,,
RB2022_4_PostStrength,,
LG2023_GSK3α-3_intensity,,
YA2020_Reporter_intensity_Cancer_No.1,,
AST2020_Control,,
JAW2011_Ratio H/L LS1a,,
RCJD2014_5min_mean,0.4904370798776899,
NJH2015_iTRAQ Subject 4 114/115 (Exercise/Basal) (normalized),,
NJH2025_Sub1_MICT_Mid,,
TM2022_S2.12h.C,0.600573189826675,
NJH2025_Sub9_MICT_Mid,0.5275209629322255,
CKC2017_log2 normalized phosphoproteomics_120min_rep#2,,
AS2011_Ratio H/L Normalized Inhi_1_2,,
FSO2013_Ratio M/L normalized Rep2___1,0.547977865166104,
LG2023_Control-2_intensity,,
NJH2024_Sub8_HIIT_Pre,,
KS2014_Intensity pY_N2,,
RB2022_5_RecoverySprint,,
RB2022_7_RecoverySprint,0.5035884746477387,
YA2020_Reporter_intensity_Normal_No.3,,
HS2024_8_B_T2,,
AH2018_LFQ_1_X,,
RM2024_Intensity D6-1___1,,
RCJD2014_10min_2,0.5974655849290793,
FR2021_Norm.Intensity.M,0.552649393233034,
RM2024_Intensity D0-3___1,,
KS2014_Intensity N2,0.5382723736812879,
HH2022_Reporter intensity 1,,0.1787324521153186
HH2022_Reporter intensity 2,,0.2600603979550642
RM2024_Intensity D6-2___2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1,,
RM2024_Intensity D2-3___2,,
YA2020_Reporter_intensity_Normal_No.5,,
SR2019_MCF7_Biol_repl_1,0.5586728991781573,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1a,,
HS2024_8_B_T1,0.5407071721460425,
NJH2025_Sub6_HIIT_Pre,,
RNJ2017_Log2_ratio_Tsup:Tstim_D1,,
EP2017_Untreated R#2 log2 ratio,0.5040696341100738,
SR2019_LM2_Biol_repl_3,0.560581658668435,
RB2022_4_RecoveryStrength,,
CR2017_Ratio Replicate 2,0.5317260199564523,
CW2012_10 µM Erl/control Experiment 2 Replicate A,,
FSO2013_Ratio H/M normalized Rep3,0.5314235509425187,
AR2021_KD 72h,0.5519115084365637,
MV2014_Ratio H/M normalized B2___3 (5 min),,
KBE2022_Log2_Ex_18_U,0.5245736694505296,
AS2011_Ratio H/L Inhi_1_1,,
NJH2024_Sub8_MICT_Post,,
AH2018_TMTMS3_3_C,0.5909140493615597,
KBE2022_Log2_Ex_9_U,0.5286585528982266,
AH2018_SILAC_M_3_N,,
KBE2022_Log2_Ex_13_T,,
RM2024_Intensity D0-3,,
SR2019_SKBR3_Biol_repl_1,,
PG2020_Intensity Mock_10h_C,0.5152999513677493,
CF2017_OSE 29,,
YB2013_Ratio_H_L_Normalized_in_experiment_1,,
NJH2025_Sub1_HIIT_Post,,
DL2023_24h-2,,
HS2024_7_B_N2,,
PG2020_Intensity 10h_A,0.5241449459229816,
RN2012_L12,,
MV2014_Ratio M/L normalized B1___3 (5 min),,
NJH2024_Sub8_MICT_Mid,,
AH2018_LFQ_IT_4_C,,
SAS2015_PLX/AZD_Exp1,,
FR2021_Norm.Intensity.A,0.5681230438792946,
FSO2013_Ratio H/M normalized Rep1___1,0.5534077230149314,
JW2015_Intensity cap2,,
BS2014_Log2(Ratio H/L normalized Rep_2),0.5059331530675807,
NJH2024_Sub6_MICT_Post,,
CK2022_8 40-1,0.5811651209147567,
RB2022_7_RecoveryEndurance,0.5844010621820047,
NJH2025_Sub12_HIIT_Post,,
EJN2021_4_Ex_Basal,0.5357233016036251,
TM2022_S2.12h.B,0.6023096376640097,
RN2012_L15,,
KS2014_Intensity pY_PV3,,
TM2022_S2.4h.B,0.6014860778327461,
PG2020_Intensity 4h_A,0.5203315327189144,
FSO2013_Ratio H/M normalized Rep2___2,,
TM2022_mock.4h.B,0.5994925235649531,
KBE2022_Log2_Ex_24_U,0.5196762019431569,
NJH2025_Sub13_MICT_Mid,,
KS2014_Intensity C3,0.5660782855749588,
RB2022_1_PreSprint,,
HS2024_4_I_N1,,
CK2022_7 200-1,0.5716228665985785,
CK2022_5 200-1,0.5702732332956715,
CKC2017_log2 normalized phosphoproteomics_120min_rep#3,,
FSO2013_Ratio H/L normalized Rep2___1,0.5464106324343123,
NJH2024_Sub10_HIIT_Mid,,
RB2022_2_PostEndurance,,
AH2018_LFQ_2_C,,
AH2018_SILAC_MR_1_X,0.5738810271715249,
KTGR2014_Ratio H M Normalized Rep1_Rapamycin_0_15,,
IMM2018_normalised rep. int. Empty-2,0.5438607379353586,
RM2024_Intensity D4-1,,
KBE2022_Log2_Ex_25_U,0.524258767833726,
AH2018_SILAC_3_C,,
EJN2021_5_Rest_Ins,0.5273035475280677,
VOI2024_0.1uM 24 h_3 di,,
RNJ2017_Log2_ratio_Tstim:Trest_D3,,
DB2022_LFQ intensity L2.1,,
FSO2013_Ratio H/M normalized Rep1,0.5511807865893386,
CK2022_4 16-1,0.5419743503307861,
AS2011_Ratio H/L,,
SR2019_MCF7_Biol_repl_4,0.5543082268632283,
EJN2021_2_Ex_Ins,0.5451094111498661,
AS2011_Ratio H/L Inhi_2_3,,
JAW2011_Ratio H/L LS1a_1,,
AH2018_LFQ_1_N,,
SAS2015_PLX/DMSO_Exp1,,
SFR2015_HL_log2_ratio_avg_c,,
JJ2018_Ratio M/L normalized pP2,,
NJH2024_Sub7_MICT_Mid,,
PG2020_Intensity 6h_B,0.46740945554504276,
FSO2013_Ratio H/L normalized Rep3,0.5430862882278726,
GRW2016_Ratio H/L normalized SILAC 2___2,,
RKK2015_IKKb(K44M)+TNF-α/TNF-α,0.576464783468069,
JJ2018_Ratio M/L normalized,,
KTGR2014_Ratio-AA 30 mins,,
JW2021_After_1,,
NJH2025_Sub2_MICT_Mid,0.5237823213933209,
HS2024_6_B_N2,0.5998230884331275,
KBE2022_Log2_Ex_9_T,0.5292669913451858,
AH2018_SILAC_IT_2_N,,
AH2018_SILAC_IT_1_X,,
HW2015_Ratio H/L normalized Exp3,,
HS2024_7_PD_T1,,
UK2020_UA_2,0.530856193911407,
RM2024_Intensity D2-1___1,,
GF2025_P10_Sph,0.557341343699761,
WZ2023_Pe_025_20min,0.5596074885939294,
JVO2010_Log2 Ratio M/L Normalized aphidicolin,,
AH2018_LFQ_2_N,0.5085931713214152,
HS2024_4_I_N2,,
AH2018_TMTMS2_3_N,0.5059900811850276,
RN2012_H06,,
AS2011_Inhi 1_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
HS2024_4_PD_T3,,
WZ2023_Su_005_30min,0.5575829866794937,
SR2019_HCC1419_Biol_repl_4,0.5592867771726188,
JJ2018_Ratio H/M normalized___2,,
SR2019_JIMT1_Biol_repl_3,0.5670636678616888,
AS2011_Ratio H/L Protein,,
UK2020_HCM_3,0.5281159478531137,
NJH2024_Sub10_HIIT_Post,,
CR2017_Ratio Replicate 3.1,0.5539802280577468,
WZ2023_Su_025_10min,0.5555899496361733,
AH2018_LFQ_IT_4_X,,
CP2009_Ratio H/L,,
VOI2024_0.1uM 24 h_3 mono,0.5298315526666793,
RB2022_4_RecoverySprint,,
