TargetFeature,colsample_bytree,gamma,max_depth,min_child_weight,n_estimators,subsample,mean_mse,mean_r2
CSRP1_S(107) CSRP1_S(116) CSRP1_S(14) CSRP1_S(155) CSRP1_S(159) CSRP1_S(192) CSRP1_S(366) CSRP1_S(48) CSRP1_S(81) CSRP1_T(79) CSRP1_Y(57) CSRP1_Y(71) CSRP1_Y(73),1.0,0.5,4,5,8,1.0,0.0551514533168694,0.3320514317320588
BMI1_S(251) BMI1_S(394) BMI1_S(396) BMI1_S(398),1.0,0.5,4,10,8,1.0,0.02795109831018,0.4422333107585127
CLUH_S(605) CLUH_S(649) CLUH_S(652) CLUH_S(664) CLUH_S(669),1.0,0.5,4,1,6,1.0,0.0657610443457062,0.3687185959246217
PAN3_S(154) PAN3_S(192) PAN3_S(208) PAN3_S(300) PAN3_S(354) PAN3_S(6) PAN3_T(153) PAN3_T(296) PAN3_T(299) PAN3_T(350) PAN3_T(353),1.0,0.5,2,1,4,0.8,0.0249407667775529,0.1577624281490798
JCAD_S(10) JCAD_S(1002) JCAD_S(1037) JCAD_S(1044) JCAD_S(1123) JCAD_S(1156) JCAD_S(1194) JCAD_S(1225) JCAD_S(1235) JCAD_S(1249) JCAD_S(1275) JCAD_S(1281) JCAD_S(1293) JCAD_S(1304) JCAD_S(1307) JCAD_S(1317) JCAD_S(1319) JCAD_S(1321) JCAD_S(1324) JCAD_S(1340) JCAD_S(144) JCAD_S(185) JCAD_S(21) JCAD_S(237) JCAD_S(243) JCAD_S(255) JCAD_S(3) JCAD_S(375) JCAD_S(4) JCAD_S(400) JCAD_S(5) JCAD_S(67) JCAD_S(680) JCAD_S(694) JCAD_S(723) JCAD_S(754) JCAD_S(755) JCAD_S(757) JCAD_S(770) JCAD_S(837) JCAD_S(885) JCAD_S(901) JCAD_S(904) JCAD_S(913) JCAD_S(915) JCAD_S(931) JCAD_S(983) JCAD_T(1120) JCAD_T(1223) JCAD_T(776),0.6,0.5,4,1,8,1.0,0.0626191449120716,0.2475762128754882
DDX5_S(109) DDX5_S(5) DDX5_S(516) DDX5_S(519) DDX5_T(224) DDX5_T(446),0.6,0.5,1,1,6,0.8,0.0149442604557653,-0.004846087418779
KNL1_S(1076) KNL1_S(1085) KNL1_S(1773) KNL1_S(1820) KNL1_S(379) KNL1_S(479) KNL1_S(552) KNL1_S(578) KNL1_S(60) KNL1_S(765) KNL1_S(767) KNL1_T(1817) KNL1_T(491) KNL1_T(539) KNL1_T(560) KNL1_T(991),0.8,0.5,4,10,8,1.0,0.0292619857287803,0.2711979254659069
SMC1A_S(353) SMC1A_S(358) SMC1A_S(360) SMC1A_S(951) SMC1A_S(956) SMC1A_S(957) SMC1A_S(962) SMC1A_S(966) SMC1A_S(968) SMC1A_S(970) SMC1A_S(971),0.6,0.5,4,5,8,1.0,0.0445839759826739,0.3847484981764454
UBA52_S(57) UBA52_S(9) UBA52_T(3) UBA52_T(6) UBA52_Y(59),0.6,0.5,3,1,4,1.0,0.0301105548524743,0.1396477144782356
SMN1_S(108) SMN1_S(18) SMN1_S(4) SMN1_S(5) SMN1_S(63) SMN1_S(8) SMN1_T(85),0.6,0.5,3,1,8,1.0,0.0177869346150804,0.3370237415117881
REPS2_S(120) REPS2_S(254) REPS2_S(323) REPS2_S(353) REPS2_S(4) REPS2_S(489) REPS2_S(492) REPS2_S(631) REPS2_T(339) REPS2_Y(558),1.0,0.5,3,1,8,0.8,0.0239491491254626,0.0536394591805031
UPF3B_S(196) UPF3B_S(25) UPF3B_S(297) UPF3B_S(310) UPF3B_S(396) UPF3B_S(399) UPF3B_S(402) UPF3B_T(169) UPF3B_T(18) UPF3B_Y(117) UPF3B_Y(160) UPF3B_Y(167) UPF3B_Y(429) UPF3B_Y(442),1.0,0.5,4,10,8,1.0,0.0399951320297327,0.5310379850906134
ARHGEF2_S(1001) ARHGEF2_S(1005) ARHGEF2_S(1050) ARHGEF2_S(109) ARHGEF2_S(116) ARHGEF2_S(121) ARHGEF2_S(122) ARHGEF2_S(129) ARHGEF2_S(136) ARHGEF2_S(141) ARHGEF2_S(145) ARHGEF2_S(149) ARHGEF2_S(151) ARHGEF2_S(163) ARHGEF2_S(167) ARHGEF2_S(174) ARHGEF2_S(177) ARHGEF2_S(188) ARHGEF2_S(196) ARHGEF2_S(237) ARHGEF2_S(269) ARHGEF2_S(3) ARHGEF2_S(617) ARHGEF2_S(620) ARHGEF2_S(642) ARHGEF2_S(643) ARHGEF2_S(645) ARHGEF2_S(648) ARHGEF2_S(668) ARHGEF2_S(683) ARHGEF2_S(691) ARHGEF2_S(696) ARHGEF2_S(697) ARHGEF2_S(711) ARHGEF2_S(741) ARHGEF2_S(742) ARHGEF2_S(782) ARHGEF2_S(785) ARHGEF2_S(790) ARHGEF2_S(834) ARHGEF2_S(858) ARHGEF2_S(886) ARHGEF2_S(887) ARHGEF2_S(904) ARHGEF2_S(931) ARHGEF2_S(932) ARHGEF2_S(933) ARHGEF2_S(940) ARHGEF2_S(941) ARHGEF2_S(95) ARHGEF2_S(952) ARHGEF2_S(953) ARHGEF2_S(954) ARHGEF2_S(956) ARHGEF2_S(957) ARHGEF2_S(960) ARHGEF2_S(961) ARHGEF2_S(997) ARHGEF2_T(175) ARHGEF2_T(180) ARHGEF2_T(651) ARHGEF2_T(667) ARHGEF2_T(700) ARHGEF2_Y(894),1.0,0.5,4,5,8,1.0,0.0450075651714394,0.604834228874476
RPP25_S(172) RPP25_S(182) RPP25_S(186) RPP25_T(198),0.6,0.5,1,1,8,0.6,0.0184992215310282,-0.007461797346734
LOC122455342_S(244) LOC122455342_S(248) LOC122455342_Y(242) LOC122455342_Y(243),0.6,0.5,1,1,8,1.0,0.0102716847384322,0.0719546860833616
PFKFB3_S(3) PFKFB3_S(30) PFKFB3_S(441) PFKFB3_S(447) PFKFB3_S(458) PFKFB3_T(443) PFKFB3_T(477),0.6,0.5,1,1,8,0.6,0.0204955427902512,-0.0104442632075249
RANBP1_S(10) RANBP1_S(187) RANBP1_S(21) RANBP1_S(32) RANBP1_S(60) RANBP1_T(18),0.8,0.5,4,1,8,1.0,0.0322938397524101,0.4668003367186419
CEP78_C(654) CEP78_S(325) CEP78_S(327) CEP78_S(485) CEP78_S(654),1.0,0.5,2,1,4,1.0,0.0113759031967594,0.2915182907238652
ZFHX4_C(6) ZFHX4_S(1069) ZFHX4_S(1474) ZFHX4_S(1552) ZFHX4_S(2349) ZFHX4_S(2368) ZFHX4_S(252) ZFHX4_S(2718) ZFHX4_S(2724) ZFHX4_S(2743) ZFHX4_S(3542) ZFHX4_S(6) ZFHX4_S(608) ZFHX4_S(757) ZFHX4_T(2357) ZFHX4_T(2809) ZFHX4_T(2815) ZFHX4_T(2828) ZFHX4_T(3135),0.6,0.5,3,1,8,0.8,0.01431472427046,0.3905493234435693
SRP68_S(16) SRP68_S(5) SRP68_S(59),0.6,0.5,1,1,6,0.8,0.007726329669398,-0.0054983287763087
TMBIM1_S(83),1.0,0.5,4,1,8,1.0,0.0279696732173685,0.2035363842649775
SCAF11_S(1012) SCAF11_S(1030) SCAF11_S(1058) SCAF11_S(1107) SCAF11_S(1112) SCAF11_S(1114) SCAF11_S(1122) SCAF11_S(1127) SCAF11_S(1169) SCAF11_S(1170) SCAF11_S(1457) SCAF11_S(218) SCAF11_S(23) SCAF11_S(293) SCAF11_S(299) SCAF11_S(3) SCAF11_S(337) SCAF11_S(344) SCAF11_S(372) SCAF11_S(393) SCAF11_S(399) SCAF11_S(410) SCAF11_S(413) SCAF11_S(416) SCAF11_S(449) SCAF11_S(456) SCAF11_S(461) SCAF11_S(473) SCAF11_S(474) SCAF11_S(481) SCAF11_S(483) SCAF11_S(487) SCAF11_S(530) SCAF11_S(535) SCAF11_S(577) SCAF11_S(583) SCAF11_S(584) SCAF11_S(587) SCAF11_S(588) SCAF11_S(614) SCAF11_S(670) SCAF11_S(672) SCAF11_S(674) SCAF11_S(680) SCAF11_S(684) SCAF11_S(687) SCAF11_S(711) SCAF11_S(756) SCAF11_S(792) SCAF11_S(798) SCAF11_S(807) SCAF11_S(811) SCAF11_S(818) SCAF11_S(829) SCAF11_S(850) SCAF11_S(878) SCAF11_S(880) SCAF11_S(882) SCAF11_S(90) SCAF11_S(961) SCAF11_S(98) SCAF11_T(318) SCAF11_T(410) SCAF11_T(459) SCAF11_T(602) SCAF11_T(820),0.8,0.5,4,10,8,1.0,0.0337868395457002,0.5248406933576881
MIGA2_M(273) MIGA2_M(276) MIGA2_S(107) MIGA2_S(111) MIGA2_S(116) MIGA2_S(214) MIGA2_S(220) MIGA2_S(224) MIGA2_S(276),0.6,0.5,4,1,8,1.0,0.0430100469903123,0.3821682687192025
PEBP1_S(13) PEBP1_S(153) PEBP1_S(185) PEBP1_S(5) PEBP1_S(52) PEBP1_S(54) PEBP1_S(6) PEBP1_S(60) PEBP1_S(7) PEBP1_S(9) PEBP1_S(98) PEBP1_S(99) PEBP1_T(101) PEBP1_T(42) PEBP1_T(51) PEBP1_Y(181) PEBP1_Y(81),0.8,0.5,4,1,6,1.0,0.0580052263532503,0.4049570631527494
PRR14L_S(1013) PRR14L_S(1391) PRR14L_S(1641) PRR14L_S(1994) PRR14L_S(582) PRR14L_S(600) PRR14L_S(717) PRR14L_S(945) PRR14L_T(209),0.6,0.5,1,1,4,1.0,0.0200524252228791,0.0489993563172572
HERC1_S(1202) HERC1_S(1328) HERC1_S(1333) HERC1_S(1342) HERC1_S(1406) HERC1_S(1488) HERC1_S(1502) HERC1_S(1558) HERC1_S(1649) HERC1_S(1656) HERC1_S(1658) HERC1_S(1662) HERC1_S(2422) HERC1_S(2705) HERC1_S(2720) HERC1_S(2723) HERC1_S(2747) HERC1_T(1501) HERC1_T(2722) HERC1_Y(1526),0.8,0.5,4,1,6,1.0,0.0393527885935225,0.4844115054141006
RNF31_S(198) RNF31_S(383) RNF31_S(88),0.8,0.5,2,5,8,1.0,0.00831912463839,0.3995072278203978
ARRB1_M(412) ARRB1_S(15) ARRB1_S(403) ARRB1_T(402),1.0,0.5,1,1,6,0.8,0.0069099170952435,0.3519141425172526
MYOF_C(1393) MYOF_S(1007) MYOF_S(1036) MYOF_S(1037) MYOF_S(212) MYOF_S(340) MYOF_T(1103) MYOF_T(1768) MYOF_T(1769) MYOF_T(548) MYOF_T(876),1.0,0.5,2,10,8,1.0,0.0084185601138662,0.2118112125893934
ESYT1_S(1086) ESYT1_S(12) ESYT1_S(627) ESYT1_S(973) ESYT1_T(959) ESYT1_Y(1003) ESYT1_Y(999),0.6,0.5,1,1,4,0.6,0.0086596986873894,-0.0118099121947532
KPNA2_S(20) KPNA2_S(24) KPNA2_S(305) KPNA2_S(483) KPNA2_S(51) KPNA2_S(55) KPNA2_S(62) KPNA2_S(77) KPNA2_T(51) KPNA2_T(61) KPNA2_T(9),1.0,0.5,4,5,8,1.0,0.0512251926928575,0.3959690182069619
PBRM1_S(1466) PBRM1_S(241) PBRM1_S(314) PBRM1_S(316) PBRM1_S(643) PBRM1_S(963) PBRM1_Y(1404),0.8,0.5,4,1,2,0.8,0.0176370068169397,0.0015447607864307
FANCM_C(29) FANCM_C(34) FANCM_S(1002) FANCM_S(1158) FANCM_S(1162) FANCM_S(1322) FANCM_S(1411) FANCM_S(1417) FANCM_S(1437) FANCM_S(1444) FANCM_S(1448) FANCM_S(1571) FANCM_S(1673) FANCM_S(1674) FANCM_S(18) FANCM_S(34) FANCM_S(606) FANCM_S(948) FANCM_S(997),0.8,0.5,2,10,8,1.0,0.0247298498053068,0.1679619908523963
STXBP1_S(506) STXBP1_S(507) STXBP1_S(516) STXBP1_S(593),0.8,0.5,1,10,8,0.8,0.0185395235791713,0.1482353633934977
RBM10_S(207) RBM10_S(22) RBM10_S(31) RBM10_S(4) RBM10_S(483) RBM10_S(492) RBM10_S(531) RBM10_S(645) RBM10_S(726) RBM10_S(73) RBM10_S(732) RBM10_S(780) RBM10_S(803) RBM10_S(845) RBM10_S(904),0.6,0.5,3,1,8,1.0,0.023600300081078,0.112937790641606
RASSF8_S(1) RASSF8_S(105) RASSF8_S(128) RASSF8_S(129) RASSF8_S(387) RASSF8_T(128) RASSF8_T(131) RASSF8_T(3),0.6,0.5,4,1,8,1.0,0.0323949815707081,0.4017553770234861
GPSM2_S(408) GPSM2_S(541) GPSM2_S(563) GPSM2_T(486) GPSM2_T(526),0.8,0.5,4,1,8,1.0,0.0237310365255381,0.1124179045588698
RAI14_S(264) RAI14_S(274) RAI14_S(285) RAI14_S(306) RAI14_S(354) RAI14_S(357) RAI14_S(383) RAI14_S(478) RAI14_T(13) RAI14_T(283),0.6,0.5,1,1,6,0.8,0.0053074697570051,0.0051793032294014
SAFB_M(384) SAFB_S(32) SAFB_S(373) SAFB_S(375) SAFB_S(614) SAFB_S(619) SAFB_S(761),0.6,0.5,1,1,2,1.0,0.0022968349326087,0.0440502096607804
GFI1_S(26) GFI1_S(56) GFI1_S(71) GFI1_S(74) GFI1_S(78) GFI1_S(94) GFI1_S(98),0.6,0.5,1,1,4,0.8,0.0135220376880481,-0.0067935733304307
BIN1_S(1) BIN1_S(265) BIN1_S(267) BIN1_S(272) BIN1_S(286) BIN1_S(287) BIN1_S(295) BIN1_S(296) BIN1_S(298) BIN1_S(3) BIN1_S(300) BIN1_S(303) BIN1_S(315) BIN1_S(331) BIN1_S(4) BIN1_S(8) BIN1_T(16) BIN1_T(276) BIN1_T(292) BIN1_T(3) BIN1_T(307) BIN1_T(317) BIN1_T(323) BIN1_T(327) BIN1_T(348) BIN1_T(6) BIN1_T(8),0.6,0.5,4,1,8,1.0,0.050225583032582,0.5116491975480374
HIP1_S(320) HIP1_S(323) HIP1_S(579) HIP1_S(857),1.0,0.5,1,1,8,1.0,0.0193319325675548,0.1015826750121986
WDR70_M(638) WDR70_S(616) WDR70_S(621) WDR70_S(638) WDR70_Y(618),1.0,0.5,4,5,6,1.0,0.0589972240880932,0.3378229771935054
GFPT1_S(103) GFPT1_S(163) GFPT1_S(171) GFPT1_S(243) GFPT1_S(257) GFPT1_S(3) GFPT1_T(244) GFPT1_T(245) GFPT1_T(263) GFPT1_Y(535),0.8,0.5,2,10,8,0.8,0.0198410822322468,-0.0053978843310978
CADM4_S(361),0.8,0.5,3,1,4,1.0,0.0331512862877163,0.0832007034152627
BAIAP2L2_S(156) BAIAP2L2_S(231) BAIAP2L2_S(269) BAIAP2L2_S(429) BAIAP2L2_S(465) BAIAP2L2_S(475) BAIAP2L2_S(493) BAIAP2L2_T(297),0.6,0.5,1,1,8,0.8,0.0239223569439557,-0.0054490662939703
LSM14A_S(181) LSM14A_S(182) LSM14A_S(195) LSM14A_S(214) LSM14A_S(215) LSM14A_S(4) LSM14A_Y(414),0.8,0.5,4,1,8,1.0,0.0364935775051577,0.420273382648099
ZNF768_S(1) ZNF768_S(104) ZNF768_S(108) ZNF768_S(111) ZNF768_S(113) ZNF768_S(118) ZNF768_S(120) ZNF768_S(124) ZNF768_S(125) ZNF768_S(129) ZNF768_S(132) ZNF768_S(138) ZNF768_S(139) ZNF768_S(144) ZNF768_S(147) ZNF768_S(157) ZNF768_S(160) ZNF768_S(17) ZNF768_S(22) ZNF768_S(23) ZNF768_S(5) ZNF768_S(52) ZNF768_S(59) ZNF768_S(66) ZNF768_S(78) ZNF768_S(83) ZNF768_S(89) ZNF768_S(90) ZNF768_S(94) ZNF768_S(97) ZNF768_T(158) ZNF768_Y(135),0.6,0.5,4,1,8,1.0,0.0523615526067563,0.3180860571949891
SLC25A11_S(192) SLC25A11_S(6),1.0,0.5,2,10,4,1.0,0.0108511612554794,0.1811254329725425
SLX4IP_S(212) SLX4IP_S(213) SLX4IP_S(286) SLX4IP_S(389) SLX4IP_S(396) SLX4IP_T(392),1.0,0.5,4,1,8,1.0,0.0478000689796896,0.3692763410515541
BNIP5_S(18) BNIP5_T(521),0.8,0.5,4,1,8,1.0,0.0124420744711684,0.2551326928060004
LRPPRC_S(1022) LRPPRC_S(1025) LRPPRC_S(1026) LRPPRC_S(1029) LRPPRC_S(1378) LRPPRC_S(54) LRPPRC_T(1031),0.8,0.5,1,10,6,0.8,0.0123803509690214,0.1444220900376126
STAU1_S(208) STAU1_S(307) STAU1_S(309) STAU1_S(382),0.6,0.5,1,1,2,1.0,0.009514208379059,-0.0025978050643469
SYAP1_S(269) SYAP1_S(313) SYAP1_T(1) SYAP1_T(248),1.0,0.5,4,1,8,1.0,0.0496792201933536,0.5986401042889045
SP110_S(194) SP110_S(233) SP110_S(244) SP110_S(256) SP110_S(373) SP110_S(380) SP110_S(53),0.8,0.5,4,1,8,1.0,0.0404270547708152,0.5639207273378203
UPF1_S(1099) UPF1_S(1100) UPF1_T(1111) UPF1_Y(1118) UPF1_Y(1129),0.8,0.5,2,1,4,1.0,0.0084516586009788,0.1244586327074696
PROB1_S(10) PROB1_S(108) PROB1_S(2) PROB1_S(20) PROB1_S(260) PROB1_S(306) PROB1_S(372) PROB1_S(472) PROB1_S(494) PROB1_S(497) PROB1_S(5) PROB1_S(578) PROB1_S(6) PROB1_S(72) PROB1_S(789) PROB1_S(798) PROB1_S(803) PROB1_S(809) PROB1_S(811) PROB1_S(9) PROB1_T(776) PROB1_T(820) PROB1_T(823),1.0,0.5,4,10,4,1.0,0.0482585485753799,0.3027720303938032
OSBPL8_S(14) OSBPL8_S(23) OSBPL8_S(26) OSBPL8_S(272) OSBPL8_S(305) OSBPL8_S(314) OSBPL8_S(322) OSBPL8_S(331) OSBPL8_S(405) OSBPL8_S(57) OSBPL8_S(63) OSBPL8_S(65) OSBPL8_S(68) OSBPL8_S(807) OSBPL8_S(808) OSBPL8_S(810) OSBPL8_S(814) OSBPL8_T(12) OSBPL8_T(13) OSBPL8_T(20) OSBPL8_T(39) OSBPL8_T(54) OSBPL8_T(732),1.0,0.5,4,1,8,1.0,0.041583357991259,0.4834062933005503
ZW10_S(3) ZW10_T(133) ZW10_T(438),1.0,0.5,3,1,8,1.0,0.0256012023080646,0.1744562897810685
FRA10AC1_S(12) FRA10AC1_S(251) FRA10AC1_S(252) FRA10AC1_S(273) FRA10AC1_S(276) FRA10AC1_S(278) FRA10AC1_S(283) FRA10AC1_S(285) FRA10AC1_S(301) FRA10AC1_S(9),1.0,0.5,3,1,8,1.0,0.0400188067403573,0.1437499475481086
NAMPT_C(398) NAMPT_S(338) NAMPT_S(398) NAMPT_S(431) NAMPT_S(472),0.8,0.5,3,5,8,1.0,0.0284648551462091,0.1828640009771127
ELAVL1_S(197) ELAVL1_S(2) ELAVL1_S(202) ELAVL1_Y(200) ELAVL1_Y(5),1.0,0.5,4,1,8,0.8,0.0423417097134679,0.4345242873252354
KHNYN_S(291) KHNYN_S(342) KHNYN_S(353) KHNYN_S(359),0.8,0.5,4,10,8,1.0,0.0376941370123156,0.2949268011412019
KRT7_S(168) KRT7_S(207) KRT7_S(25) KRT7_S(27) KRT7_S(28) KRT7_S(36) KRT7_S(45) KRT7_S(52) KRT7_S(6) KRT7_S(92) KRT7_T(289) KRT7_T(67) KRT7_Y(30),1.0,0.5,2,1,8,1.0,0.0090989636857478,0.2867100296415773
FEZ2_S(135) FEZ2_S(208) FEZ2_S(217) FEZ2_S(65) FEZ2_T(134),0.8,0.5,4,1,8,0.8,0.0152655403734417,0.3820438551233195
FBF1_S(314) FBF1_S(328) FBF1_S(359) FBF1_T(361),1.0,0.5,4,1,8,1.0,0.0123574792443242,0.1217128785023022
LPIN3_S(223) LPIN3_S(225) LPIN3_S(227) LPIN3_S(411),0.6,0.5,1,1,4,0.6,0.0133400436716232,-0.0091820178502075
SSX2IP_S(115) SSX2IP_S(286) SSX2IP_S(29) SSX2IP_S(293) SSX2IP_S(306) SSX2IP_S(312) SSX2IP_S(341) SSX2IP_S(526) SSX2IP_S(535) SSX2IP_S(536) SSX2IP_S(540) SSX2IP_S(542) SSX2IP_T(454),1.0,0.5,4,5,8,1.0,0.031790245158165,0.3330909750927567
VAPA_S(10) VAPA_S(11) VAPA_S(14) VAPA_S(153) VAPA_S(164) VAPA_S(166) VAPA_S(209) VAPA_S(211) VAPA_S(214) VAPA_S(219) VAPA_S(3) VAPA_S(65) VAPA_S(9) VAPA_T(170) VAPA_T(215),0.8,0.5,4,10,8,1.0,0.0385671107404577,0.4630759589408928
NKAPD1_S(125) NKAPD1_S(134) NKAPD1_S(137) NKAPD1_S(183) NKAPD1_S(184) NKAPD1_S(185) NKAPD1_S(188) NKAPD1_T(123),0.6,0.5,1,1,6,0.6,0.0161515566313915,-0.0191358381224386
FOXK1_C(257) FOXK1_M(257) FOXK1_M(428) FOXK1_S(122) FOXK1_S(236) FOXK1_S(239) FOXK1_S(243) FOXK1_S(249) FOXK1_S(253) FOXK1_S(254) FOXK1_S(257) FOXK1_S(285) FOXK1_S(295) FOXK1_S(299) FOXK1_S(3) FOXK1_S(402) FOXK1_S(403) FOXK1_S(427) FOXK1_S(430) FOXK1_S(455) FOXK1_S(458) FOXK1_S(459) FOXK1_S(466) FOXK1_S(472) FOXK1_S(475) FOXK1_T(245) FOXK1_T(247) FOXK1_T(430) FOXK1_T(716) FOXK1_T(731),1.0,0.5,4,1,8,1.0,0.0185022425184989,0.7969462710706253
SKIC2_S(1017) SKIC2_S(245) SKIC2_S(247) SKIC2_S(253) SKIC2_S(255) SKIC2_S(256) SKIC2_S(270) SKIC2_S(3) SKIC2_S(779) SKIC2_S(882) SKIC2_T(271),0.8,0.5,4,1,8,1.0,0.0581263732254,0.3885520530510034
NCAPH2_S(175) NCAPH2_S(200) NCAPH2_S(25) NCAPH2_S(262) NCAPH2_S(466) NCAPH2_S(492),0.6,0.5,1,1,8,0.8,0.0091928778797702,-0.0130276994202108
FSD2_S(3) FSD2_S(599),0.6,0.5,1,1,8,0.6,0.0124824501789283,-0.0041651911989852
MTA3_S(417) MTA3_S(428) MTA3_S(430) MTA3_S(457) MTA3_S(512) MTA3_S(517) MTA3_S(519) MTA3_T(556),0.6,0.5,4,1,8,1.0,0.0446582784725119,0.4120342897304899
SLC46A1_S(429) SLC46A1_S(6),0.8,0.5,2,1,4,0.8,0.0105146805580641,0.2809757014251705
