TargetFeature,colsample_bytree,gamma,max_depth,min_child_weight,n_estimators,subsample,mean_mse,mean_r2
OPHN1_S(143) OPHN1_S(352) OPHN1_S(372) OPHN1_S(651) OPHN1_S(652) OPHN1_S(654) OPHN1_S(703) OPHN1_T(347) OPHN1_T(685) OPHN1_Y(370),1.0,0.5,4,5,8,1.0,0.0357999514355657,0.2349652972414765
KRI1_S(171),1.0,0.5,4,1,8,1.0,0.0433373319841196,0.7693467348312149
GAB1_C(377) GAB1_C(381) GAB1_S(149) GAB1_S(2) GAB1_S(263) GAB1_S(266) GAB1_S(274) GAB1_S(3) GAB1_S(402) GAB1_S(454) GAB1_S(551) GAB1_S(9) GAB1_T(387) GAB1_T(503) GAB1_Y(259) GAB1_Y(406) GAB1_Y(657) GAB1_Y(659) GAB1_Y(689),1.0,0.5,4,1,8,1.0,0.0341678904161958,0.6437643307757668
EPPK1_S(1529) EPPK1_S(1811) EPPK1_S(1821) EPPK1_S(2422) EPPK1_S(2508) EPPK1_S(2546) EPPK1_S(2693) EPPK1_S(2707) EPPK1_S(2714) EPPK1_S(2715) EPPK1_S(2716) EPPK1_S(2718) EPPK1_S(2720) EPPK1_S(2723) EPPK1_S(2725) EPPK1_S(2749) EPPK1_S(2751) EPPK1_S(4645) EPPK1_T(1541) EPPK1_T(1542) EPPK1_T(1543) EPPK1_T(2182) EPPK1_T(24) EPPK1_T(2479) EPPK1_T(2722) EPPK1_T(34) EPPK1_T(568) EPPK1_Y(583),1.0,0.5,4,1,8,1.0,0.0448146274256116,0.5403918543532777
OSBPL3_C(768) OSBPL3_S(13) OSBPL3_S(16) OSBPL3_S(197) OSBPL3_S(20) OSBPL3_S(200) OSBPL3_S(22) OSBPL3_S(23) OSBPL3_S(248) OSBPL3_S(251) OSBPL3_S(262) OSBPL3_S(265) OSBPL3_S(30) OSBPL3_S(300) OSBPL3_S(303) OSBPL3_S(304) OSBPL3_S(309) OSBPL3_S(320) OSBPL3_S(323) OSBPL3_S(326) OSBPL3_S(34) OSBPL3_S(362) OSBPL3_S(371) OSBPL3_S(372) OSBPL3_S(386) OSBPL3_S(4) OSBPL3_S(400) OSBPL3_S(410) OSBPL3_S(415) OSBPL3_S(416) OSBPL3_S(425) OSBPL3_S(430) OSBPL3_S(437) OSBPL3_S(499) OSBPL3_S(7) OSBPL3_T(195) OSBPL3_T(288) OSBPL3_T(310) OSBPL3_T(392) OSBPL3_Y(250) OSBPL3_Y(319) OSBPL3_Y(47),1.0,0.5,4,1,8,1.0,0.0329129648943993,0.6718710275570873
UGP2_S(13) UGP2_S(2) UGP2_S(22) UGP2_S(448) UGP2_S(45),0.8,0.5,4,1,6,1.0,0.027312832288631,0.608423331858135
DDX42_S(109) DDX42_S(111) DDX42_S(24) DDX42_S(596) DDX42_S(598) DDX42_S(66) DDX42_S(705) DDX42_S(715) DDX42_S(717) DDX42_S(751) DDX42_S(754) DDX42_S(816) DDX42_S(96) DDX42_T(228) DDX42_T(742),1.0,0.5,4,10,8,1.0,0.0305194407333696,0.5865659781199597
KDF1_S(137) KDF1_S(158) KDF1_S(160) KDF1_S(179) KDF1_S(186) KDF1_S(201) KDF1_S(209) KDF1_S(218) KDF1_S(222) KDF1_T(315),1.0,0.5,4,1,2,1.0,0.0302256428275537,0.0465803337020825
PDZD8_S(101) PDZD8_S(512) PDZD8_S(538) PDZD8_S(631) PDZD8_S(967) PDZD8_T(974),1.0,0.5,4,1,8,1.0,0.0552156005969365,0.3011804334803612
TMEM100_S(117) TMEM100_S(118) TMEM100_S(121),0.6,0.5,1,1,6,0.8,0.0191673985580865,-0.0084028598438643
TRIP12_S(100) TRIP12_S(1014) TRIP12_S(1016) TRIP12_S(1020) TRIP12_S(1024) TRIP12_S(1029) TRIP12_S(1030) TRIP12_S(1035) TRIP12_S(1036) TRIP12_S(1039) TRIP12_S(1044) TRIP12_S(1045) TRIP12_S(1049) TRIP12_S(1064) TRIP12_S(1069) TRIP12_S(1078) TRIP12_S(1084) TRIP12_S(1092) TRIP12_S(1102) TRIP12_S(1105) TRIP12_S(1113) TRIP12_S(119) TRIP12_S(12) TRIP12_S(1241) TRIP12_S(1248) TRIP12_S(127) TRIP12_S(1283) TRIP12_S(1296) TRIP12_S(1317) TRIP12_S(1322) TRIP12_S(1350) TRIP12_S(1355) TRIP12_S(1365) TRIP12_S(1370) TRIP12_S(1376) TRIP12_S(1381) TRIP12_S(1409) TRIP12_S(1418) TRIP12_S(142) TRIP12_S(1424) TRIP12_S(1427) TRIP12_S(1475) TRIP12_S(151) TRIP12_S(154) TRIP12_S(1577) TRIP12_S(161) TRIP12_S(1610) TRIP12_S(1613) TRIP12_S(1625) TRIP12_S(165) TRIP12_S(2) TRIP12_S(203) TRIP12_S(236) TRIP12_S(239) TRIP12_S(241) TRIP12_S(267) TRIP12_S(3) TRIP12_S(308) TRIP12_S(309) TRIP12_S(310) TRIP12_S(312) TRIP12_S(320) TRIP12_S(340) TRIP12_S(352) TRIP12_S(354) TRIP12_S(4) TRIP12_S(424) TRIP12_S(472) TRIP12_S(73) TRIP12_S(74) TRIP12_S(75) TRIP12_S(76) TRIP12_S(77) TRIP12_S(85) TRIP12_S(87) TRIP12_S(88) TRIP12_S(9) TRIP12_S(93) TRIP12_S(931) TRIP12_S(942) TRIP12_S(975) TRIP12_S(984) TRIP12_S(987) TRIP12_S(990) TRIP12_S(991) TRIP12_S(997) TRIP12_T(1065) TRIP12_T(1103) TRIP12_T(1374) TRIP12_T(1377) TRIP12_T(140) TRIP12_T(1410) TRIP12_T(1424) TRIP12_T(1425) TRIP12_T(1426) TRIP12_T(1469) TRIP12_T(83) TRIP12_T(941) TRIP12_Y(1063) TRIP12_Y(859),1.0,0.5,4,5,8,1.0,0.02318845147406,0.8199785563141656
LRRC8A_S(199) LRRC8A_S(202) LRRC8A_S(217) LRRC8A_T(215),1.0,0.5,4,1,8,1.0,0.0410664894524007,0.5681076131423917
SHROOM2_C(1297) SHROOM2_C(456) SHROOM2_S(1039) SHROOM2_S(1098) SHROOM2_S(1101) SHROOM2_S(1110) SHROOM2_S(1112) SHROOM2_S(1114) SHROOM2_S(1169) SHROOM2_S(1171) SHROOM2_S(1173) SHROOM2_S(132) SHROOM2_S(1425) SHROOM2_S(1427) SHROOM2_S(1434) SHROOM2_S(177) SHROOM2_S(180) SHROOM2_S(208) SHROOM2_S(231) SHROOM2_S(308) SHROOM2_S(312) SHROOM2_S(313) SHROOM2_S(411) SHROOM2_S(413) SHROOM2_S(415) SHROOM2_S(456) SHROOM2_S(6) SHROOM2_S(646) SHROOM2_S(762) SHROOM2_S(764) SHROOM2_S(776) SHROOM2_S(779) SHROOM2_S(8) SHROOM2_S(851) SHROOM2_S(924) SHROOM2_S(974) SHROOM2_T(1014) SHROOM2_T(1296) SHROOM2_T(219) SHROOM2_T(647),0.6,0.5,4,5,8,1.0,0.0562341387547195,0.255614704709198
PPP2R5D_S(475) PPP2R5D_S(571) PPP2R5D_S(573) PPP2R5D_S(75) PPP2R5D_S(89) PPP2R5D_S(90) PPP2R5D_T(63),1.0,0.5,3,5,8,1.0,0.045234093076135,0.6948640435961085
NSFL1C_S(114) NSFL1C_S(116) NSFL1C_S(139) NSFL1C_S(4) NSFL1C_T(3),1.0,0.5,4,1,8,1.0,0.0423755105939469,0.732489928904074
CNNM3_S(453) CNNM3_S(467) CNNM3_S(652) CNNM3_S(661) CNNM3_T(459),0.6,0.5,3,1,8,1.0,0.018460163358435,0.1715915831767048
ATXN2_C(558) ATXN2_M(728) ATXN2_S(3) ATXN2_S(306) ATXN2_S(387) ATXN2_S(431) ATXN2_S(466) ATXN2_S(508) ATXN2_S(513) ATXN2_S(521) ATXN2_S(554) ATXN2_S(556) ATXN2_S(558) ATXN2_S(593) ATXN2_S(612) ATXN2_S(613) ATXN2_S(616) ATXN2_S(624) ATXN2_S(667) ATXN2_S(684) ATXN2_S(693) ATXN2_S(701) ATXN2_S(705) ATXN2_S(728) ATXN2_S(733) ATXN2_S(741) ATXN2_S(743) ATXN2_S(758) ATXN2_S(763) ATXN2_S(772) ATXN2_S(774) ATXN2_S(784) ATXN2_S(788) ATXN2_S(814) ATXN2_S(857) ATXN2_S(861) ATXN2_S(865) ATXN2_S(889) ATXN2_S(892) ATXN2_S(9) ATXN2_S(937) ATXN2_T(577) ATXN2_T(581) ATXN2_T(660) ATXN2_T(665) ATXN2_T(666) ATXN2_T(738) ATXN2_T(741) ATXN2_T(744) ATXN2_T(749) ATXN2_T(763) ATXN2_T(771) ATXN2_T(8) ATXN2_Y(290),1.0,0.5,4,5,8,1.0,0.031880885405174,0.6978176005562601
BLOC1S3_S(27) BLOC1S3_S(30) BLOC1S3_S(32) BLOC1S3_S(33) BLOC1S3_S(34) BLOC1S3_S(65) BLOC1S3_T(25) BLOC1S3_T(63),0.6,0.5,4,1,8,1.0,0.0531338838403801,0.2811012799734264
SLITRK4_S(663) SLITRK4_S(741) SLITRK4_T(742) SLITRK4_Y(769) SLITRK4_Y(811) SLITRK4_Y(824),0.8,0.5,3,1,8,0.8,0.022027235844838,-0.0012299163834906
DVL2_S(169) DVL2_S(211) DVL2_S(228) DVL2_S(614) DVL2_S(616) DVL2_S(618) DVL2_S(626) DVL2_S(651),0.6,0.5,1,1,4,0.6,0.0158054929772239,-0.0125759001234761
SCAMP2_S(3) SCAMP2_S(316) SCAMP2_S(319) SCAMP2_S(320),0.8,0.5,4,1,6,1.0,0.0488078722578367,0.3628418756264834
TSEN2_S(205) TSEN2_S(215) TSEN2_S(223),1.0,0.5,4,1,4,1.0,0.0191018773212087,0.4588903575993455
KANK2_S(10) KANK2_S(101) KANK2_S(19) KANK2_S(249) KANK2_S(323) KANK2_S(356) KANK2_S(375) KANK2_S(406) KANK2_S(463) KANK2_S(540) KANK2_S(568) KANK2_S(580) KANK2_S(72) KANK2_S(83) KANK2_S(88) KANK2_S(92) KANK2_T(14) KANK2_T(176) KANK2_T(36) KANK2_T(573) KANK2_T(6) KANK2_T(88) KANK2_Y(100) KANK2_Y(32),1.0,0.5,4,5,8,1.0,0.0245082143213727,0.7702846284483446
ATP11B_S(1152) ATP11B_S(1154) ATP11B_S(1156),1.0,0.5,2,1,8,1.0,0.0262788943529363,0.1272088789850147
TPMT_S(14) TPMT_S(7) TPMT_T(16),1.0,0.5,4,1,6,1.0,0.0599987297027879,0.4089609154187592
LMOD1_S(10) LMOD1_S(119) LMOD1_S(12) LMOD1_S(135) LMOD1_S(4) LMOD1_S(508) LMOD1_S(512) LMOD1_S(516) LMOD1_S(520) LMOD1_S(551) LMOD1_S(85),0.8,0.5,4,1,8,1.0,0.0388853529221583,0.1176392366785002
ZNF784_S(12) ZNF784_S(13) ZNF784_S(2) ZNF784_T(37),0.6,0.5,4,1,6,1.0,0.0253722057191257,0.1833968558781211
MMACHC_S(218) MMACHC_S(268) MMACHC_S(273) MMACHC_S(275) MMACHC_S(279),1.0,0.5,4,1,8,1.0,0.0193758114317793,0.6745584146130368
STK39_S(370) STK39_S(371),0.6,0.5,3,10,8,1.0,0.0282670712397814,0.183203381266524
XPR1_S(601) XPR1_S(603) XPR1_S(662) XPR1_S(666) XPR1_S(668) XPR1_T(625) XPR1_T(690),1.0,0.5,4,10,8,1.0,0.0376904755312214,0.4331061928071484
SASH1_C(407) SASH1_C(721) SASH1_S(1035) SASH1_S(1051) SASH1_S(1069) SASH1_S(135) SASH1_S(3) SASH1_S(442) SASH1_S(503) SASH1_S(706) SASH1_S(720) SASH1_S(725) SASH1_S(740) SASH1_S(819) SASH1_S(821) SASH1_S(822) SASH1_S(839) SASH1_S(927) SASH1_T(1035) SASH1_T(1055) SASH1_T(1068),1.0,0.5,4,1,8,1.0,0.0435174600425948,0.226069992964845
CARMIL1_C(916) CARMIL1_S(1067) CARMIL1_S(1068) CARMIL1_S(1094) CARMIL1_S(1101) CARMIL1_S(1128) CARMIL1_S(1131) CARMIL1_S(1135) CARMIL1_S(1151) CARMIL1_S(1235) CARMIL1_S(1243) CARMIL1_S(1246) CARMIL1_S(1254) CARMIL1_S(1256) CARMIL1_S(1261) CARMIL1_S(1274) CARMIL1_S(1277) CARMIL1_S(1280) CARMIL1_S(1286) CARMIL1_S(1288) CARMIL1_S(1290) CARMIL1_S(1291) CARMIL1_S(1306) CARMIL1_S(1314) CARMIL1_S(1315) CARMIL1_S(1331) CARMIL1_S(1360) CARMIL1_S(880) CARMIL1_S(933) CARMIL1_S(967) CARMIL1_S(968) CARMIL1_T(1093) CARMIL1_T(1128) CARMIL1_T(1183) CARMIL1_T(1228) CARMIL1_T(1251) CARMIL1_T(1278) CARMIL1_T(912) CARMIL1_T(916),0.6,0.5,4,1,8,1.0,0.0297727774686427,0.7564340870215556
ARL6IP4_S(130) ARL6IP4_S(137) ARL6IP4_S(140) ARL6IP4_S(147) ARL6IP4_S(148) ARL6IP4_S(178) ARL6IP4_S(180) ARL6IP4_S(231) ARL6IP4_S(243) ARL6IP4_S(264) ARL6IP4_S(271) ARL6IP4_S(332) ARL6IP4_T(147),0.8,0.5,4,1,8,1.0,0.0475178960127979,0.6163748886575219
SUV39H1_M(391) SUV39H1_S(391) SUV39H1_S(402),0.8,0.5,4,1,8,1.0,0.0316633528108103,0.6142737356176171
HSP90B1_M(792) HSP90B1_S(172) HSP90B1_S(403) HSP90B1_S(447) HSP90B1_S(64) HSP90B1_S(8) HSP90B1_T(11),0.8,0.5,2,10,2,1.0,0.0236208760059785,0.1379721840377473
DIP2C_S(593) DIP2C_S(70) DIP2C_S(89) DIP2C_T(157) DIP2C_T(245) DIP2C_T(264) DIP2C_T(40) DIP2C_T(5) DIP2C_T(62),1.0,0.5,4,5,8,0.8,0.0405395293993583,0.1064906908398772
PLK1_S(326) PLK1_S(383) PLK1_S(450) PLK1_T(210),0.8,0.5,3,1,8,1.0,0.0249041135688314,0.1248919965346181
HGSNAT_S(215) HGSNAT_S(239) HGSNAT_S(243) HGSNAT_S(245),1.0,0.5,4,1,8,0.6,0.0191213198910327,0.319527663927553
UTP14A_S(14) UTP14A_S(29) UTP14A_S(31) UTP14A_S(382) UTP14A_S(385) UTP14A_S(393) UTP14A_S(399) UTP14A_S(401) UTP14A_S(405) UTP14A_S(407) UTP14A_S(427) UTP14A_S(432) UTP14A_S(433) UTP14A_S(434) UTP14A_S(437) UTP14A_S(445) UTP14A_S(449) UTP14A_S(451) UTP14A_S(453) UTP14A_S(458) UTP14A_S(479) UTP14A_S(480) UTP14A_S(517) UTP14A_S(52) UTP14A_S(571) UTP14A_S(741) UTP14A_S(77) UTP14A_S(78) UTP14A_S(81) UTP14A_T(153) UTP14A_T(205) UTP14A_T(389) UTP14A_T(77),1.0,0.5,4,1,8,1.0,0.0218068103661696,0.8111129685972769
GSK3B_C(25) GSK3B_S(129) GSK3B_S(13) GSK3B_S(21) GSK3B_S(215) GSK3B_S(219) GSK3B_S(25) GSK3B_S(26) GSK3B_S(282) GSK3B_S(3) GSK3B_S(35) GSK3B_S(389) GSK3B_S(402) GSK3B_S(6) GSK3B_S(9) GSK3B_T(390) GSK3B_T(392) GSK3B_T(403) GSK3B_Y(197) GSK3B_Y(216) GSK3B_Y(7),1.0,0.5,4,1,8,1.0,0.0343633254655145,0.6952038796484562
TOPBP1_S(1002) TOPBP1_S(1016) TOPBP1_S(1019) TOPBP1_S(1126) TOPBP1_S(2) TOPBP1_S(814) TOPBP1_S(817) TOPBP1_S(836) TOPBP1_S(864) TOPBP1_S(886) TOPBP1_S(888) TOPBP1_S(896) TOPBP1_S(998) TOPBP1_T(1221) TOPBP1_T(1231) TOPBP1_T(779) TOPBP1_T(822) TOPBP1_T(848) TOPBP1_T(861),0.8,0.5,4,5,8,1.0,0.0451862272072804,0.5101301963748675
ATN1_S(100) ATN1_S(101) ATN1_S(107) ATN1_S(112) ATN1_S(118) ATN1_S(119) ATN1_S(1589) ATN1_S(34) ATN1_S(355) ATN1_S(39) ATN1_S(4) ATN1_S(627) ATN1_S(629) ATN1_S(632) ATN1_S(640) ATN1_S(645) ATN1_S(650) ATN1_S(661) ATN1_S(689) ATN1_S(72) ATN1_S(739) ATN1_S(746) ATN1_S(748) ATN1_S(77) ATN1_S(79) ATN1_S(81) ATN1_S(896) ATN1_T(630) ATN1_T(651) ATN1_T(653) ATN1_T(669) ATN1_T(691) ATN1_Y(136) ATN1_Y(734),1.0,0.5,4,5,8,0.8,0.0358037492954284,0.6118243897627452
GON4L_C(206) GON4L_C(2103) GON4L_C(2106) GON4L_C(2107) GON4L_S(1268) GON4L_S(1288) GON4L_S(1333) GON4L_S(1339) GON4L_S(1426) GON4L_S(1441) GON4L_S(1896) GON4L_S(1902) GON4L_S(1977) GON4L_S(2052) GON4L_S(2053) GON4L_S(206) GON4L_S(2096) GON4L_S(2097) GON4L_S(2106) GON4L_S(2107) GON4L_S(346) GON4L_S(476) GON4L_T(1444) GON4L_T(1573) GON4L_T(1980) GON4L_T(262) GON4L_T(342) GON4L_T(416) GON4L_T(418) GON4L_T(626) GON4L_Y(265),1.0,0.5,4,5,6,1.0,0.0204718540802784,0.6737433723440345
LAYN_S(272) LAYN_S(278) LAYN_S(299),1.0,0.5,4,1,8,0.6,0.0272090761997467,0.466320944155154
ZBTB22_S(202) ZBTB22_S(599) ZBTB22_S(604),0.8,0.5,4,1,8,1.0,0.018899927068629,0.2046389635969639
ATXN2L_C(493) ATXN2L_C(496) ATXN2L_C(634) ATXN2L_M(449) ATXN2L_M(594) ATXN2L_M(597) ATXN2L_S(111) ATXN2L_S(248) ATXN2L_S(301) ATXN2L_S(305) ATXN2L_S(306) ATXN2L_S(332) ATXN2L_S(335) ATXN2L_S(337) ATXN2L_S(339) ATXN2L_S(341) ATXN2L_S(391) ATXN2L_S(409) ATXN2L_S(420) ATXN2L_S(423) ATXN2L_S(424) ATXN2L_S(426) ATXN2L_S(430) ATXN2L_S(434) ATXN2L_S(443) ATXN2L_S(449) ATXN2L_S(493) ATXN2L_S(557) ATXN2L_S(558) ATXN2L_S(559) ATXN2L_S(563) ATXN2L_S(58) ATXN2L_S(589) ATXN2L_S(592) ATXN2L_S(594) ATXN2L_S(600) ATXN2L_S(606) ATXN2L_S(628) ATXN2L_S(640) ATXN2L_S(677) ATXN2L_S(680) ATXN2L_S(681) ATXN2L_S(684) ATXN2L_S(771) ATXN2L_S(98) ATXN2L_T(58) ATXN2L_T(588) ATXN2L_T(628) ATXN2L_T(681) ATXN2L_Y(241) ATXN2L_Y(264),1.0,0.5,4,5,8,1.0,0.037383030833511,0.7426354097958963
SSR1_S(247) SSR1_S(260) SSR1_S(268) SSR1_S(281),1.0,0.5,4,1,8,1.0,0.0352464702155343,0.702833735628725
NELFA_S(237) NELFA_S(350) NELFA_S(360) NELFA_S(363) NELFA_S(374) NELFA_S(83) NELFA_S(86) NELFA_T(246) NELFA_T(250) NELFA_T(288) NELFA_T(297),1.0,0.5,4,1,8,1.0,0.0460324900545327,0.6815029438506113
VPS13D_S(1062) VPS13D_S(1478) VPS13D_S(1573) VPS13D_S(1710) VPS13D_S(1765) VPS13D_S(2079) VPS13D_S(2434) VPS13D_S(2454) VPS13D_S(2455) VPS13D_S(2671) VPS13D_S(2692) VPS13D_S(2861) VPS13D_S(2864) VPS13D_S(2985) VPS13D_S(3) VPS13D_S(663) VPS13D_S(7) VPS13D_S(764) VPS13D_T(1761) VPS13D_T(1767) VPS13D_T(2081) VPS13D_Y(1710),1.0,0.5,4,5,8,1.0,0.0346705178496284,0.6499997675085114
RAB8B_S(180) RAB8B_S(182) RAB8B_Y(5),1.0,0.5,4,1,8,1.0,0.0294308813274223,0.3780103811015365
XIRP1_S(10) XIRP1_S(134) XIRP1_S(138) XIRP1_S(1392) XIRP1_S(15) XIRP1_S(1669) XIRP1_S(1739) XIRP1_S(295) XIRP1_S(3) XIRP1_S(498) XIRP1_S(527) XIRP1_S(529) XIRP1_S(6) XIRP1_S(724) XIRP1_S(9) XIRP1_T(139) XIRP1_T(144) XIRP1_T(530) XIRP1_Y(484),1.0,0.5,4,1,8,0.8,0.0462448352517335,0.4986485167968721
ATRIP_S(112) ATRIP_S(162) ATRIP_S(214) ATRIP_S(219) ATRIP_S(221) ATRIP_S(224) ATRIP_S(391) ATRIP_S(435) ATRIP_S(97),0.8,0.5,4,1,8,1.0,0.0223790206979127,0.7589283977469005
