gene_id,transcript_id,length
ABCE1,NM_001040876.2,31214
ABCF1,NM_001090.3,20081
ABCF1-DT,XR_001756540.2,7691
ABCF2,NM_007189.3,15722
ABCF2-H2BK1,NM_005692.5,19369
ABCF3,NM_001351298.2,7807
ABCG1,NM_207627.2,97556
ABCG2,NM_001348985.1,141363
ABCG4,NM_001348191.2,13602
ABCG5,XM_047445410.1,32629
ABCG8,NM_001357321.2,44018
ABHD1,NM_032604.4,6998
ABHD10,NM_018394.4,14343
ABHD11,XM_047420884.1,2709
ABHD12,NM_015600.5,96093
ABHD12B,NM_181814.2,32918
ABHD13,NM_032859.3,15852
ABHD14A,NM_015407.5,6133
ABHD14A-ACY1,NM_001316331.2,14134
ABHD14B,NM_001254753.1,6121
ABHD15,NM_198147.3,6491
ABHD16A,NM_021160.3,16381
ABHD16B,NM_080622.4,1491
ABHD17A,NM_031213.4,8687
ABHD17B,NM_016014.4,48742
ABHD17C,NM_021214.2,60312
ABHD18,NM_001366041.3,74548
ABHD2,NM_001416424.1,161358
ABHD3,NM_138340.5,53874
ABHD4,NM_022060.3,14664
ABHD5,XM_047448243.1,43502
ABHD6,NM_020676.7,56943
ABHD8,NM_024527.5,11295
ABI1,NM_001178116.2,114363
ABI2,NM_001375752.1,103776
ABI3,NM_001135186.2,12519
ABI3BP,NM_001375547.2,244266
ABITRAM,NM_001410990.1,16345
ABL1,NM_007313.3,174633
ABL2,NM_007314.4,130348
ABLIM1,XM_024448010.2,370264
ABLIM2,XM_047416299.1,193487
ABLIM3,NM_001345860.2,119050
ABO,NM_001424372.1,24938
ABR,NM_001322841.2,226204
ABR-AS1,NR_187271.1,8735
ABRA,NM_139166.5,10762
ABRACL,NM_021243.3,14558
ABRAXAS1,NM_139076.3,25584
ABRAXAS2,NM_032182.4,34849
ABT1,NM_013375.4,3787
ABTB1,XM_017007286.3,7975
ABTB2,NM_145804.3,207024
ABTB3,XM_047428301.1,341209
ACAA1,NM_001607.4,14413
ACAA2,NM_006111.3,31370
ACACA,NM_198839.3,325001
ACACB,NM_001412737.1,157038
ACAD10,NM_025247.6,71047
ACAD11,NM_032169.5,101669
ACAD8,NM_014384.3,12288
ACAD9,NM_001410805.1,33495
ACAD9-DT,NR_186174.1,7524
ACADL,XM_005246517.5,37525
ACADM,NM_001286044.2,38971
ACADS,NM_001302554.2,14183
ACADSB,NM_001330174.3,49285
ACADVL,NM_001270447.2,8142
ACAN,NM_001135.4,71918
ACAP1,XM_047437151.1,14949
ACAP2,XM_047447835.1,168276
ACAP3,XM_011540606.3,15540
ACAT1,NM_001386681.1,30899
ACAT2,NM_005891.3,17068
ACBD3,NM_022735.4,42063
ACBD3-AS1,NR_146443.1,6975
ACBD4,XM_047436765.1,12580
ACBD5,XM_047425993.1,59274
ACBD6,XM_047432084.1,232925
ACBD7,NM_001039844.3,13302
ACBD7-DCLRE1CP1,NR_144471.1,73705
ACCS,XM_024448719.2,17968
ACCSL,XM_047426927.1,138910
ACD,NM_001082486.2,2749
ACE,NM_001382700.1,21313
ACE2,NM_001386259.1,82764
ACE2-DT,NR_126564.1,18604
ACER1,XM_011527673.3,54227
ACER2,NM_001010887.3,43497
ACER3,NM_001300953.2,165880
ACER3-AS1,XR_007062792.1,80139
ACHE,NM_001367918.1,7001
ACIN1,XM_005267416.5,37051
ACKR1,NM_002036.4,1626
ACKR2,NM_001296.5,57842
ACKR3,XM_005246098.4,45233
ACKR4,NM_016557.4,5375
ACLY,XM_005257395.2,63629
ACMSD,XM_005263586.5,63419
ACO1,NM_002197.3,70127
ACO2,NM_001098.3,59858
ACOD1,NM_001258406.2,10128
ACOT1,XM_017021590.2,52864
ACOT11,NM_015547.4,90965
ACOT12,XM_017009045.2,85526
ACOT13,NM_018473.4,37970
ACOT2,NR_046028.1,8039
ACOT4,NM_152331.4,3894
ACOT6,NM_001365789.1,8944
ACOT7,NM_007274.4,129496
ACOT8,NM_005469.4,15672
ACOT9,NM_001037171.2,42222
ACOX1,NM_001185039.2,37660
ACOX2,XM_047449042.1,32055
ACOX3,XR_007057969.1,85419
ACOXL,XM_047444904.1,385976
ACOXL-AS1,NR_122074.1,17248
ACP1,NM_007099.4,13337
ACP2,NM_001357016.2,9513
ACP3,XM_011512947.3,50896
ACP4,NM_033068.3,4805
ACP5,XM_047438945.1,4316
ACP6,XM_011509601.4,40867
ACP7,XM_017026807.3,27706
ACR,NM_001097.3,7136
ACRBP,NM_032489.3,9358
ACRV1,NM_001612.6,9326
ACSBG1,NM_015162.5,67098
ACSBG2,NM_001289180.2,57459
ACSF2,NM_001288971.2,48620
ACSF3,NM_001243279.3,62382
ACSL1,XM_017007887.2,71000
ACSL3,NM_001354159.2,83604
ACSL3-AS1,XR_923949.3,2948
ACSL4,XM_024452351.2,91923
ACSL5,NM_203379.2,54261
ACSL6,NM_001405479.1,62241
ACSL6-AS1,NR_183256.1,3464
ACSM1,NM_001318890.3,74446
ACSM2A,NM_001308169.2,36149
ACSM2B,NM_182617.4,40142
ACSM3,XM_047434437.1,123177
ACSM4,NM_001080454.2,24648
ACSM5,NM_001324371.2,31803
ACSM6,NM_207321.3,34692
ACSS1,NM_032501.4,51903
ACSS2,XM_047440294.1,52971
ACSS3,XM_047429549.1,183340
ACTA1,NM_001100.4,2850
ACTA2,NM_001406463.1,56264
ACTA2-AS1,NR_125373.1,7291
ACTB,NM_001101.5,3454
ACTBL2,NM_001017992.4,2794
ACTC1,XM_047432979.1,5320
ACTE1P,NR_038862.1,17609
ACTG1,NM_001199954.3,2829
ACTG1P17,NR_036446.1,13901
ACTG1P20,NR_033926.1,2652
ACTG1P25,NR_002929.2,13488
ACTG1P4,NR_024438.2,1988
ACTG2,NM_001199893.2,26858
ACTL10,NM_001024675.2,1583
ACTL6A,NM_177989.4,25482
ACTL6B,NM_016188.5,13352
ACTL7A,NM_006687.4,1491
ACTL7B,NM_006686.4,1399
ACTL8,NM_030812.3,71731
ACTL9,NM_178525.5,1396
ACTMAP,NM_198476.5,9617
ACTN1,NM_001424013.1,105175
ACTN1-DT,NR_073422.1,7782
ACTN2,NM_001103.4,78133
ACTN3,NM_001258371.3,16940
ACTN4,NM_001322033.2,83941
ACTR10,XM_011536961.2,35488
ACTR1A,NM_005736.4,23484
ACTR1B,NM_005735.4,8106
ACTR2,NM_005722.4,43423
ACTR3,NM_005721.5,72508
ACTR3-AS1,NR_110174.1,59810
ACTR3B,NM_001350943.2,95627
ACTR3BP2,NR_027714.1,1338
ACTR3BP5,NR_045000.1,1646
ACTR3C,NM_001351028.2,442186
ACTR5,NM_024855.4,24061
ACTR6,NM_022496.5,23610
ACTR8,XM_005265587.6,23161
ACTRT1,NM_138289.4,1442
ACTRT2,NM_080431.5,1437
ACTRT3,NM_032487.5,2641
ACVR1,NM_001111067.4,139885
ACVR1B,NM_001412786.1,45380
ACVR1C,NM_145259.3,102098
ACVR2A,NM_001278580.2,86306
ACVR2B,NM_001106.4,39253
ACVR2B-AS1,NR_028389.1,3794
ACVRL1,NM_001406487.1,16418
ACY1,NM_001198895.2,5663
ACY3,XM_017018550.2,8176
ACYP1,NM_001302617.2,16248
ACYP2,NM_001320587.2,334188
ADA,NM_000022.4,32178
ADA2,XM_011546133.3,43059
ADAD1,XM_005262743.4,50774
ADAD2,NM_001145400.2,6010
ADAM10,NM_001110.4,160899
ADAM11,NM_001318933.2,22859
ADAM12,NM_003474.6,376087
ADAM15,NM_207191.3,11460
ADAM15-EFNA4,NR_176418.1,18238
ADAM17,XM_047445610.1,67345
ADAM18,NM_001320313.2,145498
ADAM19,NM_033274.5,98472
ADAM2,NM_001464.5,94493
ADAM20,XM_005268151.4,57095
ADAM20P1,NR_037933.1,14881
ADAM21,NM_003813.4,7732
ADAM21P1,NR_003951.1,2049
ADAM22,NM_001391981.1,268639
ADAM23,XM_005246932.4,177596
ADAM28,XM_011544367.4,64946
ADAM29,NM_001278127.1,59823
ADAM30,NM_021794.4,2983
ADAM32,NM_001313994.1,177421
ADAM33,XM_005260843.2,14036
ADAM3A,NR_073423.1,71945
ADAM3B,NR_144553.1,940
ADAM5,NR_001448.2,102747
ADAM6,NR_002224.2,2541
ADAM7,NM_003817.4,68540
ADAM7-AS1,NR_125808.1,252805
ADAM7-AS2,NR_125809.1,24557
ADAM8,NM_001109.5,14446
ADAM9,NM_003816.3,108289
ADAMDEC1,NM_014479.3,21729
ADAMTS1,NM_006988.5,9655
ADAMTS10,XM_047439481.1,30476
ADAMTS12,XM_017009905.2,368456
ADAMTS13,NR_024514.3,45050
ADAMTS14,NM_080722.4,89936
ADAMTS15,NM_139055.4,28001
ADAMTS16,NM_139056.4,179975
ADAMTS16-DT,NR_109915.1,7970
ADAMTS17,XM_017021973.3,370539
ADAMTS18,NM_001326358.2,152907
ADAMTS19,XM_047416881.1,278386
ADAMTS19-AS1,NR_125748.1,1131
ADAMTS2,NM_014244.5,234609
ADAMTS20,XM_011538754.3,199441
ADAMTS3,NM_014243.3,288253
ADAMTS4,NM_005099.6,14753
ADAMTS5,NM_007038.5,49167
ADAMTS6,NM_197941.4,333183
ADAMTS7,NM_014272.5,52259
ADAMTS7P1,NR_045529.3,41297
ADAMTS8,NM_007037.6,23687
ADAMTS9,NM_182920.2,172347
ADAMTS9-AS1,NR_110151.1,28739
ADAMTS9-AS2,NR_038264.1,326599
ADAMTSL1,XM_017015312.3,1004318
ADAMTSL2,NM_001145320.2,43356
ADAMTSL3,XM_047432887.1,385720
ADAMTSL4,XM_047422832.1,11530
ADAMTSL4-AS1,NR_104133.1,13658
ADAMTSL4-AS2,NR_187269.1,9161
ADAMTSL5,XM_011527961.2,7998
ADAP1,NM_001284308.2,57508
ADAP2,XM_024450835.2,37378
ADAR,NM_001365045.1,45941
ADARB1,NR_027673.1,151986
ADARB2,NM_018702.4,560213
ADARB2-AS1,NR_033387.2,30379
ADAT1,NM_001324451.2,26414
ADAT2,XM_011535439.3,27864
ADAT3,NM_001329533.2,8049
ADCK1,NM_001142545.2,134906
ADCK2,XM_011516675.4,22166
ADCK5,XM_017013174.2,20155
ADCY1,XM_005249584.4,148749
ADCY10,XM_011509760.4,104749
ADCY10P1,NR_026938.2,39802
ADCY2,XM_011513942.3,433944
ADCY3,XM_047443005.1,101069
ADCY4,NM_001198568.2,16713
ADCY5,NM_001378259.1,166795
ADCY6,NM_001412819.1,23781
ADCY6-DT,NR_110019.1,1389
ADCY7,XM_047433560.1,73437
ADCY8,NM_001115.3,260609
ADCY9,XM_011522353.3,163056
ADCYAP1,XM_005258081.5,7762
ADCYAP1R1,XM_005249618.6,59167
ADD1,NM_001119.5,86219
ADD2,NM_017488.4,111417
ADD3,XM_047424595.1,139193
ADD3-AS1,NR_038943.1,62823
ADGB,NM_024694.4,216491
ADGB-DT,NR_125860.1,4416
ADGRA1,NM_001083909.3,43752
ADGRA1-AS1,NR_111905.1,1454
ADGRA2,XM_011544482.3,48014
ADGRA3,NM_145290.4,128691
ADGRB1,XM_017013697.2,95359
ADGRB2,XM_017001899.2,37224
ADGRB3,NM_001704.3,754225
ADGRB3-DT,NR_125872.1,1662
ADGRD1,XM_047428719.1,187563
ADGRD1-AS1,NR_131950.1,3351
ADGRD2,NM_001395425.1,28130
ADGRE1,NM_001256254.2,52872
ADGRE2,XM_047438720.1,52757
ADGRE3,XR_001753772.2,74728
ADGRE4P,NR_174976.1,47094
ADGRE5,NM_001784.6,27280
ADGRF1,NM_153840.4,44625
ADGRF2P,NR_184445.1,41323
ADGRF3,XM_011532621.4,38615
ADGRF4,NM_001347855.2,23435
ADGRF5,XM_005248893.4,102418
ADGRF5-AS1,NR_110658.1,6559
ADGRG1,NM_001370435.1,45830
ADGRG2,XM_006724455.3,133650
ADGRG3,XM_047433780.1,23750
ADGRG4,NM_153834.4,115928
ADGRG5,XM_047433776.1,48117
ADGRG6,NM_001032395.3,144255
ADGRG7,NM_032787.3,85879
ADGRL1,XM_047438413.1,58427
ADGRL1-AS1,NR_045214.1,34113
ADGRL2,NM_001393349.1,687801
ADGRL3,NM_001387542.1,878010
ADGRL3-AS1,NR_110595.1,90011
ADGRL4,NM_022159.4,116967
ADGRV1,XM_017009967.2,605641
ADH1A,NM_000667.4,14617
ADH1B,NM_001286650.2,16431
ADH1C,NM_000669.5,16250
ADH4,NM_001306171.2,20640
ADH5,NM_000671.4,17811
ADH6,NM_000672.4,16608
ADH7,NM_000673.7,23080
ADHFE1,NM_144650.3,36404
ADI1,NM_018269.4,22166
ADIG,NM_001393817.1,7267
ADIPINT,NR_176918.1,18331
ADIPOQ,NM_004797.4,15754
ADIPOQ-AS1,NR_046662.2,9483
ADIPOR1,NM_001290629.1,17748
ADIPOR2,NM_024551.3,97605
ADIRF,NM_006829.3,2434
ADIRF-AS1,NR_170185.1,5954
ADISSP,NR_047675.2,14881
ADK,XM_017015705.2,558070
ADM,NM_001124.3,2325
ADM2,NM_001253845.2,4895
ADM5,NM_001101340.2,982
ADNP,XM_047440077.1,42520
ADNP-AS1,NR_110009.1,14151
ADNP2,XM_011525883.3,31085
ADO,NM_032804.6,3760
ADORA1,NM_001048230.2,39680
ADORA2A,NM_001278500.2,18761
ADORA2A-AS1,NR_028484.3,65869
ADORA2B,XM_047435373.1,125385
ADORA3,NM_001302678.2,4205
ADPGK,NM_001365226.1,32465
ADPGK-AS1,NR_040107.1,15365
ADPRH,NM_001291950.2,10454
ADPRHL1,NM_001394807.1,53878
ADPRM,NM_020233.5,13965
ADPRS,XM_011541636.3,5041
ADRA1A,XM_017013095.2,119230
ADRA1B,XM_011534435.2,107927
ADRA1D,NM_000678.4,28658
ADRA2A,NM_000681.4,3879
ADRA2B,NM_000682.7,3696
ADRA2C,NM_000683.4,2142
ADRB1,NM_000684.3,3039
ADRB2,NM_000024.6,2013
ADRB3,NM_000025.3,3610
ADRM1,NM_001281437.1,5967
ADSL,NM_001363840.3,41028
ADSS1,XM_006720026.4,23097
ADSS2,NM_001365073.2,43567
ADTRP,NM_001143948.2,65281
AEBP1,XM_011515162.2,10216
AEBP2,XM_017018806.2,118156
AEN,XM_047432946.1,27599
AFAP1,NM_001371091.1,181149
AFAP1-AS1,NR_026892.1,24839
AFAP1L1,NM_001323062.2,71779
AFAP1L2,XM_047425853.1,124451
AFDN,XM_047418827.1,145460
AFDN-DT,NR_027906.1,2907
AFF1,XM_047415705.1,206029
AFF1-AS1,NR_038841.1,9957
AFF2,NM_001169125.2,500047
AFF3,XM_047444279.1,597172
AFF4,XM_005271963.6,88240
AFF4-DT,NR_186175.1,879
AFG1L,XM_011535657.3,230948
AFG2A,NM_001345856.2,396356
AFG2B,NM_024063.3,19080
AFG3L1P,NR_003228.1,28208
AFG3L2,NM_006796.3,48284
AFM,NM_001133.2,22257
AFMID,NM_001392007.1,20341
AFP,NM_001354717.2,19954
AFTPH,NM_001394996.1,68678
AFTPH-DT,NR_136167.1,1967
AGA,NM_000027.4,11664
AGA-DT,NR_183779.1,252901
AGAP1,NM_014914.5,637751
AGAP1-IT1,NR_131900.1,1816
AGAP10P,NR_160521.1,20866
AGAP11,NR_171046.1,39891
AGAP12P,NR_029396.2,21509
AGAP13P,NR_165819.1,20558
AGAP14P,NR_165820.1,20604
AGAP2,XM_005268626.3,18401
AGAP2-AS1,NR_027032.1,2117
AGAP3,NM_001281300.2,58568
AGAP4,NM_001393378.1,29097
AGAP5,NM_001144000.4,23815
AGAP6,NR_171667.1,22132
AGAP7P,NR_126580.1,22184
AGAP9,NM_001190810.1,21785
AGBL1,XM_011521227.4,951857
AGBL1-AS1,NR_046012.1,20136
AGBL2,NM_024783.4,55779
AGBL3,NM_001367814.1,149271
AGBL4,XM_017002595.3,1501444
AGBL4-AS1,NR_125988.1,11884
AGBL4-IT1,NR_046839.1,97885
AGBL5,XM_011533011.4,19196
AGBL5-AS1,NR_046730.1,582
AGER,NM_001206934.2,3285
AGFG1,NM_001135189.2,89062
AGFG2,NM_006076.5,29018
AGGF1,NM_018046.5,34831
AGK,NM_018238.4,103835
AGK-DT,NR_183408.1,51205
AGL,XM_005270557.3,74766
AGMAT,NM_024758.5,13353
AGMO,XR_001744759.1,444793
AGO1,NM_001317123.2,60772
AGO2,XM_011516968.3,122158
AGO3,XM_005270575.5,141783
AGO4,XM_005270578.4,50255
AGPAT1,NM_032741.5,9897
AGPAT2,NM_006412.4,14315
AGPAT3,XM_006724031.4,122370
AGPAT4,NM_020133.3,144095
AGPAT4-IT1,NR_024277.1,1869
AGPAT5,XM_047421938.1,52862
AGPS,NM_003659.4,151062
AGR2,NM_006408.4,13189
AGR3,XM_011515152.3,27303
AGRN,XM_047419836.1,35997
AGRP,XM_047433694.1,977
AGT,NM_001382817.3,43061
AGTPBP1,XM_047423094.1,258945
AGTR1,NM_009585.4,45101
AGTR2,NM_001385624.1,4231
AGTRAP,NM_001040195.2,14634
AGXT,NM_000030.3,11677
AGXT2,NM_031900.4,49848
AHCTF1,NM_001323342.2,92851
AHCTF1P1,NR_077058.1,8836
AHCY,XM_047439962.1,71375
AHCYL1,XM_011540535.3,38978
AHCYL2,NM_001130720.3,205182
AHDC1,XM_047418019.1,69983
AHI1,XM_011535910.4,214209
AHI1-DT,NR_152842.1,218255
AHNAK,NM_024060.4,113263
AHNAK2,NM_138420.4,41122
AHR,NM_001621.5,47496
AHRR,NM_001377236.1,116572
AHSA1,NM_001321441.2,11606
AHSA2P,NR_152210.1,11508
AHSG,NM_001354572.2,8259
AHSP,NM_001318221.2,904
AICDA,NM_020661.4,10690
AIDA,NM_022831.4,44479
AIF1,NM_001318970.2,1782
AIF1L,NM_001185096.2,26614
AIFM1,NM_001130847.4,36480
AIFM2,NM_001198696.2,20555
AIFM3,NM_001018060.3,16187
AIG1,NM_001366346.1,282995
AIM2,XR_007064924.1,92082
AIMP1,NM_001142415.2,33913
AIMP2,NM_001326606.2,14563
AIP,NM_001302960.2,8078
AIPL1,NM_001285402.2,11384
AIRE,NM_000383.4,12773
AIRIM,XM_011541637.2,10673
AIRN,NR_047514.1,4374
AJAP1,NM_018836.4,137926
AJM1,NM_001080482.5,6324
AJUBA,NM_032876.6,11375
AJUBA-DT,XR_007064074.1,14107
AK1,NM_001318121.1,13142
AK2,NM_013411.5,28944
AK3,NM_001199853.2,32488
AK4,XM_017000613.2,84594
AK5,XM_005270739.6,277948
AK6,NM_001015891.2,18844
AK7,XM_017020960.2,97300
AK8,NM_001371773.1,153469
AK9,XM_011535550.3,198348
AKAIN1,NM_001330553.2,54781
AKAP1,NM_003488.4,36099
AKAP1-DT,NR_186437.1,6745
AKAP10,NM_007202.4,73527
AKAP11,XM_017020383.2,51785
AKAP12,XM_017011517.3,118593
AKAP13,NM_006738.6,368753
AKAP14,NM_001008534.2,24824
AKAP17A,NM_005088.3,10917
AKAP17BP,NR_171575.1,11133
AKAP3,NM_001278309.2,33534
AKAP4,NM_003886.3,10231
AKAP5,NM_004857.3,9005
AKAP6,NM_004274.5,508387
AKAP7,XM_017011509.2,157906
AKAP8,NM_005858.4,26403
AKAP8L,NM_014371.4,38939
AKAP9,NM_147185.3,169812
AKIP1,XM_047427261.1,8891
AKIRIN1,NM_001136275.2,14784
AKIRIN2,NM_018064.4,27374
AKNA,XM_005252244.3,64317
AKNAD1,NR_049760.2,42344
AKR1A1,NM_001202413.2,19224
AKR1B1,NM_001346142.1,16890
AKR1B10,XM_011516416.2,13846
AKR1B15,NM_001367820.1,30760
AKR1C1,NM_001353.6,19869
AKR1C2,XM_047424683.1,30226
AKR1C3,NM_001253908.2,58906
AKR1C4,NM_001818.5,22113
AKR1C6P,NR_026743.1,44607
AKR1C8,XM_047425162.1,69338
AKR1D1,XM_047420763.1,41847
AKR1E2,XR_001747220.2,48265
AKR7A2,NM_001320979.1,9439
AKR7A2P1,NR_002796.2,1324
AKR7A3,XM_011541046.4,14542
AKR7L,NR_040288.2,8141
AKT1,XM_047431074.1,26400
AKT1S1,NM_001278160.2,9318
AKT2,NM_001626.6,55029
AKT3,NM_001370074.1,355711
AKT3-IT1,NR_046761.1,1196
AKTIP,XM_005256098.6,13373
ALAD,XM_047422945.1,14973
ALAS1,NM_001304443.1,16245
ALAS2,NM_001037968.4,21923
ALB,NM_000477.7,17196
ALCAM,NM_001243280.2,209992
ALDH16A1,NM_001145396.2,17826
ALDH18A1,NM_001323414.2,50771
ALDH1A1,NM_000689.5,52383
ALDH1A2,NM_001206897.2,112283
ALDH1A2-AS1,NR_147215.1,7481
ALDH1A3,NM_001293815.2,36796
ALDH1A3-AS1,NR_135827.1,26941
ALDH1B1,NM_000692.5,5960
ALDH1L1,XM_024453325.2,94376
ALDH1L1-AS1,NR_190231.1,23856
ALDH1L1-AS2,NR_046383.1,30105
ALDH1L2,NM_001034173.4,64669
ALDH2,NM_001204889.2,50600
ALDH3A1,NM_000691.5,10310
ALDH3A2,NM_001369146.2,29461
ALDH3B1,NM_001161473.3,20730
ALDH3B2,NM_001031615.3,19098
ALDH4A1,NM_003748.4,31126
ALDH5A1,NM_001368954.1,42239
ALDH6A1,NM_001278594.2,27607
ALDH7A1,NM_001201377.2,53379
ALDH8A1,NM_022568.4,32709
ALDH9A1,NM_001365774.2,36347
ALDOA,NM_184043.2,6142
ALDOB,NM_000035.4,15215
ALDOC,XM_005257949.3,3776
ALG1,XM_017023457.3,15537
ALG10,XM_024449230.2,5926
ALG10B,XM_005268665.5,13035
ALG11,NM_001004127.3,21203
ALG12,XM_017028936.2,59128
ALG13,NM_001257230.2,79480
ALG14,NM_001305242.2,98547
ALG14-AS1,NR_132786.1,5950
ALG1L1P,NR_171196.1,61266
ALG1L2,NM_001136152.1,16560
ALG1L9P,NR_073386.1,19497
ALG2,NM_033087.4,5518
ALG3,NM_001006941.2,7197
ALG5,NM_013338.5,49603
ALG6,NM_013339.4,70927
ALG8,XM_005274247.4,38681
ALG9,XR_001747968.3,103557
ALK,NM_004304.5,728813
ALKAL1,NM_207413.4,31394
ALKAL2,NM_001002919.3,8534
ALKBH1,NM_006020.3,35620
ALKBH2,NM_001145374.2,5284
ALKBH3,NM_139178.4,39444
ALKBH3-AS1,NR_038907.1,11656
ALKBH4,NM_017621.4,8626
ALKBH5,NM_017758.4,26127
ALKBH6,NM_198867.1,5119
ALKBH7,NM_032306.4,2457
ALKBH8,NM_138775.3,63009
ALLC,XM_017004495.2,56853
ALMS1,NM_015120.4,224165
ALMS1-IT1,NR_046762.1,2380
ALMS1P1,NR_003683.2,40654
ALOX12,XM_011523780.3,14706
ALOX12-AS1,NR_040089.1,27212
ALOX12B,NM_001139.3,15081
ALOX12P2,NR_002710.2,46774
ALOX15,NM_001140.5,10760
ALOX15B,NM_001039131.2,10076
ALOX15P1,NR_045985.1,3664
ALOX5,XM_047424936.1,71902
ALOX5AP,NM_001204406.2,50942
ALOXE3,NM_001165960.1,23017
ALPG,NM_031313.3,3871
ALPI,NM_001631.5,4601
ALPK1,NM_001253884.2,145253
ALPK2,NM_052947.4,147845
ALPK3,NM_020778.5,56124
ALPL,NM_001369804.2,69427
ALPP,NM_001632.5,4139
ALS2,XM_006712654.4,80667
ALS2CL,NM_001190707.2,24685
ALX1,NM_006982.3,21565
ALX3,NM_006492.3,10803
ALX4,NM_021926.4,49700
ALYREF,NR_158770.1,3753
AMACR,NM_014324.6,21886
AMBN,NM_016519.6,15033
AMBP,NM_001633.4,18174
AMBRA1,NM_001387011.1,197610
AMD1,NM_001287215.2,81097
AMDHD1,NM_152435.3,25390
AMDHD2,XM_017023267.3,11047
AMELX,XM_017029404.3,14800
AMELY,NM_001143.2,45835
AMER1,NM_152424.4,20592
AMER2,NM_152704.4,10610
AMER3,XM_011510793.3,12595
AMFR,NM_001323512.2,64094
AMH,NM_000479.5,2751
AMHR2,XM_011538178.2,7818
AMIGO1,NM_020703.4,5550
AMIGO2,XM_047428785.1,4253
AMIGO3,NM_198722.3,2856
AMMECR1,NM_001171689.2,246048
AMMECR1L,NM_001410953.1,24327
AMN,NM_030943.4,8180
AMN1,XM_017018965.3,58038
AMOT,NM_001386999.1,65955
AMOTL1,XM_011542626.3,170289
AMOTL2,NM_001278683.1,20073
AMPD1,NM_000036.3,22449
AMPD2,NM_139156.4,12215
AMPD3,NM_001172431.2,57192
AMPH,NM_001635.4,247670
AMT,NM_000481.4,5696
AMTN,NM_001286731.2,14175
AMY1A,NM_001008221.1,9033
AMY1B,NM_001386925.1,9039
AMY1C,NM_001346780.1,9039
AMY2A,XM_047418085.1,9130
AMY2B,NM_020978.4,24891
AMZ1,XM_011515151.4,85617
AMZ2,NM_001346480.1,51036
AMZ2P1,NR_026903.1,9036
ANAPC1,XM_017004710.3,117963
ANAPC10,NM_001256708.2,103996
ANAPC11,NM_001289414.1,9744
ANAPC13,NM_001242374.1,8320
ANAPC15,NM_001393443.1,6324
ANAPC16,NM_001242548.2,19849
