gene_id,transcript_id,length
ABCC6P1,NR_003569.1,27042
ABCC6P1_1,NR_003569.1_1,22340
ABCC6P2,NR_023387.2,2276
ABCC6P2_1,NR_023387.2_1,2276
ABCC6_1,NM_001171.6_1,73999
ABCC8,NR_147094.2,84348
ABCC9,XM_005253288.5,144038
ABCD1,XM_047441916.1,19900
ABCD2,XM_017018992.3,88779
ABCD3,XM_047426556.1,133533
ABCD4,NR_148468.2,17666
ABCE1,NM_002940.3,31214
ABCF1,NM_001025091.2,20081
ABCF1-DT,XR_001756540.2,7691
ABCF1_1,NM_001025091.2_1,20077
ABCF1_2,NM_001025091.2_2,20081
ABCF1_3,NM_001025091.2_3,20081
ABCF1_4,NM_001025091.2_4,20081
ABCF1_5,NM_001025091.2_5,20077
ABCF1_6,NM_001025091.2_6,20080
ABCF2,NM_007189.3,15722
ABCF2-H2BK1,NR_160983.1,19369
ABCF3,NM_001351300.2,7807
ABCG1,NM_207627.2,97556
ABCG2,NM_001257386.2,141363
ABCG4,NM_022169.5,13602
ABCG5,XM_006712073.4,32629
ABCG8,NM_022437.3,44018
ABHD1,NM_032604.4,6998
ABHD10,NR_073570.2,14343
ABHD11,NR_169872.1,2709
ABHD12,NM_015600.5,96093
ABHD12B,NM_001206673.2,32918
ABHD13,NM_032859.3,15852
ABHD14A,NM_015407.5,6133
ABHD14A-ACY1,NM_001316331.2,14134
ABHD14B,NM_001254753.1,6121
ABHD15,NM_198147.3,6491
ABHD16A,NR_033489.2,16370
ABHD16A_1,NR_033489.2_1,16369
ABHD16A_2,NR_033489.2_2,16370
ABHD16A_3,NR_033489.2_3,16371
ABHD16A_4,NR_033489.2_4,16371
ABHD16A_5,NR_033489.2_5,16377
ABHD16A_6,NR_033489.2_6,16381
ABHD16B,NM_080622.4,1491
ABHD17A,NM_001130111.2,8687
ABHD17B,XM_047423447.1,48742
ABHD17C,NM_021214.2,60312
ABHD18,NM_001366042.3,74548
ABHD2,NM_001416423.1,161358
ABHD3,NM_001308256.2,53874
ABHD4,NR_171624.1,14664
ABHD5,XR_007095689.1,43502
ABHD6,XM_005265334.5,56943
ABHD8,NM_024527.5,11295
ABI1,NR_145410.2,114363
ABI2,NR_164713.1,103776
ABI3,XM_005257429.3,12519
ABI3BP,XM_006713572.4,244266
ABITRAM,NM_001410990.1,16345
ABL1,NM_007313.3,174633
ABL2,NM_001168238.2,130348
ABLIM1,XM_047425242.1,370264
ABLIM2,NM_001130086.2,193487
ABLIM3,NM_014945.5,119050
ABO,NM_020469.3,24801
ABO_1,NM_020469.3_1,24938
ABR,NM_001322841.2,226204
ABR-AS1,NR_187271.1,8735
ABR-AS1_1,NR_187271.1_1,8735
ABRA,NM_139166.5,10762
ABRACL,NM_021243.3,14558
ABRAXAS1,NM_001345962.2,25584
ABRAXAS2,NM_032182.4,34849
ABR_1,NM_001159746.3_1,188979
ABR_2,NM_001159746.3_2,110440
ABT1,NM_013375.4,3787
ABT1_1,NM_013375.4_1,3787
ABTB1,NR_033429.2,7975
ABTB2,NM_145804.3,207024
ABTB3,NM_001018072.2,341209
ACAA1,NR_024024.2,14413
ACAA2,NM_006111.3,31370
ACACA,XM_011524701.2,321845
ACACA_1,XM_054329294.1,325001
ACACB,XM_047428764.1,157038
ACAD10,NM_001136538.2,71047
ACAD11,NR_132428.2,101669
ACAD8,NM_014384.3,12288
ACAD9,NR_033426.2,33495
ACAD9-DT,NR_186174.1,7524
ACADL,NM_001608.4,37525
ACADM,NM_001127328.3,38971
ACADS,NM_000017.4,14183
ACADSB,NM_001609.4,49285
ACADVL,NM_001270447.2,8142
ACAN,NM_001369268.1,71918
ACAP1,XM_047437150.1,14949
ACAP1_1,XM_054332661.1,14949
ACAP2,NM_012287.6,168276
ACAP3,XM_005244715.3,15540
ACAT1,NM_001386682.1,30899
ACAT2,NM_005891.3,17068
ACBD3,NM_022735.4,42063
ACBD3-AS1,NR_146443.1,6975
ACBD4,XM_047436765.1,12580
ACBD5,XM_017016893.3,59274
ACBD6,XM_047432083.1,232925
ACBD7,NM_001039844.3,13302
ACBD7-DCLRE1CP1,NR_144471.1,73705
ACCS,XM_005253170.4,17968
ACCSL,XM_047426927.1,138910
ACD,NM_022914.3,2749
ACE,NM_000789.4,21313
ACE2,NM_001386259.1,82764
ACE2-DT,NR_126564.1,18604
ACER1,XM_011527673.3,54227
ACER2,NM_001010887.3,43497
ACER3,NM_018367.7,165880
ACER3-AS1,XR_007062792.1,80139
ACHE,NR_160407.1,7001
ACIN1,XM_047431115.1,37051
ACKR1,NM_001122951.3,1626
ACKR2,NM_001296.5,57842
ACKR3,XM_005246098.4,45233
ACKR4,NM_016557.4,5375
ACLY,XM_005257395.2,63629
ACMSD,XM_011510592.3,63419
ACO1,NM_001278352.2,70127
ACO2,NM_001098.3,59858
ACOD1,NM_001258406.2,10128
ACOT1,XM_017021590.2,52864
ACOT11,NM_015547.4,90965
ACOT12,XM_017009047.2,85526
ACOT13,NM_001160094.2,37970
ACOT2,NR_046028.1,8039
ACOT4,NM_152331.4,3894
ACOT6,NM_001365789.1,8944
ACOT7,NM_007274.4,129496
ACOT8,XM_005260239.4,15672
ACOT9,NM_001330259.2,42222
ACOX1,NM_004035.7,37660
ACOX2,NM_003500.4,32055
ACOX3,XR_007057969.1,85419
ACOXL,XM_011511404.4,385976
ACOXL-AS1,NR_122074.1,17248
ACP1,NR_024080.2,13337
ACP2,NM_001302490.2,9513
ACP3,NM_001134194.2,50896
ACP4,NM_033068.3,4805
ACP5,NM_001111036.3,4316
ACP6,XM_011509601.4,40867
ACP7,XM_017026807.3,27706
ACR,NM_001097.3,7136
ACRBP,NM_032489.3,9358
ACRV1,NM_020108.5,9326
ACR_1,NM_001097.3_1,7130
ACSBG1,NM_001199377.2,67098
ACSBG2,NM_001289180.2,57459
ACSF2,NM_001288968.2,48620
ACSF3,NM_001243279.3,62382
ACSL1,XM_017007887.2,71000
ACSL3,NM_004457.5,83604
ACSL3-AS1,XR_923949.3,2948
ACSL4,XM_047441919.1,91923
ACSL5,NM_203379.2,54261
ACSL6,NR_175945.1,62241
ACSL6-AS1,NR_183256.1,3464
ACSM1,NM_001318890.3,74446
ACSM2A,NM_001308954.2,36149
ACSM2B,NM_001410902.1,40142
ACSM3,XM_047434437.1,123177
ACSM4,NM_001080454.2,24648
ACSM5,NM_017888.3,31803
ACSM6,NM_207321.3,34692
ACSS1,XM_006723659.2,51903
ACSS2,NM_001242393.2,52971
ACSS3,XM_047429549.1,183340
ACTA1,NM_001100.4,2850
ACTA2,NM_001406467.1,56264
ACTA2-AS1,NR_125373.1,7291
ACTB,NM_001101.5,3454
ACTBL2,NM_001017992.4,2794
ACTC1,NM_005159.5,5320
ACTE1P,NR_038862.1,17609
ACTG1,NR_037688.3,2829
ACTG1P17,NR_036446.1,13901
ACTG1P20,NR_033926.1,2652
ACTG1P25,NR_002929.2,13488
ACTG1P4,NR_024438.2,1988
ACTG1_1,NR_037688.3_1,2829
ACTG2,NM_001615.4,26858
ACTL10,NM_001024675.2,1583
ACTL6A,NM_178042.4,25482
ACTL6B,NR_134539.2,13352
ACTL7A,NM_006687.4,1491
ACTL7B,NM_006686.4,1399
ACTL8,NM_030812.3,71731
ACTL9,NM_178525.5,1396
ACTMAP,NR_148550.2,9617
ACTN1,NM_001424029.1,105175
ACTN1-DT,NR_073422.1,7782
ACTN2,NR_184402.1,78133
ACTN3,NM_001258371.3,16940
ACTN4,NM_004924.6,83941
ACTN4_1,NM_004924.6_1,83941
ACTR10,XM_011536960.2,35488
ACTR1A,XM_047424427.1,23484
ACTR1B,XM_005263854.6,8106
ACTR1B_1,XM_054332905.1,8106
ACTR2,NM_001005386.3,43423
ACTR3,NM_005721.5,72508
ACTR3-AS1,NR_110174.1,59810
ACTR3B,NR_146947.2,95627
ACTR3BP2,NR_027714.1,1338
ACTR3BP5,NR_045000.1,1646
ACTR3BP5_1,NR_045000.1_1,1646
ACTR3C,NR_147012.2,442186
ACTR5,NM_024855.4,24061
ACTR6,NR_048568.2,23610
ACTR8,XM_005265587.6,23161
ACTRT1,NM_138289.4,1442
ACTRT2,NM_080431.5,1437
ACTRT3,NM_032487.5,2641
ACVR1,NM_001111067.4,139885
ACVR1B,NR_182042.1,45380
ACVR1C,NM_001111033.2,102098
ACVR2A,NM_001278579.2,86306
ACVR2B,NM_001106.4,39253
ACVR2B-AS1,NR_028389.1,3794
ACVRL1,XM_047429901.1,16418
ACY1,NM_000666.3,5663
ACY3,XM_047427868.1,8176
ACYP1,NR_126394.2,16248
ACYP2,NM_001320586.2,334188
ADA,NR_136160.2,32178
ADA2,NM_001282227.2,43059
ADAD1,NM_139243.4,50774
ADAD2,NM_139174.4,6010
ADAM10,NM_001320570.2,160899
ADAM11,XM_005257373.5,22859
ADAM12,NM_001288973.2,376087
ADAM15,NR_048578.2,11460
ADAM15-EFNA4,NR_176418.1,18238
ADAM17,NM_003183.6,67345
ADAM18,NR_135201.2,145498
ADAM18_1,NR_135201.2_1,145484
ADAM19,NM_033274.5,98472
ADAM2,XM_011544480.1,94493
ADAM20,XM_005268151.4,57095
ADAM20P1,NR_037933.1,14881
ADAM21,NM_003813.4,7732
ADAM21P1,NR_003951.1,2049
ADAM22,XM_017012330.3,268639
ADAM23,NM_001410985.1,177596
ADAM28,NR_130710.2,64946
ADAM29,NM_001278125.1,59823
ADAM2_1,XM_054328860.1,94490
ADAM30,NM_021794.4,2983
ADAM32,NM_001313994.1,177389
ADAM32_1,NM_001313994.1_1,177421
ADAM33,XR_937152.2,14036
ADAM3A,NR_001569.3,71945
ADAM3B,NR_144553.1,940
ADAM5,NR_001448.2,102747
ADAM5_1,NR_001448.2_1,47207
ADAM6,NR_002224.2,2541
ADAM6_1,NR_002224.2_1,2541
ADAM7,NM_003817.4,68540
ADAM7-AS1,NR_125808.1,252805
ADAM7-AS2,NR_125809.1,24557
ADAM8,NM_001164490.2,14446
ADAM9,NR_027638.2,108289
ADAM9_1,NR_027878.2_1,3399
ADAMDEC1,NM_014479.3,21729
ADAMTS1,NM_006988.5,9655
ADAMTS10,XM_017027338.3,30476
ADAMTS12,NM_001324512.2,368456
ADAMTS12_1,NM_030955.4_1,10870
ADAMTS13,NR_024514.3,45050
ADAMTS13_1,NR_024514.3_1,45050
ADAMTS14,NM_139155.3,89936
ADAMTS15,NM_139055.4,28001
ADAMTS16,NR_136935.2,179975
ADAMTS16-DT,NR_109915.1,7970
ADAMTS17,NM_139057.4,370539
ADAMTS18,NM_199355.4,152907
ADAMTS19,XM_047416876.1,278386
ADAMTS19-AS1,NR_125748.1,1131
ADAMTS2,NM_014244.5,234609
ADAMTS20,XM_011538754.3,199441
ADAMTS2_1,NM_014244.5_1,89940
ADAMTS3,NM_014243.3,288253
ADAMTS4,NM_005099.6,14753
ADAMTS5,XM_047440680.1,49167
ADAMTS6,NR_135689.2,333183
ADAMTS7,NM_014272.5,52259
ADAMTS7P1,NR_045529.3,41279
ADAMTS7P1_1,NR_045529.3_1,41297
ADAMTS8,XM_017017145.2,23687
ADAMTS9,XR_007095711.1,172347
ADAMTS9-AS1,NR_110150.1,28739
ADAMTS9-AS2,NR_038264.1,326599
ADAMTSL1,XM_011518064.4,1004318
ADAMTSL2,NM_001145320.2,43356
ADAMTSL3,XM_011521823.3,385720
ADAMTSL3_1,XM_054333160.1,385720
ADAMTSL4,XM_047422820.1,11530
ADAMTSL4-AS1,NR_104133.1,13658
ADAMTSL4-AS2,NR_187269.1,9161
ADAMTSL5,XM_047438758.1,7998
ADAP1,NM_001284308.2,57508
ADAP2,NR_144488.2,37378
ADAP2_1,NR_144488.2_1,37378
ADAR,NM_001365046.1,45941
ADARB1,NR_027673.1,151986
ADARB2,NM_018702.4,560213
ADARB2-AS1,NR_033387.2,30379
ADAT1,NM_001324448.2,26414
ADAT2,NM_182503.3,27864
ADAT3,NM_138422.4,8049
ADCK1,NR_158989.2,134906
ADCK2,NM_052853.4,22166
ADCK5,XM_017013174.2,20155
ADCK5_1,XM_054332186.1,19481
ADCY1,NM_021116.4,148749
ADCY10,NM_001167749.3,104749
ADCY10P1,NR_026938.2,39802
ADCY2,NM_020546.3,433944
ADCY3,XR_007068865.1,101069
ADCY4,NM_139247.4,16713
ADCY4_1,NM_139247.4_1,16713
ADCY5,NM_183357.3,166795
ADCY6,NM_001412819.1,23781
ADCY6-DT,NR_110019.1,1389
ADCY7,XM_047433551.1,73437
ADCY8,XM_017013006.2,260609
ADCY9,XM_011522353.3,163056
ADCYAP1,XM_005258081.5,7762
ADCYAP1R1,XM_006715645.4,59167
ADD1,NM_001354757.2,86219
ADD2,NM_001617.4,111417
ADD3,NM_001320591.2,139193
ADD3-AS1,NR_038943.1,62823
ADGB,NM_024694.4,216491
ADGB-DT,NR_125860.1,4416
ADGRA1,NM_001083909.3,43752
ADGRA1-AS1,NR_111905.1,1454
ADGRA2,XM_011544481.3,48014
ADGRA3,NM_145290.4,128691
ADGRB1,XM_017013695.2,95359
ADGRB2,XM_011541858.3,37224
ADGRB3,NM_001704.3,754225
ADGRB3-DT,NR_125872.1,1662
ADGRD1,NM_001330497.2,187563
ADGRD1-AS1,NR_131951.1,3351
ADGRD2,NM_001395425.1,28130
ADGRE1,XM_011527794.2,52872
ADGRE2,XM_047438720.1,52757
ADGRE3,XR_001753772.2,74728
ADGRE4P,NR_024075.2,47094
ADGRE5,NM_078481.4,27280
ADGRF1,NM_153840.4,44625
ADGRF2P,NR_184444.1,41323
ADGRF3,NR_135916.2,38615
ADGRF4,NM_153838.5,23435
ADGRF5,XM_047418326.1,102418
ADGRF5-AS1,NR_110658.1,6559
ADGRG1,NM_001370440.1,45830
ADGRG2,XM_006724455.3,133650
ADGRG3,XM_047433780.1,23750
ADGRG4,NM_153834.4,115928
ADGRG5,XM_047433776.1,48117
ADGRG6,XM_005267061.4,144255
ADGRG7,NM_032787.3,85879
ADGRL1,XM_047438418.1,58427
ADGRL1-AS1,NR_045214.1,34113
ADGRL1-AS1_1,NR_045214.1_1,34113
ADGRL1_1,XM_054332684.1,58427
ADGRL2,XM_047416152.1,687801
ADGRL3,NM_001387552.1,878010
ADGRL3-AS1,NR_110595.1,90011
ADGRL4,NM_022159.4,116967
ADGRV1,NR_003149.2,605641
ADH1A,NM_000667.4,14617
ADH1B,NM_000668.6,16431
ADH1C,NR_133005.2,16250
ADH4,NM_000670.5,20640
ADH5,NM_000671.4,17811
ADH6,NR_132990.2,16608
ADH7,NM_000673.7,23080
ADHFE1,NM_144650.3,36404
ADI1,NM_018269.4,22166
ADI1_1,NM_001306077.2_1,12758
ADIG,NR_172017.1,7267
ADIPINT,NR_176918.1,18331
ADIPOQ,NM_001177800.2,15754
ADIPOQ-AS1,NR_046662.2,9483
ADIPOR1,NM_001290629.1,17748
ADIPOR2,XM_011521024.2,97605
ADIPOR2_1,XM_054332319.1,97605
ADIRF,NM_006829.3,2434
ADIRF-AS1,NR_170178.1,5954
ADISSP,NR_047675.2,14881
ADK,NM_006721.4,558070
ADM,NM_001124.3,2325
ADM2,NM_001369882.1,4895
ADM5,NM_001101340.2,982
ADNP,XM_047440078.1,42520
ADNP-AS1,NR_110008.1,14151
ADNP2,NM_014913.4,31085
ADO,NM_032804.6,3760
ADORA1,NM_000674.3,39680
ADORA2A,NM_001278500.2,18761
ADORA2A-AS1,NR_028484.3,65869
ADORA2B,XM_047435373.1,125385
ADORA3,NM_001302679.2,4205
ADPGK,NM_001365224.1,32465
ADPGK-AS1,NR_040107.1,15365
ADPRH,NM_001391992.1,10454
ADPRHL1,NM_001394807.1,53878
ADPRM,NM_020233.5,13965
ADPRS,NM_017825.3,5041
ADRA1A,XM_017013094.2,119230
ADRA1B,XM_047416776.1,107927
ADRA1D,NM_000678.4,28658
ADRA2A,NM_000681.4,3879
ADRA2B,NM_000682.7,3696
ADRA2C,NM_000683.4,2142
ADRB1,NM_000684.3,3039
ADRB2,NM_000024.6,2013
ADRB3,NM_000025.3,3610
ADRM1,XM_011528503.2,5967
ADSL,NM_001363840.3,41028
ADSS1,XM_006720026.4,23097
ADSS2,XM_047447585.1,43567
ADTRP,NM_032744.4,65281
AEBP1,NM_001129.5,10216
AEBP2,XM_047428299.1,118156
AEN,XM_047432947.1,27599
AFAP1,NM_001371091.1,181149
AFAP1-AS1,NR_026892.1,24839
AFAP1L1,XM_047416723.1,71779
AFAP1L2,XM_047425858.1,124451
AFDN,XM_047418788.1,145460
AFDN-DT,NR_027906.1,2907
AFF1,XM_005263007.4,206029
AFF1-AS1,NR_038841.1,9957
AFF2,NM_002025.4,500047
AFF3,NM_002285.3,597172
AFF4,XM_006714587.5,88240
AFF4-DT,NR_186175.1,879
AFG1L,NR_136553.2,230948
AFG2A,XM_017007825.2,396356
AFG2B,NR_136645.2,19080
AFG3L1P,NR_003228.1,28208
AFG3L2,XM_011525601.4,48284
AFM,NM_001133.2,22257
AFMID,NM_001392003.1,20341
AFP,NM_001134.3,19954
AFTPH,NR_164746.1,68678
AFTPH-DT,NR_136167.1,1967
AGA,NR_033655.2,11664
AGA-DT,NR_183777.1,252901
AGAP1,NM_001037131.3,637751
AGAP1-IT1,NR_131900.1,1816
AGAP10P,NR_160521.1,20866
AGAP11,NR_171046.1,39891
AGAP12P,NR_029396.2,21509
AGAP12P_1,NR_029396.2_1,21509
AGAP13P,NR_165819.1,20558
AGAP14P,NR_165820.1,20604
AGAP2,NM_014770.4,18401
AGAP2-AS1,NR_027032.1,2117
AGAP3,NM_001350104.2,58568
AGAP4,NR_171664.1,29097
AGAP5,NM_001144000.4,23815
AGAP6,NR_171667.1,22132
AGAP7P,NR_126580.1,22184
AGAP9,NM_001190810.1,21785
AGBL1,XM_011521227.4,951857
AGBL1-AS1,NR_046012.1,20136
AGBL2,NM_024783.4,55779
AGBL2_1,NM_024783.4_1,55779
AGBL3,NR_144293.1,149271
AGBL4,XM_017002595.3,1501444
AGBL4-AS1,NR_125988.1,11884
AGBL4-IT1,NR_046839.1,97885
AGBL5,NR_138023.2,19196
AGBL5-AS1,NR_046730.1,582
AGER,NR_038190.2,3285
AGER_1,NR_038190.2_1,3285
AGER_2,NR_038190.2_2,3285
AGER_3,NR_038190.2_3,3285
AGER_4,NR_038190.2_4,3285
AGER_5,NR_038190.2_5,3285
AGER_6,NR_038190.2_6,3285
AGFG1,NM_001135187.2,89062
AGFG2,XM_005250306.3,29018
AGGF1,NM_018046.5,34831
AGK,XM_024446835.2,103835
AGK-DT,NR_183408.1,51205
AGK_1,NM_018238.4_1,21361
AGL,XM_005270557.3,74766
AGMAT,NM_024758.5,13353
AGMO,XR_001744759.1,444793
AGO1,NM_001317123.2,60772
AGO2,XM_011516968.3,122158
AGO3,XM_017000523.3,141783
AGO4,NR_146062.2,50255
AGPAT1,NM_032741.5,9897
AGPAT1_1,NM_032741.5_1,9897
AGPAT1_2,NM_032741.5_2,9897
AGPAT1_3,NM_032741.5_3,9897
AGPAT1_4,NM_032741.5_4,9897
AGPAT1_5,NM_032741.5_5,9897
AGPAT1_6,NM_032741.5_6,9897
AGPAT2,NM_001012727.2,14315
AGPAT3,XM_047440922.1,122370
AGPAT4,NM_020133.3,144095
AGPAT4-IT1,NR_024277.1,1869
AGPAT5,XM_047421939.1,52862
AGPAT5_1,XM_054332249.1,52862
AGPS,NM_003659.4,151062
AGR2,XM_005249581.5,13189
AGR3,XM_011515152.3,27303
AGRN,NM_001305275.2,35997
AGRP,NM_001138.2,977
AGT,NM_001382817.3,43061
AGTPBP1,XM_047423094.1,258945
AGTR1,NM_001382737.1,45101
AGTR2,NM_000686.5,4231
AGTRAP,XM_011541802.3,14634
AGXT,NM_000030.3,11677
AGXT2,XM_047417534.1,49848
AHCTF1,NR_136586.2,92851
AHCTF1P1,NR_077058.1,8836
AHCY,XM_047439962.1,71375
AHCYL1,NM_001242673.2,38978
AHCYL2,NR_171671.1,205182
AHDC1,XM_047418019.1,69983
AHI1,XM_047418943.1,214209
AHI1-DT,NR_152842.1,218255
AHNAK,NM_024060.4,113263
AHNAK2,NM_138420.4,41122
AHR,NM_001621.5,47496
AHRR,NM_001377236.1,116572
AHSA1,NM_001321441.2,11606
AHSA2P,NR_152210.1,11508
AHSG,NM_001354571.2,8259
AHSP,NM_016633.4,904
AICDA,NM_001410970.1,10690
AIDA,NM_022831.4,44479
AIF1,NM_001623.5,1782
AIF1L,NR_033701.2,26614
AIF1_1,NM_001623.5_1,1782
AIF1_2,NM_001623.5_2,1782
AIF1_3,NM_001623.5_3,1782
AIF1_4,NM_001623.5_4,1782
AIF1_5,NM_001623.5_5,1782
AIFM1,NR_132647.2,36480
AIFM2,NM_032797.6,20555
AIFM3,NM_144704.3,16187
AIG1,NM_001366346.1,282995
AIM2,XR_007064924.1,92082
AIMP1,NM_001142415.2,33913
AIMP2,NM_001326609.2,14563
AIP,NM_003977.4,8078
AIPL1,NM_001033055.3,11384
AIRE,NM_000383.4,12773
AIRIM,NM_001350768.2,10673
AIRN,NR_047511.1,4374
AJAP1,XM_011541786.3,137926
AJM1,NM_001080482.5,6324
AJUBA,NM_032876.6,11375
AJUBA-DT,XR_007064074.1,14107
AK1,NM_001318121.1,13142
AK2,NM_013411.5,28944
AK3,NM_001199853.2,32488
AK4,NM_203464.3,84594
AK5,NM_174858.3,277948
AK6,NM_001015891.2,18841
AK6_1,NM_001015891.2_1,18843
AK6_2,NM_001015891.2_2,18844
AK7,XM_006720021.3,97300
AK8,NM_001371771.1,153469
AK9,XM_047418304.1,198348
AKAIN1,NM_001330553.2,54781
AKAP1,NM_003488.4,36099
AKAP1-DT,NR_186437.1,6745
AKAP10,NM_001330152.2,73527
AKAP11,XM_011534904.2,51785
AKAP12,NM_005100.4,118593
AKAP13,NM_007200.5,368753
AKAP14,NM_178813.6,24824
AKAP17A,NR_027383.2,10917
AKAP17A_1,NR_027383.2_1,10917
AKAP17BP,NR_171575.1,11133
AKAP3,NM_006422.4,33534
AKAP4,NM_003886.3,10231
AKAP5,NM_004857.3,9005
AKAP6,XM_047431969.1,508387
AKAP7,XM_017011509.2,157906
AKAP8,NM_005858.4,26403
AKAP8L,NR_111971.2,38939
AKAP9,NM_005751.5,169812
AKIP1,NR_045417.2,8891
AKIRIN1,NM_024595.3,14784
AKIRIN2,NM_018064.4,27374
AKNA,XM_006717294.2,64317
AKNAD1,NR_049760.2,42344
AKR1A1,NM_006066.4,19224
AKR1B1,NM_001346142.1,16890
AKR1B10,NM_020299.5,13846
AKR1B15,NM_001080538.3,30760
AKR1C1,NM_001353.6,19869
AKR1C2,NM_205845.3,30226
AKR1C3,NM_001253908.2,58906
AKR1C4,NM_001818.5,22113
AKR1C6P,NR_026743.1,44607
AKR1C8,XM_047425162.1,69338
AKR1D1,NM_005989.4,41847
AKR1E2,XR_001747220.2,48265
AKR7A2,NM_001320979.1,9439
AKR7A2P1,NR_002796.2,1324
AKR7A2P1_1,NR_002796.2_1,1324
AKR7A3,XM_011541046.4,14542
AKR7L,NR_040289.2,8141
AKT1,NM_001014431.2,26400
AKT1S1,NM_001278160.2,9318
AKT2,NM_001243028.3,55029
AKT3,NM_181690.2,355050
AKT3-IT1,NR_046761.1,1196
AKT3-IT1_1,NR_046761.1_1,1196
AKT3_1,NM_001370074.1_1,355711
AKTIP,XM_017023566.2,13373
ALAD,XM_047422947.1,14973
ALAS1,NM_001304444.1,16245
ALAS2,NM_001037967.4,21923
ALB,NM_000477.7,17196
ALCAM,NM_001627.4,209992
ALDH16A1,XM_047438163.1,17826
ALDH18A1,NM_001323419.2,50771
ALDH1A1,NM_000689.5,52383
ALDH1A2,NM_170696.3,112283
ALDH1A2-AS1,NR_147215.1,7481
ALDH1A3,NM_000693.4,36796
ALDH1A3-AS1,NR_135827.1,26941
ALDH1B1,XM_011517802.3,5960
ALDH1L1,XM_024453325.2,94376
ALDH1L1-AS1,NR_190231.1,23856
ALDH1L1-AS2,NR_046383.1,30105
ALDH1L2,NR_027752.2,64669
ALDH2,NM_000690.4,50600
ALDH3A1,NM_001330150.2,10310
ALDH3A2,NM_001369148.2,29461
ALDH3B1,NM_001161473.3,20730
ALDH3B2,NM_001393401.1,19098
ALDH4A1,NM_001319218.2,31126
ALDH5A1,NM_170740.1,42239
ALDH6A1,NM_001278593.2,27607
ALDH7A1,NM_001202404.2,53379
ALDH8A1,NM_001193480.2,32709
ALDH9A1,NM_000696.4,36347
ALDOA,NM_184043.2,6142
ALDOB,NM_000035.4,15215
ALDOC,NM_005165.3,3776
ALG1,NM_019109.5,15537
ALG10,XM_024449230.2,5926
ALG10B,XM_005268665.5,13035
ALG11,NR_036571.3,21203
ALG12,XM_017028936.2,59128
ALG13,NR_148693.2,79480
ALG14,NR_131032.2,98547
ALG14-AS1,NR_132786.1,5950
ALG1L1P,NR_171197.1,61266
ALG1L2,NM_001136152.1,16560
