gene_id,transcript_id,length,start,end,chromosome
ABCC6P1_1,NR_003569.1_1,22340,962188,984527,NT_187607.1
ABCC6P2,NR_023387.2,2276,14822427,14824702,NC_000016.10
ABCC6P2_1,NR_023387.2_1,2276,962183,964458,NT_187607.1
ABCC6_1,NM_001171.6_1,73999,1807491,1881489,NT_187607.1
ABCC8,NR_147094.2,84348,17392498,17476845,NC_000011.10
ABCC9,XM_005253288.5,144038,21797389,21941426,NC_000012.12
ABCD1,XM_047441916.1,19900,153724856,153744755,NC_000023.11
ABCD2,XM_017018992.3,88779,39531025,39619803,NC_000012.12
ABCD3,XM_047426556.1,133533,94385131,94518663,NC_000001.11
ABCD4,NR_148468.2,17666,74285269,74302934,NC_000014.9
ABCE1,NM_002940.3,31214,145098311,145129524,NC_000004.12
ABCF1,NM_001025091.2,20081,30571442,30591522,NC_000006.12
ABCF1-DT,XR_001756540.2,7691,2043333,2051023,NT_113891.3
ABCF1_1,NM_001025091.2_1,20077,2051164,2071240,NT_113891.3
ABCF1_2,NM_001025091.2_2,20081,1827269,1847349,NT_167245.2
ABCF1_3,NM_001025091.2_3,20081,1881671,1901751,NT_167246.2
ABCF1_4,NM_001025091.2_4,20081,1915488,1935568,NT_167247.2
ABCF1_5,NM_001025091.2_5,20077,1826529,1846605,NT_167248.2
ABCF1_6,NM_001025091.2_6,20080,1872199,1892278,NT_167249.2
ABCF2,NM_007189.3,15722,151211484,151227205,NC_000007.14
ABCF2-H2BK1,NR_160983.1,19369,151207837,151227205,NC_000007.14
ABCF3,NM_001351300.2,7807,184186199,184194005,NC_000003.12
ABCG1,NM_207627.2,97556,42199689,42297244,NC_000021.9
ABCG2,NM_001257386.2,141363,88090264,88231626,NC_000004.12
ABCG4,NM_022169.5,13602,119149052,119162653,NC_000011.10
ABCG5,XM_006712073.4,32629,43806211,43838839,NC_000002.12
ABCG8,NM_022437.3,44018,43838971,43882988,NC_000002.12
ABHD1,NM_032604.4,6998,27123815,27130812,NC_000002.12
ABHD10,NR_073570.2,14343,111979026,111993368,NC_000003.12
ABHD11,NR_169872.1,2709,73736094,73738802,NC_000007.14
ABHD12,NM_015600.5,96093,25294743,25390835,NC_000020.11
ABHD12B,NM_001206673.2,32918,50872053,50904970,NC_000014.9
ABHD13,NM_032859.3,15852,108218392,108234243,NC_000013.11
ABHD14A,NM_015407.5,6133,51975064,51981196,NC_000003.12
ABHD14A-ACY1,NM_001316331.2,14134,51975064,51989197,NC_000003.12
ABHD14B,NM_001254753.1,6121,51968510,51974630,NC_000003.12
ABHD15,NM_198147.3,6491,29560547,29567037,NC_000017.11
ABHD16A,NR_033489.2,16370,31686955,31703324,NC_000006.12
ABHD16A_1,NR_033489.2_1,16369,3164245,3180613,NT_113891.3
ABHD16A_2,NR_033489.2_2,16370,2934719,2951088,NT_167245.2
ABHD16A_3,NR_033489.2_3,16371,2992002,3008372,NT_167246.2
ABHD16A_4,NR_033489.2_4,16371,3028827,3045197,NT_167247.2
ABHD16A_5,NR_033489.2_5,16377,2942780,2959156,NT_167248.2
ABHD16A_6,NR_033489.2_6,16381,2986241,3002621,NT_167249.2
ABHD16B,NM_080622.4,1491,63861498,63862988,NC_000020.11
ABHD17A,NM_001130111.2,8687,1876810,1885496,NC_000019.10
ABHD17B,XM_047423447.1,48742,71862452,71911193,NC_000009.12
ABHD17C,NM_021214.2,60312,80695310,80755621,NC_000015.10
ABHD18,NM_001366042.3,74548,127965406,128039953,NC_000004.12
ABHD2,NM_001416423.1,161358,89040998,89202355,NC_000015.10
ABHD3,NM_001308256.2,53874,21650901,21704774,NC_000018.10
ABHD4,NR_171624.1,14664,22598300,22612963,NC_000014.9
ABHD5,XR_007095689.1,43502,43690870,43734371,NC_000003.12
ABHD6,XM_005265334.5,56943,58237792,58294734,NC_000003.12
ABHD8,NM_024527.5,11295,17292131,17303425,NC_000019.10
ABI1,NR_145410.2,114363,26746596,26860958,NC_000010.11
ABI2,NR_164713.1,103776,203328394,203432169,NC_000002.12
ABI3,XM_005257429.3,12519,49210707,49223225,NC_000017.11
ABI3BP,XM_006713572.4,244266,100749156,100993421,NC_000003.12
ABITRAM,NM_001410990.1,16345,108934400,108950744,NC_000009.12
ABL1,NM_007313.3,174633,130713043,130887675,NC_000009.12
ABL2,NM_001168238.2,130348,179099330,179229677,NC_000001.11
ABLIM1,XM_047425242.1,370264,114431110,114801373,NC_000010.11
ABLIM2,NM_001130086.2,193487,7965327,8158813,NC_000004.12
ABLIM3,NM_014945.5,119050,149141493,149260542,NC_000005.10
ABO,NM_020469.3,24801,133250401,133275201,NC_000009.12
ABO_1,NM_020469.3_1,24938,76358,101295,NW_009646201.1
ABR,NM_001322841.2,226204,1003519,1229722,NC_000017.11
ABR-AS1,NR_187271.1,8735,1181627,1190361,NC_000017.11
ABR-AS1_1,NR_187271.1_1,8735,226099,234833,NT_187613.1
ABRA,NM_139166.5,10762,106759483,106770244,NC_000008.11
ABRACL,NM_021243.3,14558,139028745,139043302,NC_000006.12
ABRAXAS1,NM_001345962.2,25584,83459517,83485100,NC_000004.12
ABRAXAS2,NM_032182.4,34849,124801819,124836667,NC_000010.11
ABR_1,NM_001159746.3_1,188979,42766,231744,NT_187613.1
ABR_2,NM_001159746.3_2,110440,42766,153205,NT_187664.1
ABT1,NM_013375.4,3787,26596953,26600739,NC_000006.12
ABT1_1,NM_013375.4_1,3787,143151,146937,NW_025791780.1
ABTB1,NR_033429.2,7975,127672952,127680926,NC_000003.12
ABTB2,NM_145804.3,207024,34150987,34358010,NC_000011.10
ABTB3,NM_001018072.2,341209,107318434,107659642,NC_000012.12
ACAA1,NR_024024.2,14413,38122715,38137127,NC_000003.12
ACAA2,NM_006111.3,31370,49782164,49813533,NC_000018.10
ACACA,XM_011524701.2,321845,37084992,37406836,NC_000017.11
ACACA_1,XM_054329294.1,325001,1320992,1645992,NT_187614.1
ACACB,XM_047428764.1,157038,109111189,109268226,NC_000012.12
ACAD10,NM_001136538.2,71047,111686053,111757099,NC_000012.12
ACAD11,NR_132428.2,101669,132558141,132659809,NC_000003.12
ACAD8,NM_014384.3,12288,134253568,134265855,NC_000011.10
ACAD9,NR_033426.2,33495,128879620,128913114,NC_000003.12
ACAD9-DT,NR_186174.1,7524,128871913,128879436,NC_000003.12
ACADL,NM_001608.4,37525,210187923,210225447,NC_000002.12
ACADM,NM_001127328.3,38971,75724709,75763679,NC_000001.11
ACADS,NM_000017.4,14183,120725826,120740008,NC_000012.12
ACADSB,NM_001609.4,49285,123009006,123058290,NC_000010.11
ACADVL,NM_001270447.2,8142,7217125,7225266,NC_000017.11
ACAN,NM_001369268.1,71918,88803436,88875353,NC_000015.10
ACAP1,XM_047437150.1,14949,7336529,7351477,NC_000017.11
ACAP1_1,XM_054332661.1,14949,94894,109842,NW_021160020.1
ACAP2,NM_012287.6,168276,195274745,195443020,NC_000003.12
ACAP3,XM_005244715.3,15540,1292391,1307930,NC_000001.11
ACAT1,NM_001386682.1,30899,108116705,108147603,NC_000011.10
ACAT2,NM_005891.3,17068,159762045,159779112,NC_000006.12
ACBD3,NM_022735.4,42063,226144679,226186741,NC_000001.11
ACBD3-AS1,NR_146443.1,6975,226148003,226154977,NC_000001.11
ACBD4,XM_047436765.1,12580,45131597,45144176,NC_000017.11
ACBD5,XM_017016893.3,59274,27182838,27242111,NC_000010.11
ACBD6,XM_047432083.1,232925,180269653,180502577,NC_000001.11
ACBD7,NM_001039844.3,13302,15075475,15088776,NC_000010.11
ACBD7-DCLRE1CP1,NR_144471.1,73705,15015072,15088776,NC_000010.11
ACCS,XM_005253170.4,17968,44066270,44084237,NC_000011.10
ACCSL,XM_047426927.1,138910,43921068,44059977,NC_000011.10
ACD,NM_022914.3,2749,67657512,67660260,NC_000016.10
ACE,NM_000789.4,21313,63477061,63498373,NC_000017.11
ACE2,NM_001386259.1,82764,15518197,15600960,NC_000023.11
ACE2-DT,NR_126564.1,18604,15602881,15621484,NC_000023.11
ACER1,XM_011527673.3,54227,6306142,6360368,NC_000019.10
ACER2,NM_001010887.3,43497,19409009,19452505,NC_000009.12
ACER3,NM_018367.7,165880,76860918,77026797,NC_000011.10
ACER3-AS1,XR_007062792.1,80139,76955546,77035684,NC_000011.10
ACHE,NR_160407.1,7001,100889994,100896994,NC_000007.14
ACIN1,XM_047431115.1,37051,23058564,23095614,NC_000014.9
ACKR1,NM_001122951.3,1626,159204875,159206500,NC_000001.11
ACKR2,NM_001296.5,57842,42809445,42867286,NC_000003.12
ACKR3,XM_005246098.4,45233,236537122,236582354,NC_000002.12
ACKR4,NM_016557.4,5375,132597270,132602644,NC_000003.12
ACLY,XM_005257395.2,63629,41866917,41930545,NC_000017.11
ACMSD,XM_011510592.3,63419,134838616,134902034,NC_000002.12
ACO1,NM_001278352.2,70127,32384643,32454769,NC_000009.12
ACO2,NM_001098.3,59858,41469117,41528974,NC_000022.11
ACOD1,NM_001258406.2,10128,76948511,76958638,NC_000013.11
ACOT1,XM_017021590.2,52864,73490933,73543796,NC_000014.9
ACOT11,NM_015547.4,90965,54548228,54639192,NC_000001.11
ACOT12,XM_017009047.2,85526,81308609,81394134,NC_000005.10
ACOT13,NM_001160094.2,37970,24667077,24705046,NC_000006.12
ACOT2,NR_046028.1,8039,73567620,73575658,NC_000014.9
ACOT4,NM_152331.4,3894,73591873,73595766,NC_000014.9
ACOT6,NM_001365789.1,8944,73610945,73619888,NC_000014.9
ACOT7,NM_007274.4,129496,6264272,6393767,NC_000001.11
ACOT8,XM_005260239.4,15672,45841721,45857392,NC_000020.11
ACOT9,NM_001330259.2,42222,23701055,23743276,NC_000023.11
ACOX1,NM_004035.7,37660,75941507,75979166,NC_000017.11
ACOX2,NM_003500.4,32055,58505136,58537190,NC_000003.12
ACOX3,XR_007057969.1,85419,8355305,8440723,NC_000004.12
ACOXL,XM_011511404.4,385976,110732573,111118548,NC_000002.12
ACOXL-AS1,NR_122074.1,17248,111098341,111115588,NC_000002.12
ACP1,NR_024080.2,13337,264947,278283,NC_000002.12
ACP2,NM_001302490.2,9513,47239302,47248814,NC_000011.10
ACP3,NM_001134194.2,50896,132317407,132368302,NC_000003.12
ACP4,NM_033068.3,4805,50790415,50795219,NC_000019.10
ACP5,NM_001111036.3,4316,11574660,11578975,NC_000019.10
ACP6,XM_011509601.4,40867,147629658,147670524,NC_000001.11
ACP7,XM_017026807.3,27706,39083788,39111493,NC_000019.10
ACR,NM_001097.3,7136,50738204,50745339,NC_000022.11
ACRBP,NM_032489.3,9358,6638075,6647432,NC_000012.12
ACRV1,NM_020108.5,9326,125671522,125680847,NC_000011.10
ACR_1,NM_001097.3_1,7130,74324,81453,NW_015148969.2
ACSBG1,NM_001199377.2,67098,78167468,78234565,NC_000015.10
ACSBG2,NM_001289180.2,57459,6135633,6193091,NC_000019.10
ACSF2,NM_001288968.2,48620,50426218,50474837,NC_000017.11
ACSF3,NM_001243279.3,62382,89093852,89156233,NC_000016.10
ACSL1,XM_017007887.2,71000,184755595,184826594,NC_000004.12
ACSL3,NM_004457.5,83604,222861036,222944639,NC_000002.12
ACSL3-AS1,XR_923949.3,2948,222916654,222919601,NC_000002.12
ACSL4,XM_047441919.1,91923,109641335,109733257,NC_000023.11
ACSL5,NM_203379.2,54261,112374116,112428376,NC_000010.11
ACSL6,NR_175945.1,62241,131949973,132012213,NC_000005.10
ACSL6-AS1,NR_183256.1,3464,132003573,132007036,NC_000005.10
ACSM1,NM_001318890.3,74446,20623235,20697680,NC_000016.10
ACSM2A,NM_001308954.2,36149,20451521,20487669,NC_000016.10
ACSM2B,NM_001410902.1,40142,20536226,20576367,NC_000016.10
ACSM3,XM_047434437.1,123177,20674405,20797581,NC_000016.10
ACSM4,NM_001080454.2,24648,7304072,7328719,NC_000012.12
ACSM5,NM_017888.3,31803,20409534,20441336,NC_000016.10
ACSM6,NM_207321.3,34692,95194238,95228929,NC_000010.11
ACSS1,XM_006723659.2,51903,25006237,25058139,NC_000020.11
ACSS2,NM_001242393.2,52971,34874989,34927959,NC_000020.11
ACSS3,XM_047429549.1,183340,81077871,81261210,NC_000012.12
ACTA1,NM_001100.4,2850,229431245,229434094,NC_000001.11
ACTA2,NM_001406467.1,56264,88935074,88991337,NC_000010.11
ACTA2-AS1,NR_125373.1,7291,88932684,88939974,NC_000010.11
ACTB,NM_001101.5,3454,5527148,5530601,NC_000007.14
ACTBL2,NM_001017992.4,2794,57480018,57482811,NC_000005.10
ACTC1,NM_005159.5,5320,34790230,34795549,NC_000015.10
ACTE1P,NR_038862.1,17609,71405746,71423354,NC_000011.10
ACTG1,NR_037688.3,2829,81509971,81512799,NC_000017.11
ACTG1P17,NR_036446.1,13901,82725880,82739780,NC_000015.10
ACTG1P20,NR_033926.1,2652,27323874,27326525,NC_000001.11
ACTG1P25,NR_002929.2,13488,202861754,202875241,NC_000001.11
ACTG1P4,NR_024438.2,1988,103569404,103571391,NC_000001.11
ACTG1_1,NR_037688.3_1,2829,166176,169004,NW_025791805.1
ACTG2,NM_001615.4,26858,73893008,73919865,NC_000002.12
ACTL10,NM_001024675.2,1583,33666943,33668525,NC_000020.11
ACTL6A,NM_178042.4,25482,179562926,179588407,NC_000003.12
ACTL6B,NR_134539.2,13352,100643097,100656448,NC_000007.14
ACTL7A,NM_006687.4,1491,108862266,108863756,NC_000009.12
ACTL7B,NM_006686.4,1399,108854588,108855986,NC_000009.12
ACTL8,NM_030812.3,71731,17755333,17827063,NC_000001.11
ACTL9,NM_178525.5,1396,8697400,8698795,NC_000019.10
ACTMAP,NR_148550.2,9617,40740861,40750477,NC_000019.10
ACTN1,NM_001424029.1,105175,68874128,68979302,NC_000014.9
ACTN1-DT,NR_073422.1,7782,68979682,68987463,NC_000014.9
ACTN2,NR_184402.1,78133,236686499,236764631,NC_000001.11
ACTN3,NM_001258371.3,16940,66546395,66563334,NC_000011.10
ACTN4,NM_004924.6,83941,38647649,38731589,NC_000019.10
ACTN4_1,NM_004924.6_1,83941,57285,141225,NW_014040929.1
ACTR10,XM_011536960.2,35488,58200149,58235636,NC_000014.9
ACTR1A,XM_047424427.1,23484,102479229,102502712,NC_000010.11
ACTR1B,XM_005263854.6,8106,97655939,97664044,NC_000002.12
ACTR1B_1,XM_054332905.1,8106,581970,590075,NW_025791765.1
ACTR2,NM_001005386.3,43423,65227831,65271253,NC_000002.12
ACTR3,NM_005721.5,72508,113890089,113962596,NC_000002.12
ACTR3-AS1,NR_110174.1,59810,113831183,113890992,NC_000002.12
ACTR3B,NR_146947.2,95627,152759752,152855378,NC_000007.14
ACTR3BP2,NR_027714.1,1338,91941133,91942470,NC_000002.12
ACTR3BP5,NR_045000.1,1646,38696596,38698241,NC_000010.11
ACTR3BP5_1,NR_045000.1_1,1646,369663,371308,NW_021160000.1
ACTR3C,NR_147012.2,442186,149881360,150323545,NC_000007.14
ACTR5,NM_024855.4,24061,38748460,38772520,NC_000020.11
ACTR6,NR_048568.2,23610,100200815,100224424,NC_000012.12
ACTR8,XM_005265587.6,23161,53858992,53882152,NC_000003.12
ACTRT1,NM_138289.4,1442,128050962,128052403,NC_000023.11
ACTRT2,NM_080431.5,1437,3021467,3022903,NC_000001.11
ACTRT3,NM_032487.5,2641,169766921,169769561,NC_000003.12
ACVR1,NM_001111067.4,139885,157736446,157876330,NC_000002.12
ACVR1B,NR_182042.1,45380,51951699,51997078,NC_000012.12
ACVR1C,NM_001111033.2,102098,157526767,157628864,NC_000002.12
ACVR2A,NM_001278579.2,86306,147844517,147930822,NC_000002.12
ACVR2B,NM_001106.4,39253,38453890,38493142,NC_000003.12
ACVR2B-AS1,NR_028389.1,3794,38451027,38454820,NC_000003.12
ACVRL1,XM_047429901.1,16418,51906944,51923361,NC_000012.12
ACY1,NM_000666.3,5663,51983535,51989197,NC_000003.12
ACY3,XM_047427868.1,8176,67642555,67650730,NC_000011.10
ACYP1,NR_126394.2,16248,75053243,75069490,NC_000014.9
ACYP2,NM_001320586.2,334188,53971113,54305300,NC_000002.12
ADA,NR_136160.2,32178,44619522,44651699,NC_000020.11
ADA2,NM_001282227.2,43059,17178790,17221848,NC_000022.11
ADAD1,NM_139243.4,50774,122379011,122429784,NC_000004.12
ADAD2,NM_139174.4,6010,84191157,84197166,NC_000016.10
ADAM10,NM_001320570.2,160899,58588809,58749707,NC_000015.10
ADAM11,XM_005257373.5,22859,44758988,44781846,NC_000017.11
ADAM12,NM_001288973.2,376087,126012391,126388477,NC_000010.11
ADAM15,NR_048578.2,11460,155051316,155062775,NC_000001.11
ADAM15-EFNA4,NR_176418.1,18238,155051316,155069553,NC_000001.11
ADAM17,NM_003183.6,67345,9488486,9555830,NC_000002.12
ADAM18,NR_135201.2,145498,39584568,39730065,NC_000008.11
ADAM18_1,NR_135201.2_1,145484,335202,480685,NT_187577.1
ADAM19,NM_033274.5,98472,157477304,157575775,NC_000005.10
ADAM2,XM_011544480.1,94493,39743735,39838227,NC_000008.11
ADAM20,XM_005268151.4,57095,70522358,70579452,NC_000014.9
ADAM20P1,NR_037933.1,14881,70468876,70483756,NC_000014.9
ADAM21,NM_003813.4,7732,70452174,70459905,NC_000014.9
ADAM21P1,NR_003951.1,2049,70245753,70247801,NC_000014.9
ADAM22,XM_017012330.3,268639,87934251,88202889,NC_000007.14
ADAM23,NM_001410985.1,177596,206443532,206621127,NC_000002.12
ADAM28,NR_130710.2,64946,24294069,24359014,NC_000008.11
ADAM29,NM_001278125.1,59823,174918358,174978180,NC_000004.12
ADAM2_1,XM_054328860.1,94490,494374,588863,NT_187577.1
ADAM30,NM_021794.4,2983,119893533,119896515,NC_000001.11
ADAM32,NM_001313994.1,177389,39107529,39284917,NC_000008.11
ADAM32_1,NM_001313994.1_1,177421,13212,190632,NT_187577.1
ADAM33,XR_937152.2,14036,3667975,3682010,NC_000020.11
ADAM3A,NR_001569.3,71945,39451045,39522989,NC_000008.11
ADAM3B,NR_144553.1,940,49517646,49518585,NC_000016.10
ADAM5,NR_001448.2,102747,39314632,39417378,NC_000008.11
ADAM5_1,NR_001448.2_1,47207,220343,267549,NT_187577.1
ADAM6,NR_002224.2,2541,105969729,105972269,NC_000014.9
ADAM6_1,NR_002224.2_1,2541,437498,440038,NT_187600.1
ADAM7,NM_003817.4,68540,24441026,24509565,NC_000008.11
ADAM7-AS1,NR_125808.1,252805,24295814,24548618,NC_000008.11
ADAM7-AS2,NR_125809.1,24557,24490312,24514868,NC_000008.11
ADAM8,NM_001164490.2,14446,133262423,133276868,NC_000010.11
ADAM9,NR_027638.2,108289,38996973,39105261,NC_000008.11
ADAM9_1,NR_027878.2_1,3399,7546,10944,NT_187577.1
ADAMDEC1,NM_014479.3,21729,24384285,24406013,NC_000008.11
ADAMTS1,NM_006988.5,9655,26835755,26845409,NC_000021.9
ADAMTS10,XM_017027338.3,30476,8580240,8610715,NC_000019.10
ADAMTS12,NM_001324512.2,368456,33523535,33891990,NC_000005.10
ADAMTS12_1,NM_030955.4_1,10870,82443,93312,NT_187551.1
ADAMTS13,NR_024514.3,45050,133414337,133459386,NC_000009.12
ADAMTS13_1,NR_024514.3_1,45050,240431,285480,NW_009646201.1
ADAMTS14,NM_139155.3,89936,70672506,70762441,NC_000010.11
ADAMTS15,NM_139055.4,28001,130448645,130476645,NC_000011.10
ADAMTS16,NR_136935.2,179975,5140330,5320304,NC_000005.10
ADAMTS16-DT,NR_109915.1,7970,5132085,5140054,NC_000005.10
ADAMTS17,NM_139057.4,370539,99971437,100341975,NC_000015.10
ADAMTS18,NM_199355.4,152907,77282128,77435034,NC_000016.10
ADAMTS19,XM_047416876.1,278386,129460298,129738683,NC_000005.10
ADAMTS19-AS1,NR_125748.1,1131,129459559,129460689,NC_000005.10
ADAMTS2,NM_014244.5,234609,179110853,179345461,NC_000005.10
ADAMTS20,XM_011538754.3,199441,43352763,43552203,NC_000012.12
ADAMTS2_1,NM_014244.5_1,89940,20229,110168,NW_016107298.1
ADAMTS3,NM_014243.3,288253,72280969,72569221,NC_000004.12
ADAMTS4,NM_005099.6,14753,161184302,161199054,NC_000001.11
ADAMTS5,XM_047440680.1,49167,26917922,26967088,NC_000021.9
ADAMTS6,NR_135689.2,333183,65148738,65481920,NC_000005.10
ADAMTS7,NM_014272.5,52259,78759206,78811464,NC_000015.10
ADAMTS7P1,NR_045529.3,41279,82293283,82334561,NC_000015.10
ADAMTS7P1_1,NR_045529.3_1,41297,3301,44597,NT_187606.1
ADAMTS8,XM_017017145.2,23687,130404923,130428609,NC_000011.10
ADAMTS9,XR_007095711.1,172347,64515654,64688000,NC_000003.12
ADAMTS9-AS1,NR_110150.1,28739,64561346,64590084,NC_000003.12
ADAMTS9-AS2,NR_038264.1,326599,64684870,65011468,NC_000003.12
ADAMTSL1,XM_011518064.4,1004318,17906633,18910950,NC_000009.12
ADAMTSL2,NM_001145320.2,43356,133532164,133575519,NC_000009.12
ADAMTSL3,XM_011521823.3,385720,83654123,84039842,NC_000015.10
ADAMTSL3_1,XM_054333160.1,385720,259917,645636,NW_025791797.1
ADAMTSL4,XM_047422820.1,11530,150549408,150560937,NC_000001.11
ADAMTSL4-AS1,NR_104133.1,13658,150560895,150574552,NC_000001.11
ADAMTSL4-AS2,NR_187269.1,9161,150548564,150557724,NC_000001.11
ADAMTSL5,XM_047438758.1,7998,1505022,1513019,NC_000019.10
ADAP1,NM_001284308.2,57508,897900,955407,NC_000007.14
ADAP2,NR_144488.2,37378,30921945,30959322,NC_000017.11
ADAP2_1,NR_144488.2_1,37378,1119,38496,NW_025791803.1
ADAR,NM_001365046.1,45941,154582057,154627997,NC_000001.11
ADARB1,NR_027673.1,151986,45074578,45226563,NC_000021.9
ADARB2,NM_018702.4,560213,1177313,1737525,NC_000010.11
ADARB2-AS1,NR_033387.2,30379,1526630,1557008,NC_000010.11
ADAT1,NM_001324448.2,26414,75596868,75623281,NC_000016.10
ADAT2,NM_182503.3,27864,143422832,143450695,NC_000006.12
ADAT3,NM_138422.4,8049,1905399,1913447,NC_000019.10
ADCK1,NR_158989.2,134906,77800109,77935014,NC_000014.9
ADCK2,NM_052853.4,22166,140672945,140695110,NC_000007.14
