gene_id,longest_refseq_transcript_id,longest_refseq_length,longest_ucsc_transcript_id,longest_ucsc_length
DNMBP-AS1,NR_024130.3,31794,NR_024130.3,31794
ZBTB32,NM_014383.3,12481,NM_001316903.2,12481
MEI1,XM_011529945.4,99952,XM_011529938.3,99952
UBXN4,NM_014607.4,43202,NM_014607.4,43202
RALGAPB,NM_020336.4,106016,NM_001282917.2,106016
CHID1,XM_011520300.3,47356,XM_011520299.3,47356
DLL1,XM_005266934.5,8873,NM_005618.4,8873
LOC107986070,XR_001740623.1,28200,XR_001740623.1,28200
UPK3BL2,NM_001363506.2,5778,NM_001363506.2,5778
MDH1B,NR_138468.2,27566,NM_001039845.3,27566
LOC102724465,NR_187944.1,379687,NR_187944.1,379687
LOC124904347,XR_007066447.1,2590,XR_007066447.1,2590
LOC107984263,XR_001747574.3,4103,XR_001747574.3,4103
LOC124901184,XR_007059135.1,20701,XR_007059135.1,20701
ZNF718,NR_110528.1,77831,NR_110528.1,77831
LOC124901710,XR_007060455.1,2197,XR_007060455.1,2197
LOC124901454,XR_007059844.1,20415,XR_007059844.1,20415
CORO1C,NM_014325.4,86410,NM_014325.4,86410
LOC101929050,NR_187717.1,18565,NR_187716.1,18565
SCHLAP1,NR_104322.1,224836,NR_104321.1,224836
MIR6873,NR_106933.1,63,NR_106933.1,63
MIR892B,NR_030593.1,77,NR_030593.1,77
AGR3,XM_011515152.3,27303,XM_011515152.3,27303
TEX26,XR_001749479.3,42845,NM_001353390.2,42845
SLC7A11-AS1,NR_038380.1,89164,NR_038380.1,89164
LINC00668,NR_034100.1,4396,NR_034100.1,4396
LINC03069,NR_148972.1,187650,NR_148972.1,187650
DCX,NM_001369373.1,118414,NM_178151.3,118414
ZNF556,NR_145838.2,16111,NM_024967.3,16111
LY86,NM_004271.4,66263,NM_004271.4,66263
TM6SF1,NR_148561.2,29764,NM_001353884.2,29764
LOC107984431,XR_001748534.1,4006,XR_001748534.1,4006
ITGA1,NM_181501.2,171294,NM_181501.2,171294
PRAMEF10,NM_001039361.4,5375,NM_001039361.4,5375
LOC100420587,NR_110759.1,292307,NR_110759.1,292307
LSM6,XR_001741098.2,15818,NM_007080.3,15818
LOC124901817,XR_007060649.1,4495,XR_007060649.1,4495
LOC105371677,XR_922398.3,67447,XR_952054.2,79016
LOC124906206,XR_007096281.1,12144,XR_007096281.1,12144
OR6F1,NM_001005286.2,5211,NM_001005286.2,5211
APBB1,NM_145689.3,24329,NM_145689.3,24329
MIR6502,NR_106757.1,76,NR_106757.1,76
IFT22,NM_001130822.3,10899,NM_001287525.2,10899
CTU1,NM_145232.4,10804,NM_145232.4,10804
GYS2,XM_024448960.2,72271,XM_024448960.2,72271
LINC01100,NR_104132.1,10775,NR_104132.1,10775
LOC124903185,XM_047430828.1,5462,XM_047430828.1,5462
LINC01300,NR_024441.1,4073,NR_024441.1,4073
DGCR6,NM_005675.6,5769,NM_005675.6,5769
HERC2P7,NR_036470.1,3222,NR_036470.1,3223
OCEL1,NM_024578.3,2994,XM_006722899.5,2994
EFCAB2,XM_047432067.1,154901,XM_047432068.1,154901
SPAG1,XM_047422128.1,83867,XM_011517240.3,83867
BCL2L1-AS1,NR_187575.1,41737,NR_187573.1,41737
ZNF271P,NR_024565.1,20495,NR_024566.1,20495
NDUFB5,NM_002492.4,22854,NM_001199957.2,22854
PRR18,NM_175922.4,3093,NM_175922.4,3093
LOC124903947,XR_007065657.1,1752,XR_007065657.1,1752
LOC124904332,XR_007066424.1,3779,XR_007066424.1,3779
LOC124902068,XR_007061184.1,21037,XR_007061184.1,21037
LOC105379099,XR_001742818.2,4626,XR_001742818.2,4626
RETREG1-AS1,NR_109946.1,14044,NR_109946.1,14044
LOC105371361,XR_007065137.1,4572,XR_933783.3,4653
LINC01276,NR_120347.1,17409,NR_120347.1,17409
SGPP1,NM_030791.4,43850,NM_030791.4,43850
LINC02945,NR_186682.1,286108,NR_186681.1,286108
LOC105375588,XR_007060610.1,3787,XR_928227.3,3787
GPR150,NM_199243.3,2056,NM_199243.3,2056
EP300-AS1,NR_110514.1,12288,NR_110514.1,12288
LOC105379329,XR_002956697.2,2299,XR_002956697.2,2299
MIR526A2,NR_030208.1,65,NR_030208.1,65
LOC105374754,XR_002959389.2,150795,XR_940131.3,150795
LOC105376933,XR_007095798.1,2299,XR_007095798.1,2299
ZNF582,XR_007066621.1,10784,NM_001320371.4,10784
LOC105371545,XR_934243.2,1674,XR_934243.2,1674
ATF7,NR_073163.2,118527,NR_073163.2,118527
SLAMF1,NR_104401.3,38939,NM_001330754.2,38939
GALNT8,NM_017417.2,52327,NM_017417.2,52327
LINC00561,NR_047491.1,2735,NR_047491.1,2735
CTB-99A3.1,NR_188288.1,59059,NR_188288.1,59059
LOC107984574,XR_007063850.1,1661,XR_007063850.1,1661
XKR4,NM_052898.2,440027,NM_052898.2,440027
COP1-DT,NR_185981.1,58469,NR_185981.1,58469
AGGF1,NM_018046.5,34831,NM_018046.5,34831
UBE2Z,NM_023079.5,20650,NM_023079.5,20650
LOC124900358,XR_007064810.1,133,XR_007064810.1,133
LOC124906315,XR_007096212.1,5252,XR_007096212.1,5252
LINC03065,NR_183869.1,1154,NR_183870.1,1154
OVOS2,NR_153414.1,89584,NR_153414.1,91857
MIR6875,NR_106935.1,72,NR_106935.1,72
LEMD1-AS1,NR_038425.1,14189,NR_038425.1,14189
SKIC2,NM_006929.5,10577,NM_006929.5,10577
LOC124901117,XR_007059009.1,8285,XR_007059009.1,8285
POLR2L,NM_021128.5,2809,NM_021128.5,2809
PRPH2,NM_000322.5,26000,NM_000322.5,26000
ABLIM3,NM_014945.5,119050,NM_001345860.2,119050
LOC105371976,XR_007066274.1,7414,XR_007066274.1,7414
LBX2-AS1,NR_024606.2,2473,NR_152616.1,2473
ZNF621,XM_011533610.4,16677,XM_011533610.4,16677
DEFB4A,NM_004942.4,2040,NM_004942.4,2040
HLA-DQA1-AS1,XR_007059544.1,6320,XR_007059544.1,6320
LINC01476,NR_110813.1,95989,NR_110813.1,95989
LOC105373053,XR_938288.3,17414,XR_938288.3,17414
MIR1279,NR_031692.1,62,NR_031692.1,62
LOC105376587,XR_931117.3,20141,XR_931117.3,20141
MRAS,NM_012219.4,57888,NM_001252091.1,57888
NEURL1,NM_004210.5,98842,NM_004210.5,98842
LOC105373581,XR_001739666.3,5382,XR_001739666.3,5382
SNORD161,NR_145782.1,66,NR_145782.1,66
LOC107984569,XR_001749970.1,3914,XR_001749970.1,3914
BCAN-AS2,NR_182279.1,15705,NR_182279.1,15705
EPHB4,NM_004444.5,24959,XM_017011816.2,24959
LOC105375284,XR_007060329.1,25264,XR_007060329.1,25264
LOC124909413,XR_007096013.1,5247,XR_007096013.1,5247
LOC107984484,XR_001749078.1,1928,XR_001749078.1,1928
LOC105372045,XR_935330.2,21588,XR_935330.2,21588
LOC105370340,XR_931689.2,8359,XR_931689.2,8359
CCL25,NM_001394637.1,10310,NM_001394634.1,10310
LOC105373490,XR_923077.3,4886,XR_923077.3,4886
LOC124902333,XR_007061909.1,106,XR_007061909.1,106
LOC105373717,XR_007087274.1,25416,XR_007087274.1,25416
LOC124902159,XR_007061497.1,68637,XR_007061497.1,68637
LINC02382,NR_134683.1,1267,NR_134683.1,1267
BLOC1S5-TXNDC5,NR_037616.1,183165,NR_037616.1,183165
NDST1,NM_001301063.2,60433,NM_001301063.2,60433
MGAT4FP,NR_036557.1,20814,NR_036557.1,20814
PPIAL4A,NM_001143883.4,760,NM_001143883.4,760
ZNRF3,NM_001206998.2,173917,NM_001206998.2,173917
LOC124905038,XR_007067905.1,5674,XR_007067905.1,5674
LILRA6,NR_104098.2,6201,NM_024318.5,26382
TCF12-DT,NR_015419.2,32330,NR_015419.2,32330
CELF2-AS1,NR_126062.1,27842,NR_126062.1,27842
LOC124902335,XR_007061910.1,108,XR_007061910.1,108
CCNJL,NR_131769.2,90465,NR_131769.2,90465
MIR889,NR_030595.1,79,NR_030595.1,79
MXRA8,NM_001282582.2,10851,NM_001282582.2,10851
LOC105378412,XR_946171.2,12290,XR_946171.2,12290
AGBL3,NR_144293.1,149271,NM_001367814.1,149271
SLC9A3-AS1,NR_125375.1,7657,NR_125375.1,7657
G6PC3,NM_001384168.1,5672,NM_001384168.1,5672
ALPK1,NM_025144.4,145253,NM_001253884.2,145253
LINC00244,NR_024119.1,611,NR_024119.1,611
C10orf67-AS1,NR_155752.1,1205,NR_155752.1,1205
CA7,NM_005182.3,9734,NM_005182.3,9734
LOC101928663,NR_110863.1,16492,NR_110862.1,16492
LOC105376613,XR_931165.3,5143,XR_931165.3,5143
CPSF3,NM_001321834.2,49448,NM_001321835.2,49448
LOC107986221,XR_001741501.2,67141,XR_001741501.2,67141
LOC124901008,XR_007058827.1,3421,XR_007058827.1,3421
MIR935,NR_030632.1,91,NR_030632.1,91
LINC01859,NR_110746.1,8623,NR_110746.1,8623
LOC124901966,XR_007060977.1,39094,XR_007060977.1,39094
LOC107986836,XR_001745322.1,57428,XR_001745322.1,57428
RRAS,NM_006270.5,4852,NM_006270.5,4852
LOC124901926,XR_007060879.1,1497,XR_007060879.1,1497
LOC124902720,XR_007062789.1,7202,XR_007062789.1,7202
IDI2,NM_033261.3,6950,NM_033261.3,6950
LOC102723656,XR_927276.2,8114,XR_927276.2,8114
TMEM135,NR_033149.2,290891,NM_001168724.2,290891
CRTAM,NM_019604.4,34144,XM_011542900.3,34144
LOC124905136,XR_007068137.1,4328,XR_007068137.1,4328
RPL31P11,NR_002595.1,1558,NR_002595.1,1558
MESTIT1,NR_004382.2,4936,NR_004382.2,4936
LOC105373595,XR_923292.3,13019,XR_923292.3,13019
PRB3,NM_006249.5,3794,NM_001394862.1,3794
PRMT5,XR_429287.3,8848,NM_001039619.3,8848
SLC4A9,NM_001258428.2,14948,XM_047417796.1,14948
ABHD18,NM_001366042.3,74548,NM_001366041.3,74548
LOC101927557,NR_110808.1,1350,NR_110808.1,1350
EFCC1,NM_001377500.1,39439,NM_024768.3,39439
UTP23,NM_032334.3,8161,NM_032334.3,8161
LOC107986735,XR_001745013.2,2971,XR_001745013.2,2971
LOC102724861,NR_187737.1,168179,NR_187736.1,168179
CSF3R,XM_005270493.1,17272,XM_047446753.1,17272
LOC124900757,XR_007058226.1,2917,XR_007058226.1,2917
LOC105371792,XR_007065769.1,10050,XR_007065769.1,10050
LOC105379034,XR_001742745.1,36735,XR_001742745.1,36735
LOC105377720,XR_941212.3,7958,XR_941212.3,7958
LOC124907974,XR_007088074.1,8134,XR_007088074.1,8134
SLC25A52,NM_001034172.4,1297,NM_001034172.4,1297
ZNF492,NM_020855.3,33348,XM_047439131.1,33348
LOC105378776,XR_947467.2,23115,XR_947467.2,23115
LOC105374349,XR_925052.3,1972,XR_925052.3,1972
PRR7-AS1,NR_038916.1,10056,NR_038915.1,10056
HIC1,NM_006497.4,8139,NM_006497.4,8139
LOC102723451,NM_001364711.1,961,NM_001364711.1,961
H2AC12,NM_080596.3,457,NM_080596.3,457
MBL1P,NR_002724.2,2942,NR_002724.2,2942
UBQLN4,XM_024448469.2,22552,XM_024448469.2,22552
DNER,NM_139072.4,356927,NM_139072.4,356927
EXTL3,XM_024447096.2,147864,XM_024447096.2,147864
LOC124905413,XM_047443090.1,1982,XM_047443090.1,1982
RGL2,XM_047419202.1,9959,XM_047419202.1,9959
LOC284898,NR_164796.1,13095,NR_164796.1,13095
MIR1253,NR_031654.1,105,NR_031654.1,105
LOC112267865,XR_945280.3,22967,XR_945279.3,22967
LOC124902084,XR_007061215.1,103,XR_007061215.1,103
LOC105370820,XR_007064638.1,16167,XR_007064638.1,16167
SNORA57,NR_004390.1,149,NR_004390.1,149
SNX6,NR_159358.1,69056,NM_021249.5,69056
FAM90A11,NM_001423539.1,3011,NM_001423539.1,3011
RFPL3S,NR_104232.1,11359,NR_104232.1,11359
LOC124903912,XR_007065602.1,819,XR_007065602.1,819
DNM1P50,NR_145478.1,3124,NR_145478.1,3124
NUTM2G,NM_001045477.4,14129,NM_001045477.4,14129
HID1,XM_005257226.3,22018,NM_030630.3,22018
OXA1L,NM_005015.5,6355,NM_005015.5,6355
PNMA5,XM_017029252.2,5293,NM_001184924.2,5293
ZNF189,NR_103480.2,11804,NM_001278232.2,11804
LOC105376155,XR_930133.3,11798,XR_930133.3,11798
MIR944,NR_030642.1,88,NR_030642.1,88
MIR548A1HG,NR_149116.1,200152,NR_149116.1,200152
AMOTL1,XM_005273798.5,170289,XM_011542626.3,170289
ETFBKMT,NM_001135864.2,25955,NM_001135864.2,25955
NABP2,XM_047429533.1,7840,XM_005269149.6,7840
MIR4278,NR_036242.1,69,NR_036242.1,69
ZNF735,NM_001159524.1,13088,NM_001159524.1,13088
LINC00430,NR_132371.1,27207,NR_132371.1,27207
LOC100130673,NR_038454.1,1598,NR_038454.1,1598
TMCC2-AS1,NR_183258.1,3515,NR_183258.1,3515
LOC124905265,XR_007068420.1,61,XR_007068420.1,61
ZNF45,XM_017027227.3,22659,XM_047439318.1,22659
PCNX4-DT,XR_943918.4,122654,XR_943918.4,122654
LOC124904818,XR_007067414.1,104,XR_007067414.1,104
VPS13B,NM_152564.5,864307,NM_017890.5,864307
USP36,NR_169582.1,53434,NM_001385169.1,53434
PLPBP,NM_001349346.2,17124,NM_001349348.2,17124
DUSP6,NM_022652.4,5267,NM_001946.4,5267
PGM3,XR_007059270.1,44561,XR_007059270.1,44561
PADI4,NM_012387.3,55808,XM_011541150.1,55808
PALD1,XM_011539638.3,109966,XM_011539638.3,109966
CCL15-CCL14,NR_027922.3,18383,NR_027921.3,18393
NANOGNB,NM_001145465.1,8906,NM_001145465.1,8906
MTG2,NR_169200.1,20541,NM_001384348.1,20541
HPCAL1,XR_007073115.1,124701,NM_002149.4,124701
GIMAP5,NM_018384.5,6229,NM_018384.5,6229
LINC01675,NR_146890.1,14268,NR_146890.1,14268
GPR174,NM_032553.3,30631,XM_047442580.1,30631
FASTK,XM_011515763.2,4186,XM_047419830.1,4186
LOC105370008,XR_945395.3,3408,XR_945395.3,3408
TEKT5,NM_144674.2,67430,NM_144674.2,67430
LINC01824,XR_001739265.2,8115,XR_001739265.2,8115
CALM2,NM_001305625.2,16853,NM_001305625.2,16853
CAMSAP1-DT,XR_001746979.2,13198,XR_007061858.1,13198
LOC124900418,XM_047439793.1,8434,XM_047439792.1,8434
NHIP,NR_183581.1,8467,NR_183582.1,8467
DNAJB8,NM_153330.6,4454,NM_153330.6,4454
LOC285422,XR_939280.2,6585,XR_939280.2,6585
LOC124903794,XR_007065239.1,106,XR_007065239.1,106
UGT3A2,NR_031764.2,31862,XM_011513988.2,31862
PRDM14,NM_024504.4,19602,NM_024504.4,19602
LOC124902175,XR_007061566.1,7038,XR_007061566.1,7038
LOC105376626,XR_001748180.2,59489,XR_001748180.2,59489
LINC00681,NR_102423.2,24052,NR_102423.2,24061
LOC107984000,XR_924403.3,2330,XR_924403.3,2330
LOC124902376,XR_007062052.1,2233,XR_007062052.1,2233
OTC,NM_001407092.1,95245,NM_001407092.1,95245
SLC33A1,XM_017007464.2,33404,XM_017007463.2,33404
TCHH,NM_007113.4,9128,NM_007113.4,9128
EEF1G,NM_001404.5,14296,NM_001404.5,14296
FAT4,XM_047416151.1,177978,XM_011532237.3,177978
LOC105376985,XR_001754672.1,1696,XR_001754672.1,1696
PLPP1,NR_103485.2,110111,NM_176895.3,110111
RRM2B,NM_001172478.2,34460,NM_015713.5,34460
CRISPLD2,XM_005256190.2,89524,NM_031476.4,89524
AMPD3,NM_001172431.2,57192,NM_001172431.2,57192
MIR1289-2,NR_031621.1,111,NR_031621.1,111
FAM87A,NR_103537.1,7244,NR_103537.1,7244
LOC124907989,XR_007088100.1,6564,XR_007088100.1,6564
LOC124901052,XR_007058911.1,3406,XR_007058911.1,3406
B4GALNT4,NM_178537.5,12619,NM_178537.5,12619
LEMD2,NM_001348710.2,17918,NM_181336.4,17918
MIR4513,NR_039738.1,86,NR_039738.1,86
TMEM51,XM_017001590.2,67913,NM_001136217.2,67913
CFAP418,NM_001363260.1,24289,NM_177965.4,24289
LOC124901602,XR_007060260.1,1818,XR_007060260.1,1818
MIR5000,NR_049796.1,103,NR_049796.1,103
LOC124905439,XR_007088765.1,102,XR_007088765.1,102
CHEK2,XM_011529845.3,54092,XM_047441105.1,54092
LMAN2,NM_006816.3,20102,NM_006816.3,20102
LOC101928269,NR_110418.1,50008,NR_110418.1,50008
LINC01910,NR_110764.1,4452,NR_110764.1,4452
LOC124900682,XR_007058078.1,4928,XR_007058078.1,4928
LOC105369410,XR_950358.1,7908,XR_950358.1,7908
OPN1MW3,NM_001330067.2,13509,NM_001330067.2,13509
LOC128092246,NM_001414897.1,120,NM_001414897.1,120
MIR6855,NR_106914.1,67,NR_106914.1,67
ATXN7,NM_001377405.1,139596,NM_001377405.1,139596
BCL7B,NM_001197244.2,21335,NM_001301061.2,21335
FGF7,NM_002009.4,65534,NM_002009.4,65534
HPF1,NM_017867.3,28475,NM_017867.3,28475
LOC105371328,NR_135173.1,931,NR_135173.1,931
LOC107987171,XR_007063200.1,12007,XR_007063200.1,12007
LOC124904864,XR_007067511.1,1439,XR_007067511.1,1439
SMIM41,NM_001369216.1,28552,NM_001369216.1,28552
MICU2,NM_152726.3,111480,XM_047430142.1,111480
RPS15,NM_001308226.2,2100,NM_001018.5,2100
DMRTB1,NM_033067.3,8090,NM_033067.3,8090
LINC00504,NR_126435.1,417705,NR_126435.1,417705
