phosphosite_ID,AZD/DMSO Exp1,AZD/DMSO Exp2,AZD/DMSO Exp3,PLX/DMSO Exp1,PLX/DMSO Exp2,PLX/DMSO Exp3,PLX/AZD Exp1,PLX/AZD Exp2,PLX/AZD Exp3
AFF4_S(1055),-0.2235759,0.001114740000000003,-0.188986,-0.300626,-0.2564983,-0.2480695,-0.2082776,-0.22372684999999998,-0.016992575
AFF4_S(1058),-0.130613385,0.051487435,-0.10414779,-0.2191448,-0.10857913500000001,-0.11859399,-0.12120417,-0.137156565,0.034520325
AFF4_S(1062),0.2016338,,,-0.2301775,,,-0.3175705,,
AGGF1_S(344),,,-0.1036274,,,0.20989,,,0.2866446
AGPS_S(149),0.05783146,0.3547907,-0.6310863,0.369271,0.2006298,0.1268407,0.3305584,0.5740036,1.015069
AGPS_T(155),-0.03575662,,-0.3720758,-0.137997,,-0.5116289,-0.0155346,,-0.08581819
AHDC1_S(1549),0.2423281,,-0.6404563,-0.114207,,-1.143787,-0.3841882,,-0.4450477
AHDC1_S(596),0.04893365,0.07942928,0.1103632,-0.2712871,0.5151069,0.02672926,-0.4103516,0.5014428,-0.1817548
AHDC1_S(896),0.1007085,-0.09357113,0.03646811,0.1406477,0.3001823,-0.01177707,0.02005774,0.2356369,-0.1328784
AHNAK_S(135),-6.229504,-4.955497,-3.146627,-6.290985,-5.161989,-3.041566,-0.02104294,0.4528464,0.5862123
AHNAK_S(177),0.05241581,-0.06579299,0.08949816,-0.02195085,-0.1636396,0.03492,0.009490535,-0.180657,0.1356662
AHNAK_S(210),-0.75896947,-0.72517185,-0.65753403,-1.1016788499999999,-1.03914525,-0.9059783,-0.40236014999999997,-0.30579395,-0.38004255
AHNAK_S(212),-0.05761687,0.0786065,-0.01741709,-0.3039171,0.05740880000000001,-0.09064926,-0.2696165,-0.04507908,-0.256218
AHNAK_S(216),1.125263725,0.054215650000000004,0.080664655,0.8345788,0.013408050000000005,-0.008140444999999996,-0.30051675,-0.04964828,-0.15562731
AHNAK_S(220),0.2756031,,0.03731201,0.3299846,,0.068602,-0.03615599,,0.004609331
AHNAK_S(2397),-2.744584,-2.708396,-2.21974,-2.440342,-2.542711,-2.355941,0.1981169,0.2147424,-0.5004219
AHNAK_S(3412),-0.3296491,0.04026129,0.7249994,-0.3719263,-0.0783961,0.5988416,-0.02143826,-0.06928982,-0.07491203
AHNAK_S(3426),-2.732644,-2.5661,-2.089452,-2.687799,-2.262434,-0.0837833,0.005759195,0.1521794,1.191752
AHNAK_S(4348),,-0.3176245,,,0.0167816,,,0.2389872,
AHNAK_S(4516),0.2345013,-0.3898669,0.4932375,0.2192151,0.32112,0.5845778,0.138028,0.5149442,0.01006364
AHNAK_S(4908),-0.6165031,-0.6871257,-0.5393727,-0.7558679,-0.8283832,-0.3049862,-0.07675195,-0.06639911,0.1360601
AHNAK_S(511),-1.302084,-1.289863,-1.086998,-1.3524,-1.33228,-1.10386,-0.01680388,-0.2058929,0.01948842
AHNAK_S(5110),-3.772919,-4.103978,-3.924738,-3.924651,-4.097122,-4.048663,-0.2377447,0.01740245,-0.1631225
AHNAK_S(5293),0.3843814,0.3251561,-0.07935611,0.1973622,-0.1114301,-0.5063936,-0.3326983,-0.544881,-0.424649
AHNAK_S(5397),,,0.4104497,,,0.1556197,,,-0.4296537
AHNAK_S(5448),0.3381105,0.3656925,0.170566,0.2725011,0.0610158,-0.02357773,-0.04143197,-0.491494,-0.3305378
AHNAK_S(5552),0.103397,-0.1355226,0.181675,0.02573757,0.07519039,-0.1741004,-0.1977323,0.1736773,-0.1378065
AHNAK_S(570),0.1321162,0.06350289,-0.4107543,0.1182268,-0.2241487,-0.446266,0.0,-0.4186756,-0.1308235
AHNAK_S(572),0.1571731,0.09220742,-0.2444971,0.2349918,-0.3362637,-0.6851063,0.03660879,-0.3750673,-0.3679738
AHNAK_S(5731),1.2958983,1.2795988333333332,1.3332540666666668,1.0372864666666668,1.1793906666666667,1.1411981333333332,-0.22054526666666666,-0.25993964666666663,-0.11391375999999999
AHNAK_S(5735),1.5492885,1.868292,1.1890324866666668,1.2158765,1.496616,1.0872784,-0.1837646,-0.4489009,-0.21479596666666667
AHNAK_S(5737),1.33327,2.0976905,1.565938,1.0249622,2.0168405,1.372729,-0.3161152,-0.24524028,0.006764703
AHNAK_S(5739),1.5306343333333334,1.6352339999999999,1.6325736666666666,1.2305170666666667,1.4273738333333335,1.4386393,-0.21846466666666667,-0.3068576,-0.18065486666666666
AHNAK_S(5749),0.25648306666666665,0.10437581666666666,0.5420196666666667,0.42435847666666665,0.48562243333333327,0.4537614333333333,0.11224138666666666,0.3315267333333333,-0.04232591333333333
AHNAK_S(5752),0.34836,0.2632357,0.46969006666666663,0.2893476666666666,0.28411363333333334,0.2810754766666667,-0.09778168666666666,0.013529599999999994,-0.17243304666666667
AHNAK_S(5763),-0.2699430533333333,-0.3369283,-0.21460285,-0.34589623333333336,-0.22612073333333335,-0.46980769999999994,-0.08331464666666667,0.06558571,-0.13423606
AHNAK_S(5780),,-2.654354,-2.611138,,-2.696096,-3.293925,,-0.07121355,-0.4104091
AHNAK_S(5782),1.377846,-0.8900570000000001,-0.6450665,1.424438,-1.0389249999999999,-0.9466660000000001,0.04376442,-0.18126768000000001,-0.17732908000000003
AHNAK_S(5784),,-2.118602,,,-1.986045,,,0.15327,
AHNAK_S(5790),,-0.7411806000000001,0.07162537,,-0.6516792499999999,-0.2569418,,-0.021785765000000002,-0.1217533
AHNAK_S(5841),-0.008987112,0.1763228,-0.02997102,0.241108,0.1126334,0.1483484,0.1480882,-0.1513393,0.1937087
AHNAK_S(5851),0.94120245,0.9947777,0.87977925,0.64613495,0.7210717,0.7289952500000001,-0.2318096,-0.215068545,-0.08483112500000001
AHNAK_S(5854),0.8598593,0.9962798500000001,0.8496459000000001,0.5369303,0.670248,0.54429605,-0.19543158,-0.31775485000000003,-0.27971445
AHNAK_S(5857),0.7581402,0.8313641333333334,0.8195130500000001,0.3860322,0.3653528,0.359663075,-0.13362781666666665,-0.46200789999999997,-0.4745612
AHNAK_S(819),0.7577913,0.7955176,0.2439128,0.3594087,-0.00699962,-0.1850149,-0.3972771,-0.7489763,-0.4887749
AHNAK_T(3716),,0.09963177,1.237074,,-0.104263,0.6426554,,-0.2035144,-0.5449399
AHNAK_T(4100),,-0.5510568,0.3861488,,-0.7690347,-0.03213788,,-0.1863738,-0.4478
AHNAK_T(4430),,-0.676019,,,-0.481344,,,0.03272814,
AHNAK_T(4564),0.01221106,-0.1337171,1.001802,-0.3808969,0.06170706,0.7023916,-0.2886989,-0.01606832,-0.3496215
AHNAK_T(4766),-0.01074471,0.1072862,1.057762,-0.4169816,0.1708224,0.6095659,-0.4212255,-0.004609353,-0.4922409
AHNAK_T(4877),0.9818527,0.2306949,0.1722314,0.1415635,-0.08574162,-1.656126,-0.6810527,-0.5261689,-1.798768
AHNAK_T(490),-0.2640966,-0.04965102,-0.1853921,-0.1208903,-0.1755824,-0.1243457,0.01706665,-0.08215749,0.07956584
AHNAK_T(551),0.485736,,,-0.2789511,,,-0.5808063,,
AHNAK_T(553),,,0.6661203,,,0.1409095,,,-0.5236287
AHNAK_T(5824),0.9054279,1.145025,1.119423,1.011567,0.9310779,1.085357,0.04404436,-0.2907783,-0.152885
AHNAK_T(590),0.2848694,0.4065367,0.3670355,0.08161233,-0.1566593,-0.01356724,-0.1511697,-0.5552272,-0.5094093
AJUBA_S(104),-0.324708,0.2200823,,-0.2087777,-0.07042111,,0.1557492,-0.3901173,
AJUBA_S(119),-0.1399987,0.03012422,0.08065767,-0.09637554,-0.05246097,0.1489992,0.04781753,-0.07983889,0.03195977
AJUBA_S(141),,1.098891,,,-0.1059234,,,-1.263876,
AJUBA_S(175),,0.4126189,0.2806,,0.4081684,,,-0.1154328,
AKAP11_S(1109),,,0.2691529,,,0.753091,,,0.2083924
AKAP11_S(1113),,,-0.3285255,,,-0.2584769,,,0.05408442
AKAP11_S(1242),-0.1830154,-0.06641226,-0.1890716,-0.11441,-0.1152536,-0.04389871,0.09315446,-0.01792198,0.188021
AKAP11_S(1487),0.3797319,0.6045458,0.1777266,0.2786984,-0.09589748,-0.2308376,-0.1371241,-0.5216539,-0.4332336
AKAP11_S(1580),-0.4387961,0.3839393,,-0.1618308,0.4359486,,0.1497797,0.2388849,
AKAP11_S(18),,-1.816393,-1.905305,,-1.810814,-1.993321,,-0.264116,-0.03469226
AKAP11_S(20),-1.845028,,,-1.98148,,,-0.1364896,,
AKAP11_S(422),0.46114580000000005,0.58895285,0.5696244,0.58979005,0.4912462000000001,0.6550793,0.20331015000000002,-0.18258805,-0.14623524999999998
AKAP11_S(433),-1.0759737,-0.4255013,-0.2482792,-0.92968345,-0.4646636,-0.1611854,0.22289325000000001,-0.1534163,-0.4477016
AKAP11_S(448),-1.166729,-1.30504,-1.314661,-1.090742,-1.450873,-1.309788,0.05311137,-0.1541943,0.08324736
AKAP11_S(456),-0.09558909,-0.01914117,-0.0963292,-0.02061851,-0.3205222,-0.04556546,0.1703097,-0.1856129,-0.3516082
AKAP11_S(985),-0.9678991,-0.9718835,-0.9145753,-0.9350345,-1.046563,-0.8087659,-0.2760134,-0.01991544,0.1784916
AKAP11_T(1100),-0.7887137,-0.7062293,-0.7345871,-0.6786029,-0.8517036,-0.623265,0.06543438,-0.121148,0.08963377
AKAP11_T(1104),,,-0.823524,,,-0.7148937,,,0.1376347
AKAP11_T(981),0.3438057,0.9212078,0.2476845,0.6311508,0.5691022,0.409581,0.2203299,-0.1829465,0.3280323
AKAP17A_S(537),-0.08542015,-0.03856929,-0.1296076,-0.06343934,-0.08311071,-0.03144473,0.07107621,-0.05464011,0.09234277
AKAP17A_S(633),,,0.6702965,,,-0.0706483,,,-0.1289765
AKAP5_S(178),-0.1229154,0.009347181,-0.2405715,0.221939,-0.25214,0.03407487,0.5621814,-0.1483485,0.4286784
AKAP6_S(1644),,-0.08124738,-0.08092692,,0.01464098,0.006764703,,0.1361092,0.3141744
AKAP6_S(1655),0.2001277,0.2154923,,0.2672362,0.04306451,,0.1410403,-0.2179751,
AKAP8_S(685),-0.2864273,-0.4547234,-0.0625652,-0.5669551,-0.05932957,0.4323181,-0.09788778,0.07656935,0.5049763
AKIRIN2_S(21),-0.04866583,-0.009698553,0.01863419,-0.0484868,-0.2789686,-0.05433238,-0.1353166,-0.2725011,-0.08817804
AKIRIN2_S(57),0.03689012,0.0745054,0.01948842,-0.09669945,-0.02469262,-0.216468,-0.1683335,0.006130007,-0.5849985
AMER3_S(641),-0.08274394,,,0.1004395,,,0.1562672,,
AMIGO1_S(477),0.2200823,0.3500446,-0.3476925,0.03054793,-0.3635494,-0.2158813,0.3013536,-0.2522945,0.104605
AMMECR1L_S(74),-0.3093236,-0.3751223,-0.2537217,-0.2945971,-0.358306,-0.3398929,0.02602103,-0.02970019,0.08215749
ANAPC1_S(355),,0.4533332,0.7722235,,0.5350576,0.3506104,,-0.03885752,-0.2549434
ANAPC1_S(377),,-0.01817659,-0.5588777,,0.5265697,-1.078259,,0.5465614,-0.4710687
ANKIB1_S(737),0.008343471,-0.04817354,-0.05397285,0.01178193,-0.03265429,0.02204824,-0.00991647,-0.008343482,0.02701252
ANKIB1_S(891),,-0.4396176,0.006621249,,-0.6410637,-0.1871978,,-0.2093911,-0.2219934
ANKRD11_S(1692),0.1506897,,,-0.2202612,,,-0.1175056,,
ANKRD11_S(1878),,,0.1222089,,,-0.1866724,,,-0.3013726
ANKRD11_S(2374),,-0.826975,,,-0.6300367,,,-0.1788739,
ANKRD11_S(276),0.04614182,0.1790014,0.08705537,0.1576905,0.09922788,0.5464624,0.1296127,-0.03097172,0.4667576
ANKRD11_S(609),-0.3881289,-0.2703994,,-0.1521955,-0.2809831,,0.05810868,0.07201252,
ANKRD11_S(834),0.335369,0.3387953,-0.224823,0.2791741,0.1182268,-0.09961813,-0.1186329,-0.1547128,0.0880058
ANKRD27_S(962),-0.05733158,,-0.4908211,-0.3372294,,-1.956516,-0.1741492,,-0.1519871
ANKRD27_T(1023),-0.4432813,-0.0699364,-0.5653104,-0.7619224,-0.599025,-0.4505575,-0.184523,-0.5106581,0.2308178
ANKRD34A_S(247),-0.293023,0.09990108,,-0.881029,-0.671715,,-0.5342658,-0.6797841,
ANKRD34A_S(392),0.1788739,0.07011455,,0.001153714,0.1357976,,-0.08053024,0.04806907,
ANKRD52_S(1028),-0.4374279,-0.5800945,-0.2943316,-0.1700692,-0.1821967,-0.0482332,0.06777637,0.3592679,0.2242873
ANKRD52_S(1033),0.1839629,0.153935,0.3679302,-0.4162499,0.1672295,-0.04666772,-0.4657591,0.2198579,-0.3711238
ANKS1A_S(579),0.2516888,-0.257459,0.1115655,0.4056657,0.5151069,-0.1492966,-0.08004213,0.57278,-0.2543409
ANKS1A_S(626),0.04656085,-0.02754259,0.04530324,-0.02280071,0.168257,0.01392662,-0.1616049,0.1984936,-0.09031133
ANKS1A_S(634),-0.6227985,0.081567135,-0.11259754999999999,-0.3847344,0.23989459999999996,-0.2720435,0.005184378,0.17625200000000002,-0.19049785
ANKS1A_S(647),0.242190515,0.01804583,0.25866089999999997,0.32484741500000003,0.2221232,0.13625365333333334,0.10734071,0.02229020000000001,0.05498114666666667
ANKS1A_S(649),0.8231786,-0.01722728,0.2261386,0.7957669,-0.02676343,0.1373724,-0.07407655,-0.2292187,0.143524
ANKS1A_S(652),0.04096256,0.2603871,0.13721019999999998,0.3325074,0.230572,0.06424913333333333,0.3190398,0.000808092,0.029105383333333335
ANKS1A_S(661),0.001874253,-0.1420031,-0.000966953,-0.243472,0.01206797,-0.1325146,-0.1632517,0.09180193,-0.2539624
ANKS1A_S(663),0.1132449115,0.07732539,0.051711044000000005,0.07289598,0.2102637,0.017746785,-0.068748855,0.12068707,-0.0456351
ANKS1A_S(666),0.2231754,0.1788739,-0.004667412,0.2130051,0.1870075,0.08147596,-0.05721151,0.01889274,0.0321009
ANKS1A_S(677),0.103934,-0.008566125,0.02034214,0.0182068,0.1891604,-0.06047253,-0.0238857,0.194658,-0.05466199
ANKS1A_S(858),0.4772628,0.2845142,0.3394795,0.5794698,0.8164769,0.4227712,-0.1065601,0.4532018,0.1142337
ANKS1A_S(870),,0.1098286,0.3033423,,0.4519628,0.338567,,0.245386,0.03857661
ANKS1A_S(887),-0.232396,-0.4083972,0.03969989,-0.3844707,-0.2299068,-0.1161759,-0.1677662,0.0857569,-0.1540563
ANKS1A_S(895),,-0.8134995,-0.3047544,,-0.5408622,-0.2886637,,0.2714438,-0.2776039
ANKS1A_T(318),-0.1070883,-0.1404439,-0.1883646,-0.06523445,-0.09750187,-0.1080365,0.05949366,0.021204,0.08963377
ANP32B_T(244),0.05130255,-0.05685135,-0.02006244,-0.05947993,-0.01013442,-0.05562126,-0.127447,0.073378,-0.000202008
AP1S2_T(146),-0.4129999,-0.5387858,-1.090649,-0.5434881,-0.5695435,-0.9836463,-0.2186655,-0.03040664,-0.1258876
AP5Z1_S(776),,0.1115655,0.5218548,,0.1355349,0.5134907,,0.09845928,0.1458731
APBA3_S(11),,,-0.3473988,,,-0.3692591,,,-0.0842879
APBA3_S(9),-0.357437,-0.07501847,-0.4253075,-0.4514845,-0.3918342,-0.6819782,-0.08612449,-0.2997136,-0.2882585
APOB_S(3778),0.1333004,-0.01732945,0.1247251,-0.268782,-0.4487843,-0.03682186,-0.2906565,-0.4437127,-0.1746866
APOB_T(3785),0.1333004,-0.01732945,0.1247251,-0.268782,-0.4487843,-0.03682186,-0.2906565,-0.4437127,-0.1746866
APOOL_S(203),-0.1018458,-0.2093448,-0.3375393,0.2244108,0.2767945,-0.3051822,0.1436546,0.4792307,0.1120997
APPL1_S(401),0.2365845,0.2341334,0.2582174,-0.1172239,-0.01438299,0.03393393,-0.295429,-0.2672361,-0.268782
APPL1_S(403),,0.04040144,0.3049782,,-0.1747028,0.05185929,,-0.2237932,-0.3525657
ARAF_S(186),-1.9919194999999998,-0.2084443,-1.9014695000000001,0.6455630000000001,-1.613697,1.489633,2.63267655,-1.422987,3.46923185
ARAF_S(257),-0.7150359,,0.7041637,-0.5248321,,0.6014113,-0.1846541,,-0.1732706
ARAF_S(259),,0.3458505,,,0.4800582,,,0.1520032,
ARFGAP3_S(143),-1.891268,-2.425772,-0.9764749,-0.6619807,-2.473931,0.1420866,1.149324,-0.06101577,1.130799
ARFGEF1_S(394),-0.2637155,-0.1645286,,-0.6767799,-0.4912874,,-0.3602677,-0.4354153,
ARFGEF2_S(1499),,1.055543,1.175429,,-0.430159,-0.05511157,,-1.420294,-1.117725
ARFGEF2_S(1525),0.3446012,0.005215875,0.21076343666666664,0.07970238,0.35440859999999996,0.13017628666666667,-0.1409369,0.09693170000000001,-0.14748089333333333
ARFGEF2_S(1528),0.34619015,-0.04589376,0.22339918333333333,0.18959079,0.12078813499999999,0.16596458,-0.005266599999999996,0.064550395,-0.08674936666666666
ARFGEF2_S(1534),,,0.376068,,,0.2992446,,,-0.3927053
ARFGEF2_S(218),-0.3561253,-0.2750879,-0.307073,-0.2659343,-0.4478984,-0.4170202,0.1118326,-0.1866273,-0.02855757
ARFGEF2_S(227),-0.13650707499999998,-0.1229059,-0.10962786499999999,-0.10759443,-0.258667555,-0.13188090000000002,0.043870755000000004,-0.10618242,-0.026302275
ARFGEF2_S(346),0.026514350000000006,-0.2477653,0.08379207,-0.2067605,-0.2492049,0.03984026,-0.276866475,-0.1333004,-0.004754288
ARFGEF2_T(1531),,,0.476952,,,0.2397646,,,-0.5340778
ARFGEF3_S(1991),-0.04415156,-0.08857683,0.2446436,0.03083044,-0.2352462,0.111165,0.0167816,-0.1488691,-0.1621698
ARFIP1_S(69),0.4818156,0.4419084,0.7184384,-0.224351,-0.2840891,0.06970215,-0.6774027,-0.6454251,-0.5600471
ARHGAP21_S(1503),-0.135285,-0.3185957,-0.510457,0.05533457,-0.0872888,-0.3135487,0.2568899,0.2707475,0.1745343
ARHGAP21_S(1508),,0.02332628,,,0.0551957,,,0.02136499,
ARHGAP21_S(1604),-0.3580287,-0.2255144,-0.1230411,0.1952215,-0.06642739,-0.1095611,0.5300707,0.01930193,-0.02385633
ARHGAP21_S(1668),-0.7228007,-1.193503,-1.25068,-0.7616044,-1.532115,-1.226442,0.06239799,-0.1717192,-0.117177
ARHGAP21_S(1712),-3.926426,-0.7170502,-3.715922,-1.246087,-3.363612,-0.1322301,2.672154,-2.623352,3.572284
ARHGAP21_T(1701),0.4984552,0.5654022,0.8656022,0.797179,0.6423781,0.8497591,0.2704692,0.08389024,-0.05276028
ARHGAP29_S(1029),-0.06946702,,,-0.008943503,,,-0.01118081,,
ARHGAP31_S(1036),-0.4444783,-0.7371339,-0.3850358,-0.8574951,-0.5216598,-0.6084522,-0.3501731,0.2379829,-0.3302838
ARHGAP31_S(1080),,-0.9578879,-1.048979,,-0.5747126,-1.510622,,0.2912743,-0.3763017
ARHGAP31_S(272),0.1669724,,,0.4855299,,,0.1176951,,
ARHGAP31_S(346),0.1777266,-0.05812744,0.05185929,0.1110314,0.1832007,-0.04778576,-0.05095068,0.04983027,-0.04890466
ARHGAP31_S(387),0.3452829,-0.08612449,,0.1269729,0.4577518,,-0.1835723,0.4364709,
ARHGAP31_S(388),,,0.0692898,,,0.31823,,,0.2117599
ARHGAP31_S(476),0.04208399,-0.07932559,0.2021356,0.02488704,0.117163,0.1662012,-0.125085,0.2184137,-0.07372727
ARHGAP31_S(629),-0.2667498,-0.6490276,-0.3179661,0.5329652,-0.6476257,-0.1334006,0.776862,0.01365458,0.04670055
ARHGAP31_T(385),,0.3197336,,,0.2525368,,,-0.2337653,
ARHGAP35_S(1130),,,0.1710787,,,0.1894135,,,0.02162186
ARHGAP35_S(1134),0.3394795,0.2016338,0.3788445,0.1051417,0.1569143,0.32112,0.000432815,0.1838508,-0.09463365
ARHGAP35_S(1150),-1.318218,-0.7437381,-1.162234,-0.8644914,-1.092186,-1.256631,0.3452829,-0.4499576,-0.1728476
ARHGAP35_S(1179),0.2118844,0.05907837,0.1610493,0.1791288,0.1818022,0.2105135,-0.09286324,0.1169109,0.02389408
ARHGAP35_S(975),-0.04942711,0.0692353,0.1902988,0.04711958,-0.008762735,0.1892869,0.03337007,0.014470275,0.04935203
ARHGAP35_S(985),0.1305355,0.06046242,0.10246989,0.1304037,-0.06285152,-0.039704100000000006,-0.02818976,0.1116483,-0.031413235
ARHGAP35_Y(1105),,-0.2442237,0.1902988,,-0.3877136,-0.4388547,,0.01019258,-0.6152207
ARHGAP45_S(23),0.2542312,0.1013812,0.351176,0.1118326,0.2744107,0.5003942,-0.1317715,0.2707475,0.08174868
ARHGAP45_S(25),0.1228714,-0.00079366,-0.5054103,-0.16955,-0.09467994,-0.6585151,-0.1218161,-0.1460035,-0.2107465
ARHGEF12_S(41),,-0.7431101,,,-1.03851,,,-0.2567692,
ARHGEF17_S(142),-1.186492,-1.226679,-1.102775,-1.141526,-1.553934,-1.388507,0.03449741,-0.2984237,-0.3130648
ARHGEF17_S(395),-0.4061204,-0.3301931,0.1505597,0.1245928,0.2412301,-0.06466092,0.4347749,0.3198557,-0.02748378
ARHGEF17_S(418),0.2073932,-0.07918841,,0.3230819,0.1354035,,0.1248574,0.08846946,
ARHGEF17_S(420),,,0.1226065,,,-0.04797963,,,-0.1526444
ARHGEF17_S(469),,-0.1609434,,,-0.4550794,,,-0.2085173,
ARHGEF17_S(507),0.4905701,0.5991273,0.496718,0.5506052,0.533663,0.6784325,0.103934,-0.03703076,0.2971328
ARHGEF17_S(527),-0.8595537,-1.151362,,-0.49903569999999997,-1.191755,,0.2692340555,-0.02970019,
ARHGEF17_S(619),-0.4581284,-0.8341331,-0.4284689,-0.7708305,-0.8166977,-0.6591529,-0.3167078,0.09475699,-0.2538936
ARHGEF17_S(735),-0.1342237,0.1570437,-0.07523116,-0.03330375,-0.1255571,0.006908315,0.04670055,-0.2950177,0.1066163
